fraudster_id,home_state
F00107,Telangana
F00108,Maharashtra
F00109,Bihar
F00110,Telangana
F00111,Telangana
F00112,Kerala
F00113,Maharashtra
F00114,Telangana
F00115,Bihar
F00116,Telangana
F00117,Telangana
F00118,Telangana
F00119,Tamil Nadu
F00120,Telangana
F00121,Telangana
F00122,Telangana
F00123,Bihar
F00124,Tamil Nadu
F00125,Andhra Pradesh
F00126,Telangana
F00127,Odisha
F00128,Bihar
F00129,Bihar
F00130,Telangana
F00131,Bihar
F00132,Telangana
F00133,Telangana
F00134,Odisha
F00135,Telangana
F00136,Andhra Pradesh
F00137,Telangana
F00138,Telangana
F00139,Telangana
F00140,Bihar
F00141,Telangana
F00142,Telangana
F00143,Telangana
F00144,Telangana
F00145,Telangana
F00146,Maharashtra
F00147,Odisha
F00148,Telangana
F00149,Telangana
F00150,Andhra Pradesh
F00151,Telangana
F00152,Telangana
F00153,Bihar
F00154,Telangana
F00155,Bihar
F00156,Telangana
F00157,Maharashtra
F00158,Telangana
F00159,Telangana
F00160,Telangana
F00161,Bihar
F00162,Telangana
F00163,Maharashtra
F00164,Andhra Pradesh
F00165,Telangana
F00166,Odisha
F00167,Telangana
F00168,Telangana
F00169,Odisha
F00170,Telangana
F00171,Maharashtra
F00172,Telangana
F00173,Maharashtra
F00174,Telangana
F00175,Bihar
F00176,Andhra Pradesh
F00177,Tamil Nadu
F00178,Uttar Pradesh
F00179,Telangana
F00180,Telangana
F00181,Telangana
F00182,Telangana
F00183,Telangana
F00184,Maharashtra
F00185,Telangana
F00186,Telangana
F00187,Odisha
F00188,Bihar
F00189,Telangana
F00190,Maharashtra
F00191,Telangana
F00192,Maharashtra
F00193,Bihar
F00194,Telangana
F00195,Bihar
F00196,Bihar
F00197,Telangana
F00198,Telangana
F00199,Gujarat
F00200,Maharashtra
F00201,Telangana
F00202,Telangana
F00203,Telangana
F00204,Bihar
F00205,Andhra Pradesh
F00206,Maharashtra
F00207,Bihar
F00208,Telangana
F00209,Bihar
F00210,Telangana
F00211,Telangana
F00212,Telangana
F00213,Kerala
F00214,Telangana
F00215,Telangana
F00216,Telangana
F00217,Bihar
F00218,Bihar
F00219,Telangana
F00220,Tamil Nadu
F00221,Maharashtra
F00222,Telangana
F00223,Telangana
F00224,Telangana
F00225,Maharashtra
F00226,Telangana
F00227,Andhra Pradesh
F00228,Telangana
F00229,Telangana
F00230,Bihar
F00231,Bihar
F00232,Tamil Nadu
F00233,Telangana
F00234,Telangana
F00235,Telangana
F00236,Telangana
F00237,Telangana
F00238,Telangana
F00239,Andhra Pradesh
F00240,Bihar
F00241,Telangana
F00242,Telangana
F00243,Maharashtra
F00244,Telangana
F00245,Telangana
F00246,Telangana
F00247,Telangana
F00248,Tamil Nadu
F00249,Odisha
F00250,Tamil Nadu
F00251,Telangana
F00252,Telangana
F00253,Telangana
F00254,Maharashtra
F00255,Maharashtra
F00256,Telangana
F00257,Telangana
F00258,Bihar
F00259,Bihar
F00260,Telangana
F00261,Bihar
F00262,Telangana
F00263,Maharashtra
F00264,Bihar
F00265,Telangana
F00266,Bihar
F00267,Maharashtra
F00268,Bihar
F00269,Bihar
F00270,Andhra Pradesh
F00271,Bihar
F00272,Bihar
F00273,Bihar
F00274,Telangana
F00275,Telangana
F00276,Tamil Nadu
F00277,Odisha
F00278,Telangana
F00279,Telangana
F00280,Telangana
F00281,Andhra Pradesh
F00282,Chhattisgarh
F00283,Maharashtra
F00284,Maharashtra
F00285,Telangana
F00286,Tamil Nadu
F00287,Bihar
F00288,Odisha
F00289,Telangana
F00290,Bihar
F00291,Telangana
F00292,Bihar
F00293,Telangana
F00294,Bihar
F00295,Telangana
F00296,Telangana
F00297,Telangana
F00298,Telangana
F00299,Telangana
F00300,Telangana
F00301,Telangana
F00302,Bihar
F00303,Telangana
F00304,Telangana
F00305,Telangana
F00306,Telangana
F00307,Odisha
F00308,Telangana
F00309,Maharashtra
F00310,Bihar
F00311,Telangana
F00312,Tamil Nadu
F00313,Maharashtra
F00314,Odisha
F00315,Odisha
F00316,Odisha
F00317,Odisha
F00318,Telangana
F00319,Maharashtra
F00320,Telangana
F00321,Telangana
F00322,Telangana
F00323,Odisha
F00324,Telangana
F00325,Telangana
F00326,Telangana
F00327,Telangana
F00328,Telangana
F00329,Telangana
F00330,Maharashtra
F00331,Telangana
F00332,Kerala
F00333,Telangana
F00334,Telangana
F00335,Bihar
F00336,Telangana
F00337,Bihar
F00338,Telangana
F00339,Bihar
F00340,Telangana
F00341,Bihar
F00342,Telangana
F00343,Telangana
F00344,Telangana
F00345,Telangana
F00346,Telangana
F00347,Telangana
F00348,Maharashtra
F00349,Telangana
F00350,Bihar
F00351,Telangana
F00352,Bihar
F00353,Telangana
F00354,Telangana
F00355,Telangana
F00356,Telangana
F00357,Telangana
F00358,Telangana
F00359,Telangana
F00360,Telangana
F00361,Telangana
F00362,Bihar
F00363,Bihar
F00364,Bihar
F00365,Telangana
F00366,Tamil Nadu
F00367,Telangana
F00368,Telangana
F00369,Odisha
F00370,Telangana
F00371,Telangana
F00372,Maharashtra
F00373,Odisha
F00374,Maharashtra
F00375,Bihar
F00376,Bihar
F00377,Telangana
F00378,Tamil Nadu
F00379,Odisha
F00380,Telangana
F00381,Telangana
F00382,Telangana
F00383,Telangana
F00384,Telangana
F00385,Odisha
F00386,Uttar Pradesh
F00387,Telangana
F00388,Telangana
F00389,Bihar
F00390,Telangana
F00391,Telangana
F00392,Bihar
F00393,Telangana
F00394,Telangana
F00395,Andhra Pradesh
F00396,Telangana
F00397,Telangana
F00398,Maharashtra
F00399,Telangana
F00400,Telangana
F00401,Maharashtra
F00402,Telangana
F00403,Telangana
F00404,Bihar
F00405,Uttar Pradesh
F00406,Telangana
F00407,Maharashtra
F00408,Telangana
F00409,Bihar
F00410,Uttarakhand
F00411,Telangana
F00412,Telangana
F00413,Bihar
F00414,Telangana
F00415,Andhra Pradesh
F00416,Maharashtra
F00417,Bihar
F00418,Telangana
F00419,Jharkhand
F00420,Telangana
F00421,Telangana
F00422,Andhra Pradesh
F00423,Andhra Pradesh
F00424,Bihar
F00425,Telangana
F00426,Telangana
F00427,Maharashtra
F00428,Telangana
F00429,Bihar
F00430,Telangana
F00431,Telangana
F00432,Telangana
F00433,Telangana
F00434,Telangana
F00435,Andhra Pradesh
F00436,Kerala
F00437,Bihar
F00438,Telangana
F00439,Telangana
F00440,Telangana
F00441,Telangana
F00442,Bihar
F00443,Telangana
F00444,Gujarat
F00445,Maharashtra
F00446,Telangana
F00447,Telangana
F00448,Telangana
F00449,Bihar
F00450,Telangana
F00451,Andhra Pradesh
F00452,Telangana
F00453,Telangana
F00454,Bihar
F00455,Bihar
F00456,Delhi
F00457,Telangana
F00458,Telangana
F00459,Telangana
F00460,Telangana
F00461,Telangana
F00462,Bihar
F00463,Telangana
F00464,Maharashtra
F00465,Telangana
F00466,Telangana
F00467,Telangana
F00468,Telangana
F00469,Bihar
F00470,Telangana
F00471,Tamil Nadu
F00472,Telangana
F00473,Bihar
F00474,Bihar
F00475,Maharashtra
F00476,Maharashtra
F00477,Tamil Nadu
F00478,Telangana
F00479,Telangana
F00480,Tamil Nadu
F00481,Tamil Nadu
F00482,Maharashtra
F00483,Telangana
F00484,Odisha
F00485,Andhra Pradesh
F00486,Tamil Nadu
F00487,Telangana
F00488,Maharashtra
F00489,Telangana
F00490,Telangana
F00491,Telangana
F00492,Telangana
F00493,Telangana
F00494,Maharashtra
F00495,Telangana
F00496,Telangana
F00497,Tamil Nadu
F00498,Telangana
F00499,Odisha
F00500,Telangana
F00501,Telangana
F00502,Telangana
F00503,Telangana
F00504,Telangana
F00505,Telangana
F00506,Telangana
F00507,Maharashtra
F00508,Telangana
F00509,Telangana
F00510,Bihar
F00511,Bihar
F00512,Telangana
F00513,Bihar
F00514,Maharashtra
F00515,Odisha
F00516,Bihar
F00517,Maharashtra
F00518,Telangana
F00519,Andhra Pradesh
F00520,Telangana
F00521,Telangana
F00522,Odisha
F00523,Bihar
F00524,Telangana
F00525,Bihar
F00526,Odisha
F00527,Telangana
F00528,Uttar Pradesh
F00529,Telangana
F00530,Maharashtra
F00531,Telangana
F00532,Telangana
F00533,Punjab
F00534,Telangana
F00535,Andhra Pradesh
F00536,Madhya Pradesh
F00537,Telangana
F00538,Bihar
F00539,Bihar
F00540,Telangana
F00541,Uttar Pradesh
F00542,Telangana
F00543,Telangana
F00544,Uttar Pradesh
F00545,Bihar
F00546,Telangana
F00547,Tamil Nadu
F00548,Bihar
F00549,Telangana
F00550,Tamil Nadu
F00551,Telangana
F00552,Bihar
F00553,Chhattisgarh
F00554,Telangana
F00555,Andhra Pradesh
F00556,Maharashtra
F00557,Maharashtra
F00558,Telangana
F00559,Telangana
F00560,Telangana
F00561,Bihar
F00562,Maharashtra
F00563,Telangana
F00564,Telangana
F00565,Telangana
F00566,Telangana
F00567,Telangana
F00568,Bihar
F00569,Odisha
F00570,Telangana
F00571,Odisha
F00572,Telangana
F00573,Telangana
F00574,Telangana
F00575,Telangana
F00576,Telangana
F00577,Telangana
F00578,Telangana
F00579,Telangana
F00580,Odisha
F00581,Telangana
F00582,Telangana
F00583,Bihar
F00584,Tamil Nadu
F00585,Telangana
F00586,Telangana
F00587,Bihar
F00588,Odisha
F00589,Gujarat
F00590,Andhra Pradesh
F00591,Telangana
F00592,Telangana
F00593,Maharashtra
F00594,Telangana
F00595,Andhra Pradesh
F00596,Maharashtra
F00597,Telangana
F00598,Telangana
F00599,Telangana
F00600,Telangana
F00601,Telangana
F00602,Telangana
F00603,Telangana
F00604,Telangana
F00605,Telangana
F00606,Telangana
F00607,Telangana
F00608,Bihar
F00609,Telangana
F00610,Telangana
F00611,Telangana
F00612,Telangana
F00613,Telangana
F00614,Uttar Pradesh
F00615,Maharashtra
F00616,Telangana
F00617,Telangana
F00618,Odisha
F00619,Bihar
F00620,Andhra Pradesh
F00621,Telangana
F00622,Telangana
F00623,Uttar Pradesh
F00624,Telangana
F00625,Telangana
F00626,Tamil Nadu
F00627,Telangana
F00628,Bihar
F00629,Telangana
F00630,Telangana
F00631,Telangana
F00632,Telangana
F00633,Andhra Pradesh
F00634,Odisha
F00635,Bihar
F00636,Bihar
F00637,Telangana
F00638,Telangana
F00639,Telangana
F00640,Telangana
F00641,Telangana
F00642,Telangana
F00643,Bihar
F00644,Maharashtra
F00645,Telangana
F00646,Telangana
F00647,Andhra Pradesh
F00648,Telangana
F00649,Telangana
F00650,Andhra Pradesh
F00651,Tamil Nadu
F00652,Telangana
F00653,Telangana
F00654,Maharashtra
F00655,Telangana
F00656,Odisha
F00657,Telangana
F00658,Maharashtra
F00659,Telangana
F00660,Tamil Nadu
F00661,Maharashtra
F00662,Telangana
F00663,Delhi
F00664,Bihar
F00665,Odisha
F00666,Telangana
F00667,Telangana
F00668,Uttarakhand
F00669,Maharashtra
F00670,Tamil Nadu
F00671,Bihar
F00672,Telangana
F00673,Uttar Pradesh
F00674,Telangana
F00675,Telangana
F00676,Rajasthan
F00677,Telangana
F00678,Telangana
F00679,Bihar
F00680,Odisha
F00681,Bihar
F00682,Kerala
F00683,Andhra Pradesh
F00684,Telangana
F00685,Telangana
F00686,Odisha
F00687,Tamil Nadu
F00688,Telangana
F00689,Telangana
F00690,Telangana
F00691,Maharashtra
F00692,Telangana
F00693,Maharashtra
F00694,Odisha
F00695,Telangana
F00696,Telangana
F00697,Telangana
F00698,Telangana
F00699,Telangana
F00700,Maharashtra
F00701,Maharashtra
F00702,Odisha
F00703,Bihar
F00704,Telangana
F00705,Maharashtra
F00706,Telangana
F00707,Telangana
F00708,Telangana
F00709,Telangana
F00710,Telangana
F00711,Uttar Pradesh
F00712,Telangana
F00713,Telangana
F00714,Telangana
F00715,Telangana
F00716,Delhi
F00717,Telangana
F00718,Bihar
F00719,Telangana
F00720,Telangana
F00721,Telangana
F00722,Tamil Nadu
F00723,Andhra Pradesh
F00724,Telangana
F00725,Bihar
F00726,Andhra Pradesh
F00727,Maharashtra
F00728,Bihar
F00729,Telangana
F00730,Telangana
F00731,Maharashtra
F00732,Bihar
F00733,Bihar
F00734,Odisha
F00735,Bihar
F00736,Telangana
F00737,Madhya Pradesh
F00738,Maharashtra
F00739,Tamil Nadu
F00740,Tamil Nadu
F00741,Andhra Pradesh
F00742,Bihar
F00743,Telangana
F00744,Andhra Pradesh
F00745,Telangana
F00746,Telangana
F00747,Odisha
F00748,Tamil Nadu
F00749,Telangana
F00750,Telangana
F00751,Maharashtra
F00752,Odisha
F00753,Maharashtra
F00754,Telangana
F00755,Telangana
F00756,Maharashtra
F00757,Odisha
F00758,Telangana
F00759,Bihar
F00760,Telangana
F00761,Telangana
F00762,Bihar
F00763,Bihar
F00764,Bihar
F00765,Telangana
F00766,Andhra Pradesh
F00767,Delhi
F00768,Andhra Pradesh
F00769,Bihar
F00770,Telangana
F00771,Maharashtra
F00772,Telangana
F00773,Telangana
F00774,Telangana
F00775,Andhra Pradesh
F00776,Telangana
F00777,Telangana
F00778,Bihar
F00779,Telangana
F00780,Telangana
F00781,Maharashtra
F00782,Telangana
F00783,Telangana
F00784,Telangana
F00785,Uttar Pradesh
F00786,Odisha
F00787,Telangana
F00788,Odisha
F00789,Telangana
F00790,Telangana
F00791,Maharashtra
F00792,Tamil Nadu
F00793,Odisha
F00794,Bihar
F00795,Andhra Pradesh
F00796,Odisha
F00797,Andhra Pradesh
F00798,Bihar
F00799,Telangana
F00800,Telangana
F00801,Telangana
F00802,Odisha
F00803,Telangana
F00804,Telangana
F00805,Bihar
F00806,Bihar
F00807,Telangana
F00808,Bihar
F00809,Telangana
F00810,Uttar Pradesh
F00811,Andhra Pradesh
F00812,Andhra Pradesh
F00813,Uttar Pradesh
F00814,Telangana
F00815,Bihar
F00816,Telangana
F00817,Telangana
F00818,Telangana
F00819,Telangana
F00820,Maharashtra
F00821,Bihar
F00822,Telangana
F00823,Maharashtra
F00824,Telangana
F00825,Telangana
F00826,Andhra Pradesh
F00827,Telangana
F00828,Maharashtra
F00829,Telangana
F00830,Maharashtra
F00831,Telangana
F00832,Telangana
F00833,Tamil Nadu
F00834,Telangana
F00835,Telangana
F00836,Telangana
F00837,Telangana
F00838,Telangana
F00839,Tamil Nadu
F00840,Telangana
F00841,Andhra Pradesh
F00842,Telangana
F00843,Telangana
F00844,Tamil Nadu
F00845,Bihar
F00846,Telangana
F00847,Tamil Nadu
F00848,Telangana
F00849,Bihar
F00850,Telangana
F00851,Bihar
F00852,Jharkhand
F00853,Telangana
F00854,Telangana
F00855,Maharashtra
F00856,Telangana
F00857,Telangana
F00858,Telangana
F00859,Odisha
F00860,Telangana
F00861,Telangana
F00862,Telangana
F00863,Telangana
F00864,Telangana
F00865,Bihar
F00866,Telangana
F00867,Telangana
F00868,Telangana
F00869,Bihar
F00870,Kerala
F00871,Telangana
F00872,Andhra Pradesh
F00873,Telangana
F00874,Odisha
F00875,Telangana
F00876,Telangana
F00877,Tamil Nadu
F00878,Odisha
F00879,Telangana
F00880,Telangana
F00881,Tamil Nadu
F00882,Telangana
F00883,Telangana
F00884,Telangana
F00885,Haryana
F00886,Odisha
F00887,Tamil Nadu
F00888,Bihar
F00889,Bihar
F00890,Telangana
F00891,Odisha
F00892,Telangana
F00893,Maharashtra
F00894,Bihar
F00895,Telangana
F00896,Telangana
F00897,Maharashtra
F00898,Kerala
F00899,Delhi
F00900,Telangana
F00901,Telangana
F00902,Maharashtra
F00903,Andhra Pradesh
F00904,Telangana
F00905,Telangana
F00906,Telangana
F00907,Telangana
F00908,Bihar
F00909,Maharashtra
F00910,Maharashtra
F00911,Telangana
F00912,Telangana
F00913,Telangana
F00914,Uttar Pradesh
F00915,Telangana
F00916,Telangana
F00917,Bihar
F00918,Bihar
F00919,Maharashtra
F00920,Telangana
F00921,Bihar
F00922,Telangana
F00923,Telangana
F00924,Telangana
F00925,Bihar
F00926,Maharashtra
F00927,Bihar
F00928,Telangana
F00929,Telangana
F00930,Telangana
F00931,Maharashtra
F00932,Odisha
F00933,Tamil Nadu
F00934,Telangana
F00935,Telangana
F00936,Madhya Pradesh
F00937,Telangana
F00938,Bihar
F00939,Telangana
F00940,Bihar
F00941,Maharashtra
F00942,Telangana
F00943,Bihar
F00944,Tamil Nadu
F00945,Telangana
F00946,Maharashtra
F00947,Telangana
F00948,Telangana
F00949,Telangana
F00950,Odisha
F00951,Telangana
F00952,Maharashtra
F00953,Maharashtra
F00954,Bihar
F00955,Telangana
F00956,Telangana
F00957,Telangana
F00958,Telangana
F00959,Telangana
F00960,Telangana
F00961,Telangana
F00962,Tamil Nadu
F00963,Bihar
F00964,Bihar
F00965,Telangana
F00966,Telangana
F00967,Telangana
F00968,Bihar
F00969,Telangana
F00970,Madhya Pradesh
F00971,Maharashtra
F00972,Andhra Pradesh
F00973,Bihar
F00974,Telangana
F00975,Odisha
F00976,Telangana
F00977,Telangana
F00978,Tamil Nadu
F00979,Telangana
F00980,Delhi
F00981,Uttar Pradesh
F00982,Telangana
F00983,Telangana
F00984,Telangana
F00985,Bihar
F00986,Telangana
F00987,Odisha
F00988,Bihar
F00989,Odisha
F00990,Telangana
F00991,Telangana
F00992,Telangana
F00993,Telangana
F00994,Maharashtra
F00995,Telangana
F00996,Tamil Nadu
F00997,Telangana
F00998,Andhra Pradesh
F00999,Uttar Pradesh
F01000,Maharashtra
