withdrawal_id,complaint_id,terminal_account,channel,location_id,bank,city,state,latitude,longitude,withdrawal_amount,withdrawal_timestamp,time_bucket,split_index,split_count
W00000013,C0000012,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,6900.0,2026-01-01T20:21:00,Evening,1,1
W00000014,C0000013,ACC000119,BRANCH,BR_PAT_001,Bank_A,Patna,Bihar,25.5941,85.1376,9800.0,2026-01-01T11:45:05.724977,BankingHours,1,1
W00000015,C0000014,ACC000023,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,3300.0,2026-01-01T18:45:00,Evening,1,1
W00000016,C0000015,ACC000031,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,12000.0,2026-01-01T23:55:00,Night,1,1
W00000017,C0000016,ACC000035,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,112300.0,2026-01-01T16:57:00,Afternoon,1,1
W00000018,C0000017,ACC000080,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,65300.0,2026-01-01T23:00:00,Night,1,1
W00000019,C0000018,ACC001375,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,22000.0,2026-01-01T11:30:31.494536,BankingHours,1,1
W00000020,C0000019,ACC000057,ATM,ATM_DEL_001,Bank_A,Delhi,Delhi,28.7041,77.1025,15100.0,2026-01-01T23:10:00,Night,1,1
W00000021,C0000020,ACC000005,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,6400.0,2026-01-01T10:03:22.380983,BankingHours,1,1
W00000022,C0000021,ACC000136,BRANCH,BR_CHN_001,Bank_A,Chennai,Tamil Nadu,13.0827,80.2707,4100.0,2026-01-01T11:50:29.930972,BankingHours,1,1
W00000023,C0000022,ACC000006,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,36000.0,2026-01-01T23:35:00,Night,1,1
W00000024,C0000023,ACC000021,BRANCH,BR_PAT_001,Bank_A,Patna,Bihar,25.5941,85.1376,1857200.0,2026-01-01T15:06:32.295775,BankingHours,1,1
W00000025,C0000024,ACC000039,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,49100.0,2026-01-01T15:11:00,Afternoon,1,1
W00000026,C0000025,ACC000004,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,468700.0,2026-01-01T10:38:14.681120,BankingHours,1,3
W00000027,C0000025,ACC000004,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,468700.0,2026-01-01T10:58:14.681120,BankingHours,2,3
W00000028,C0000025,ACC000004,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,468700.0,2026-01-01T11:24:14.681120,BankingHours,3,3
W00000029,C0000026,ACC000054,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,6500.0,2026-01-01T23:24:00,Night,1,1
W00000030,C0000027,ACC000035,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,1000.0,2026-01-01T12:03:20.929915,BankingHours,1,1
W00000031,C0000028,ACC000338,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,165300.0,2026-01-01T17:49:00,Evening,1,1
W00000032,C0000029,ACC001519,ATM,ATM_JAI_001,Bank_A,Jaipur,Rajasthan,26.9124,75.7873,2500.0,2026-01-01T15:48:00,Afternoon,1,1
W00000033,C0000030,ACC000624,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,26800.0,2026-01-01T06:29:00,Morning,1,1
W00000034,C0000031,ACC000345,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,18100.0,2026-01-01T10:41:48.760446,BankingHours,1,1
W00000035,C0000032,ACC000032,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,23700.0,2026-01-01T11:17:18.967569,BankingHours,1,1
W00000036,C0000033,ACC000199,ATM,ATM_MUM_001,Bank_A,Mumbai,Maharashtra,19.076,72.8777,113600.0,2026-01-01T22:43:00,Night,1,1
W00000037,C0000034,ACC000003,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,695800.0,2026-01-02T15:37:00,BankingHours,1,1
W00000038,C0000035,ACC000471,BRANCH,BR_PAT_001,Bank_A,Patna,Bihar,25.5941,85.1376,204400.0,2026-01-01T11:16:57.639946,BankingHours,1,1
W00000039,C0000036,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,54800.0,2026-01-01T20:10:00,Evening,1,1
W00000040,C0000037,ACC000136,BRANCH,BR_CHN_001,Bank_A,Chennai,Tamil Nadu,13.0827,80.2707,65600.0,2026-01-01T14:35:20.180152,BankingHours,1,1
W00000041,C0000038,ACC000001,BRANCH,BR_PUN_001,Bank_C,Pune,Maharashtra,18.5204,73.8567,166466.67,2026-01-01T14:10:34.934352,BankingHours,1,3
W00000042,C0000038,ACC000001,BRANCH,BR_PUN_001,Bank_C,Pune,Maharashtra,18.5204,73.8567,166466.67,2026-01-01T14:22:34.934352,BankingHours,2,3
W00000043,C0000038,ACC000001,BRANCH,BR_PUN_001,Bank_C,Pune,Maharashtra,18.5204,73.8567,166466.67,2026-01-01T14:30:34.934352,BankingHours,3,3
W00000044,C0000039,ACC000333,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,87700.0,2026-01-01T16:26:00,Afternoon,1,1
W00000045,C0000040,ACC000007,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,42800.0,2026-01-01T11:12:53.720448,BankingHours,1,1
W00000046,C0000041,ACC001293,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,4500.0,2026-01-01T10:37:15.239745,BankingHours,1,1
W00000047,C0000042,ACC001130,ATM,ATM_MUM_001,Bank_A,Mumbai,Maharashtra,19.076,72.8777,1200.0,2026-01-01T23:07:00,Night,1,1
W00000048,C0000043,ACC000008,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,18100.0,2026-01-01T20:23:00,Evening,1,1
W00000049,C0000044,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,12000.0,2026-01-01T23:46:00,Night,1,1
W00000050,C0000045,ACC000037,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,13200.0,2026-01-01T18:31:00,Evening,1,1
W00000051,C0000046,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,2600.0,2026-01-01T22:58:00,Night,1,1
W00000052,C0000047,ACC000003,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,8400.0,2026-01-02T15:59:00,BankingHours,1,1
W00000053,C0000048,ACC000582,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,23500.0,2026-01-01T09:47:00,Morning,1,1
W00000054,C0000049,ACC000005,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,192400.0,2026-01-01T12:49:25.485520,BankingHours,1,1
W00000055,C0000050,ACC000020,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,62500.0,2026-01-01T23:11:00,Night,1,1
W00000056,C0000051,ACC000007,ATM,ATM_DEL_001,Bank_A,Delhi,Delhi,28.7041,77.1025,25800.0,2026-01-02T17:18:00,Evening,1,1
W00000057,C0000052,ACC000179,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,67600.0,2026-01-01T19:50:00,Evening,1,1
W00000058,C0000053,ACC000038,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,21400.0,2026-01-01T11:57:00,Morning,1,1
W00000059,C0000054,ACC000262,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,3300.0,2026-01-01T23:29:00,Night,1,1
W00000060,C0000055,ACC000047,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,296500.0,2026-01-01T22:14:00,Night,1,1
W00000061,C0000056,ACC000092,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,116300.0,2026-01-01T11:33:02.629538,BankingHours,1,1
W00000062,C0000057,ACC001891,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,152300.0,2026-01-01T12:20:13.367723,BankingHours,1,1
W00000063,C0000058,ACC000006,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,4900.0,2026-01-01T10:27:00,BankingHours,1,1
W00000064,C0000059,ACC000006,ATM,ATM_DEL_001,Bank_A,Delhi,Delhi,28.7041,77.1025,1000.0,2026-01-01T17:28:00,Evening,1,1
W00000065,C0000060,ACC000132,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,109333.33,2026-01-01T12:01:13.114932,BankingHours,1,3
W00000066,C0000060,ACC000132,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,109333.33,2026-01-01T12:19:13.114932,BankingHours,2,3
W00000067,C0000060,ACC000132,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,109333.33,2026-01-01T12:25:13.114932,BankingHours,3,3
W00000068,C0000061,ACC000030,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,6400.0,2026-01-01T23:51:00,Night,1,1
W00000069,C0000062,ACC000847,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,290850.0,2026-01-01T11:40:16.721032,BankingHours,1,2
W00000070,C0000062,ACC000847,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,290850.0,2026-01-01T12:04:16.721032,BankingHours,2,2
W00000071,C0000063,ACC000285,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,300800.0,2026-01-01T12:01:14.301844,BankingHours,1,1
W00000072,C0000064,ACC000005,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,537300.0,2026-01-01T18:49:00,Evening,1,1
W00000073,C0000065,ACC000125,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,65000.0,2026-01-01T10:54:16.632975,BankingHours,1,1
W00000074,C0000066,ACC000003,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,4100.0,2026-01-01T10:21:10.009684,BankingHours,1,1
W00000075,C0000067,ACC000168,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,740000.0,2026-01-01T12:32:00,Afternoon,1,3
W00000076,C0000067,ACC000168,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,740000.0,2026-01-01T12:52:00,Afternoon,2,3
W00000077,C0000067,ACC000168,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,740000.0,2026-01-01T13:14:00,Afternoon,3,3
W00000078,C0000068,ACC000118,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,35000.0,2026-01-01T22:11:00,Night,1,1
W00000079,C0000069,ACC000087,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,3600.0,2026-01-01T23:08:00,Night,1,1
W00000080,C0000070,ACC000035,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,5100.0,2026-01-01T23:03:00,Night,1,1
W00000081,C0000071,ACC000004,BRANCH,BR_MUM_001,Bank_A,Mumbai,Maharashtra,19.076,72.8777,28200.0,2026-01-01T12:11:09.629781,BankingHours,1,1
W00000082,C0000072,ACC000002,ATM,ATM_MUM_002,Bank_B,Mumbai,Maharashtra,19.076,72.8777,16900.0,2026-01-01T21:34:00,Evening,1,1
W00000083,C0000073,ACC000083,ATM,ATM_PUN_001,Bank_A,Pune,Maharashtra,18.5204,73.8567,74500.0,2026-01-02T22:08:00,Night,1,1
W00000084,C0000074,ACC000021,BRANCH,BR_PAT_001,Bank_A,Patna,Bihar,25.5941,85.1376,13200.0,2026-01-02T14:51:00,BankingHours,1,1
W00000085,C0000075,ACC000020,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,986500.0,2026-01-01T14:56:34.133502,BankingHours,1,1
W00000086,C0000076,ACC000098,ATM,ATM_BLR_001,Bank_A,Bengaluru,Karnataka,12.9716,77.5946,14100.0,2026-01-01T06:01:00,Morning,1,1
W00000087,C0000077,ACC000003,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,11600.0,2026-01-01T12:44:58.688237,BankingHours,1,1
W00000088,C0000078,ACC000428,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,44900.0,2026-01-01T22:36:00,Night,1,1
W00000089,C0000079,ACC000124,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,193900.0,2026-01-01T23:04:00,Night,1,1
W00000090,C0000080,ACC000016,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,17500.0,2026-01-02T11:58:00,BankingHours,1,1
W00000091,C0000081,ACC000001,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,68000.0,2026-01-02T12:10:00,BankingHours,1,1
W00000092,C0000082,ACC000003,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,59200.0,2026-01-01T10:27:04.560764,BankingHours,1,1
W00000093,C0000083,ACC000468,BRANCH,BR_PUN_001,Bank_C,Pune,Maharashtra,18.5204,73.8567,268300.0,2026-01-01T11:34:45.117629,BankingHours,1,1
W00000094,C0000084,ACC000266,BRANCH,BR_KOL_001,Bank_C,Kolkata,West Bengal,22.5726,88.3639,840700.0,2026-01-01T13:07:50.728708,BankingHours,1,1
W00000095,C0000085,ACC001441,ATM,ATM_MUM_002,Bank_B,Mumbai,Maharashtra,19.076,72.8777,6600.0,2026-01-01T16:12:00,Afternoon,1,1
W00000096,C0000086,ACC000002,ATM,ATM_MUM_002,Bank_B,Mumbai,Maharashtra,19.076,72.8777,30300.0,2026-01-02T22:37:00,Night,1,1
W00000097,C0000087,ACC000278,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,14900.0,2026-01-01T20:09:00,Evening,1,1
W00000098,C0000088,ACC000003,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,1900.0,2026-01-03T11:11:00,BankingHours,1,1
W00000099,C0000089,ACC000006,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,215400.0,2026-01-01T12:26:54.690979,BankingHours,1,1
W00000100,C0000090,ACC000558,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,1000.0,2026-01-01T23:30:00,Night,1,1
W00000101,C0000091,ACC000004,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,22200.0,2026-01-01T12:41:23.244525,BankingHours,1,1
W00000102,C0000092,ACC000044,BRANCH,BR_PAT_001,Bank_A,Patna,Bihar,25.5941,85.1376,9500.0,2026-01-01T15:38:41.873206,BankingHours,1,1
W00000103,C0000093,ACC000039,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,11200.0,2026-01-01T20:37:00,Evening,1,1
W00000104,C0000094,ACC001075,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,26300.0,2026-01-01T22:22:00,Night,1,1
W00000105,C0000095,ACC000012,BRANCH,BR_MUM_001,Bank_A,Mumbai,Maharashtra,19.076,72.8777,68900.0,2026-01-02T10:21:00,BankingHours,1,1
W00000106,C0000096,ACC000006,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,29600.0,2026-01-01T14:56:56.622760,BankingHours,1,1
W00000107,C0000097,ACC000175,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,3200.0,2026-01-02T11:12:00,BankingHours,1,1
W00000108,C0000098,ACC000005,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,39100.0,2026-01-01T22:32:00,Night,1,1
W00000109,C0000099,ACC000024,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,13500.0,2026-01-01T23:01:00,Night,1,1
W00000110,C0000100,ACC000425,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,115500.0,2026-01-01T20:07:00,Evening,1,1
W00000111,C0000101,ACC001901,ATM,ATM_PUN_001,Bank_A,Pune,Maharashtra,18.5204,73.8567,42600.0,2026-01-01T18:20:00,Evening,1,1
W00000112,C0000102,ACC000793,ATM,ATM_MUM_002,Bank_B,Mumbai,Maharashtra,19.076,72.8777,2500.0,2026-01-01T16:55:00,Afternoon,1,1
W00000113,C0000103,ACC000247,BRANCH,BR_CHN_001,Bank_A,Chennai,Tamil Nadu,13.0827,80.2707,1000.0,2026-01-02T12:17:00,BankingHours,1,1
W00000114,C0000104,ACC000004,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,25500.0,2026-01-01T23:24:00,Night,1,1
W00000115,C0000105,ACC000173,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,1213600.0,2026-01-01T23:53:00,Night,1,1
W00000116,C0000106,ACC000435,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,8200.0,2026-01-01T22:35:00,Night,1,1
W00000117,C0000107,ACC000003,ATM,ATM_MUM_001,Bank_A,Mumbai,Maharashtra,19.076,72.8777,4400.0,2026-01-01T13:47:00,Afternoon,1,1
W00000118,C0000108,ACC000114,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,644600.0,2026-01-01T10:27:00,Morning,1,1
W00000119,C0000109,ACC000153,BRANCH,BR_MUM_001,Bank_A,Mumbai,Maharashtra,19.076,72.8777,240700.0,2026-01-01T10:22:50.407116,BankingHours,1,1
W00000120,C0000110,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,16700.0,2026-01-01T18:10:00,Evening,1,1
W00000121,C0000111,ACC000001,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,740000.0,2026-01-02T22:31:00,Night,1,3
W00000122,C0000111,ACC000001,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,740000.0,2026-01-02T22:38:00,Night,2,3
W00000123,C0000111,ACC000001,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,740000.0,2026-01-02T22:45:00,Night,3,3
W00000124,C0000112,ACC000270,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,73500.0,2026-01-01T22:07:00,Night,1,1
W00000125,C0000113,ACC000006,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,196200.0,2026-01-01T12:47:32.421405,BankingHours,1,1
W00000126,C0000114,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,2220000.0,2026-01-01T21:01:00,Evening,1,1
W00000127,C0000115,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,139900.0,2026-01-01T23:20:00,Night,1,1
W00000128,C0000116,ACC000087,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,33400.0,2026-01-01T11:07:54.083310,BankingHours,1,1
W00000129,C0000117,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,92500.0,2026-01-01T23:07:00,Night,1,1
W00000130,C0000118,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,29100.0,2026-01-01T22:11:00,Night,1,1
W00000131,C0000119,ACC000001,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,8400.0,2026-01-01T15:19:00,BankingHours,1,1
W00000132,C0000120,ACC000035,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,3300.0,2026-01-01T23:13:00,Night,1,1
W00000133,C0000121,ACC000183,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,68000.0,2026-01-01T10:39:42.158616,BankingHours,1,1
W00000134,C0000122,ACC001110,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,117800.0,2026-01-01T13:08:11.188641,BankingHours,1,1
W00000135,C0000123,ACC000006,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,3500.0,2026-01-01T11:18:41.380432,BankingHours,1,1
W00000136,C0000124,ACC000631,BRANCH,BR_CHN_001,Bank_A,Chennai,Tamil Nadu,13.0827,80.2707,82000.0,2026-01-03T13:45:00,BankingHours,1,1
W00000137,C0000125,ACC000007,BRANCH,BR_PUN_001,Bank_C,Pune,Maharashtra,18.5204,73.8567,190300.0,2026-01-01T11:30:06.568792,BankingHours,1,1
W00000138,C0000126,ACC000033,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,3600.0,2026-01-02T15:02:00,BankingHours,1,1
W00000139,C0000127,ACC000010,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,122300.0,2026-01-01T13:41:55.579974,BankingHours,1,1
W00000140,C0000128,ACC000118,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,80400.0,2026-01-01T22:44:00,Night,1,1
W00000141,C0000129,ACC000007,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,2100.0,2026-01-01T22:54:00,Night,1,1
W00000142,C0000130,ACC000032,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,2220000.0,2026-01-01T23:59:00,Night,1,1
W00000143,C0000131,ACC000033,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,141800.0,2026-01-01T22:48:00,Night,1,1
W00000144,C0000132,ACC000085,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,1110000.0,2026-01-01T15:24:07.666053,BankingHours,1,2
W00000145,C0000132,ACC000085,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,1110000.0,2026-01-01T15:36:07.666053,BankingHours,2,2
W00000146,C0000133,ACC000018,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,167150.0,2026-01-01T23:40:00,Night,1,2
W00000147,C0000133,ACC000018,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,167150.0,2026-01-01T23:52:00,Night,2,2
W00000148,C0000134,ACC000001,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,2000.0,2026-01-01T10:56:54.632113,BankingHours,1,1
W00000149,C0000135,ACC000023,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,25900.0,2026-01-01T14:21:00,Afternoon,1,1
W00000150,C0000136,ACC000063,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,9100.0,2026-01-01T13:10:00,Afternoon,1,1
W00000151,C0000137,ACC000533,BRANCH,BR_PUN_001,Bank_C,Pune,Maharashtra,18.5204,73.8567,6300.0,2026-01-01T12:03:33.472474,BankingHours,1,1
W00000152,C0000138,ACC000428,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,8100.0,2026-01-01T22:12:00,Night,1,1
W00000153,C0000139,ACC000019,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,27800.0,2026-01-02T21:44:00,Evening,1,1
W00000154,C0000140,ACC000695,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,106300.0,2026-01-01T23:43:00,Night,1,1
W00000155,C0000141,ACC000409,BRANCH,BR_PAT_001,Bank_A,Patna,Bihar,25.5941,85.1376,59100.0,2026-01-01T12:10:04.033332,BankingHours,1,1
W00000156,C0000142,ACC000131,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,60400.0,2026-01-01T22:06:00,Night,1,1
W00000157,C0000143,ACC000002,ATM,ATM_DEL_001,Bank_A,Delhi,Delhi,28.7041,77.1025,1600.0,2026-01-02T23:52:00,Night,1,1
W00000158,C0000144,ACC000240,ATM,ATM_MUM_002,Bank_B,Mumbai,Maharashtra,19.076,72.8777,5700.0,2026-01-01T06:35:00,Morning,1,1
W00000159,C0000145,ACC000319,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,15400.0,2026-01-01T20:45:00,Evening,1,1
W00000160,C0000146,ACC000030,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,9800.0,2026-01-01T22:16:00,Night,1,1
W00000161,C0000147,ACC000005,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,7300.0,2026-01-01T23:43:00,Night,1,1
W00000162,C0000148,ACC000019,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,193033.33,2026-01-01T14:00:39.670272,BankingHours,1,3
