account_id,ring_id,bank,state,city,account_type,account_age_days,total_case_count,final_reputation_score,reused_in_multiple_cases
ACC000137,R0022,Bank_A,Odisha,Pune,SAVINGS,430,118,1.0,1
ACC000138,R0022,Bank_D,Telangana,Hyderabad,SAVINGS,269,118,1.0,1
ACC000139,R0022,Bank_E,Odisha,Delhi,SAVINGS,502,120,1.0,1
ACC000140,R0023,Bank_C,Telangana,Hyderabad,SAVINGS,1724,72,1.0,1
ACC000141,R0023,Bank_B,Telangana,Hyderabad,CURRENT,1867,78,1.0,1
ACC000142,R0023,Bank_C,Telangana,Hyderabad,CURRENT,679,76,1.0,1
ACC000143,R0023,Bank_A,Telangana,Hyderabad,SAVINGS,1720,75,1.0,1
ACC000144,R0023,Bank_A,Telangana,Hyderabad,CURRENT,1165,70,1.0,1
ACC000145,R0023,Bank_D,Telangana,Hyderabad,SAVINGS,640,68,1.0,1
ACC000146,R0023,Bank_D,Telangana,Hyderabad,SAVINGS,1116,72,1.0,1
ACC000147,R0023,Bank_E,Telangana,Hyderabad,SAVINGS,2009,71,1.0,1
ACC000148,R0024,Bank_B,Telangana,Hyderabad,SAVINGS,1751,105,1.0,1
ACC000149,R0024,Bank_B,Telangana,Hyderabad,CURRENT,780,105,1.0,1
ACC000150,R0024,Bank_B,Telangana,Hyderabad,CURRENT,215,103,1.0,1
ACC000151,R0025,Bank_D,Telangana,Hyderabad,SAVINGS,2156,98,1.0,1
ACC000152,R0025,Bank_D,Maharashtra,Mumbai,SAVINGS,654,100,1.0,1
ACC000153,R0025,Bank_B,Andhra Pradesh,Ahmedabad,SAVINGS,1244,98,1.0,1
ACC000154,R0026,Bank_E,Gujarat,Ahmedabad,SAVINGS,878,100,1.0,1
ACC000155,R0026,Bank_C,Bihar,Patna,SAVINGS,1907,100,1.0,1
ACC000156,R0026,Bank_C,Gujarat,Ahmedabad,SAVINGS,1173,92,1.0,1
ACC000157,R0027,Bank_C,Telangana,Hyderabad,CURRENT,1564,74,1.0,1
ACC000158,R0027,Bank_A,Telangana,Hyderabad,SAVINGS,1052,80,1.0,1
ACC000159,R0027,Bank_A,Telangana,Hyderabad,SAVINGS,1954,79,1.0,1
ACC000160,R0027,Bank_C,Odisha,Patna,CURRENT,381,78,1.0,1
ACC000161,R0027,Bank_A,Odisha,Lucknow,SAVINGS,207,81,1.0,1
ACC000162,R0027,Bank_A,Telangana,Hyderabad,CURRENT,172,80,1.0,1
ACC000163,R0028,Bank_D,Andhra Pradesh,Mumbai,CURRENT,683,97,1.0,1
ACC000164,R0028,Bank_D,Andhra Pradesh,Ahmedabad,SAVINGS,767,99,1.0,1
ACC000165,R0028,Bank_A,Andhra Pradesh,Mumbai,SAVINGS,934,95,1.0,1
ACC000166,R0029,Bank_A,Bihar,Patna,CURRENT,1940,96,1.0,1
ACC000167,R0029,Bank_D,Maharashtra,Mumbai,SAVINGS,2002,94,1.0,1
ACC000168,R0029,Bank_B,Bihar,Patna,SAVINGS,1223,96,1.0,1
ACC000169,R0030,Bank_D,Telangana,Hyderabad,SAVINGS,1487,89,1.0,1
ACC000170,R0030,Bank_A,Telangana,Hyderabad,SAVINGS,905,84,1.0,1
ACC000171,R0030,Bank_E,Telangana,Hyderabad,SAVINGS,1636,86,1.0,1
ACC000172,R0030,Bank_A,Telangana,Hyderabad,SAVINGS,1675,90,1.0,1
ACC000173,R0031,Bank_E,Telangana,Hyderabad,SAVINGS,1167,99,1.0,1
ACC000174,R0031,Bank_C,Telangana,Hyderabad,SAVINGS,1139,99,1.0,1
ACC000175,R0031,Bank_C,Telangana,Hyderabad,SAVINGS,1035,100,1.0,1
ACC000176,R0032,Bank_C,Telangana,Hyderabad,SAVINGS,11,24,0.9998,1
ACC000177,R0032,Bank_D,Telangana,Hyderabad,SAVINGS,80,28,0.9999,1
ACC000178,R0032,Bank_E,Telangana,Hyderabad,CURRENT,376,23,0.9997,1
ACC000179,R0032,Bank_B,Telangana,Hyderabad,SAVINGS,912,24,0.9998,1
ACC000180,R0032,Bank_E,Maharashtra,Mumbai,SAVINGS,1087,24,0.9998,1
ACC000181,R0032,Bank_D,Maharashtra,Pune,SAVINGS,585,26,0.9999,1
ACC000182,R0032,Bank_A,Telangana,Hyderabad,CURRENT,1163,29,1.0,1
ACC000183,R0032,Bank_B,Telangana,Hyderabad,CURRENT,456,26,0.9999,1
ACC000184,R0032,Bank_E,Telangana,Hyderabad,SAVINGS,973,18,0.9982,1
ACC000185,R0032,Bank_E,Uttar Pradesh,Lucknow,SAVINGS,599,24,0.9998,1
ACC000186,R0032,Bank_A,Telangana,Hyderabad,SAVINGS,1117,27,0.9999,1
ACC000187,R0032,Bank_E,Telangana,Hyderabad,SAVINGS,740,27,0.9999,1
ACC000188,R0032,Bank_C,Telangana,Hyderabad,SAVINGS,1872,25,0.9998,1
ACC000189,R0032,Bank_E,Telangana,Hyderabad,SAVINGS,1223,23,0.9997,1
ACC000190,R0032,Bank_B,Telangana,Hyderabad,SAVINGS,1446,19,0.9987,1
ACC000191,R0032,Bank_E,Telangana,Hyderabad,SAVINGS,1283,18,0.9982,1
ACC000192,R0032,Bank_C,Telangana,Hyderabad,SAVINGS,1338,30,1.0,1
ACC000193,R0032,Bank_C,Telangana,Hyderabad,SAVINGS,1768,24,0.9998,1
ACC000194,R0033,Bank_E,Odisha,Kolkata,SAVINGS,1975,29,1.0,1
ACC000195,R0033,Bank_E,Odisha,Delhi,SAVINGS,2097,40,1.0,1
ACC000196,R0033,Bank_B,Odisha,Kolkata,SAVINGS,1631,40,1.0,1
ACC000197,R0033,Bank_B,Odisha,Delhi,SAVINGS,50,40,1.0,1
ACC000198,R0033,Bank_D,Odisha,Chennai,SAVINGS,1153,29,1.0,1
ACC000199,R0033,Bank_D,Odisha,Jaipur,SAVINGS,1331,37,1.0,1
ACC000200,R0033,Bank_A,Odisha,Pune,SAVINGS,365,38,1.0,1
ACC000201,R0033,Bank_C,Odisha,Hyderabad,CURRENT,450,32,1.0,1
ACC000202,R0033,Bank_E,Andhra Pradesh,Bengaluru,SAVINGS,1921,31,1.0,1
ACC000203,R0033,Bank_D,Telangana,Hyderabad,SAVINGS,1738,30,1.0,1
ACC000204,R0033,Bank_A,Telangana,Hyderabad,SAVINGS,1407,38,1.0,1
ACC000205,R0034,Bank_C,Odisha,Kolkata,CURRENT,1044,81,1.0,1
ACC000206,R0034,Bank_B,Odisha,Chennai,SAVINGS,61,80,1.0,1
ACC000207,R0034,Bank_C,Odisha,Hyderabad,SAVINGS,2074,83,1.0,1
ACC000208,R0035,Bank_E,Odisha,Delhi,SAVINGS,1055,60,1.0,1
ACC000209,R0035,Bank_E,Telangana,Hyderabad,CURRENT,1197,65,1.0,1
ACC000210,R0035,Bank_A,Telangana,Hyderabad,SAVINGS,689,58,1.0,1
ACC000211,R0035,Bank_A,Telangana,Hyderabad,SAVINGS,1130,58,1.0,1
ACC000212,R0035,Bank_B,Telangana,Hyderabad,SAVINGS,1764,65,1.0,1
ACC000213,R0036,Bank_E,Telangana,Hyderabad,SAVINGS,419,52,1.0,1
ACC000214,R0036,Bank_D,Delhi,Delhi,SAVINGS,469,52,1.0,1
ACC000215,R0036,Bank_C,Delhi,Delhi,SAVINGS,942,51,1.0,1
ACC000216,R0036,Bank_A,Delhi,Delhi,SAVINGS,1673,51,1.0,1
ACC000217,R0037,Bank_A,Bihar,Patna,SAVINGS,22,65,1.0,1
ACC000218,R0037,Bank_B,Bihar,Patna,SAVINGS,1395,68,1.0,1
ACC000219,R0037,Bank_C,Bihar,Patna,SAVINGS,222,62,1.0,1
ACC000220,R0038,Bank_D,Telangana,Hyderabad,SAVINGS,1695,27,0.9999,1
ACC000221,R0038,Bank_D,Telangana,Hyderabad,CURRENT,1624,26,0.9999,1
ACC000222,R0038,Bank_A,Telangana,Hyderabad,SAVINGS,1748,20,0.9991,1
ACC000223,R0038,Bank_C,Andhra Pradesh,Bengaluru,CURRENT,719,18,0.9982,1
ACC000224,R0038,Bank_A,Telangana,Hyderabad,SAVINGS,296,22,0.9995,1
ACC000225,R0038,Bank_D,Telangana,Hyderabad,SAVINGS,1113,16,0.9963,1
ACC000226,R0038,Bank_D,Telangana,Hyderabad,CURRENT,1110,16,0.9963,1
ACC000227,R0038,Bank_C,Maharashtra,Pune,SAVINGS,292,12,0.985,1
ACC000228,R0038,Bank_B,Rajasthan,Jaipur,CURRENT,506,20,0.9991,1
ACC000229,R0038,Bank_A,Telangana,Hyderabad,SAVINGS,1243,22,0.9995,1
ACC000230,R0038,Bank_B,Telangana,Hyderabad,SAVINGS,826,15,0.9948,1
ACC000231,R0038,Bank_B,Telangana,Hyderabad,SAVINGS,1017,19,0.9987,1
ACC000232,R0038,Bank_C,Telangana,Hyderabad,SAVINGS,592,27,0.9999,1
ACC000233,R0038,Bank_C,Odisha,Delhi,SAVINGS,281,16,0.9963,1
ACC000234,R0038,Bank_B,Telangana,Hyderabad,SAVINGS,1777,18,0.9982,1
ACC000235,R0038,Bank_D,Telangana,Hyderabad,SAVINGS,2184,24,0.9998,1
ACC000236,R0038,Bank_E,Telangana,Hyderabad,SAVINGS,1177,16,0.9963,1
ACC000237,R0038,Bank_A,Telangana,Hyderabad,SAVINGS,2041,17,0.9974,1
ACC000238,R0039,Bank_B,Maharashtra,Pune,SAVINGS,781,60,1.0,1
ACC000239,R0039,Bank_E,Maharashtra,Mumbai,SAVINGS,752,61,1.0,1
ACC000240,R0039,Bank_A,Maharashtra,Mumbai,SAVINGS,648,60,1.0,1
ACC000241,R0040,Bank_D,Telangana,Hyderabad,SAVINGS,1616,47,1.0,1
ACC000242,R0040,Bank_E,Tamil Nadu,Chennai,SAVINGS,1683,47,1.0,1
ACC000243,R0040,Bank_B,Bihar,Patna,SAVINGS,89,49,1.0,1
ACC000244,R0040,Bank_A,Telangana,Hyderabad,SAVINGS,1628,47,1.0,1
ACC000245,R0041,Bank_D,Tamil Nadu,Chennai,SAVINGS,1023,65,1.0,1
ACC000246,R0041,Bank_B,Tamil Nadu,Chennai,CURRENT,415,64,1.0,1
ACC000247,R0041,Bank_B,Tamil Nadu,Chennai,SAVINGS,123,65,1.0,1
ACC000248,R0042,Bank_C,Telangana,Hyderabad,SAVINGS,1217,50,1.0,1
ACC000249,R0042,Bank_C,Maharashtra,Mumbai,SAVINGS,2129,52,1.0,1
ACC000250,R0042,Bank_B,Bihar,Patna,SAVINGS,1801,50,1.0,1
ACC000251,R0043,Bank_B,Bihar,Patna,SAVINGS,138,52,1.0,1
ACC000252,R0043,Bank_C,Telangana,Hyderabad,SAVINGS,1131,51,1.0,1
ACC000253,R0043,Bank_B,Telangana,Hyderabad,SAVINGS,2062,57,1.0,1
ACC000254,R0043,Bank_B,Delhi,Delhi,SAVINGS,1582,55,1.0,1
ACC000255,R0044,Bank_E,Maharashtra,Pune,CURRENT,573,57,1.0,1
ACC000256,R0044,Bank_C,Bihar,Patna,CURRENT,1444,56,1.0,1
ACC000257,R0044,Bank_D,Maharashtra,Pune,SAVINGS,921,57,1.0,1
ACC000258,R0045,Bank_C,Telangana,Hyderabad,SAVINGS,94,44,1.0,1
ACC000259,R0045,Bank_C,Telangana,Hyderabad,SAVINGS,215,42,1.0,1
ACC000260,R0045,Bank_E,Telangana,Hyderabad,SAVINGS,711,43,1.0,1
ACC000261,R0046,Bank_C,Telangana,Hyderabad,SAVINGS,567,54,1.0,1
ACC000262,R0046,Bank_B,Telangana,Hyderabad,SAVINGS,1383,54,1.0,1
ACC000263,R0046,Bank_E,Telangana,Hyderabad,SAVINGS,1700,51,1.0,1
ACC000264,R0047,Bank_B,Telangana,Hyderabad,SAVINGS,138,51,1.0,1
ACC000265,R0047,Bank_D,Punjab,Patna,SAVINGS,51,52,1.0,1
ACC000266,R0047,Bank_A,Punjab,Pune,SAVINGS,1121,53,1.0,1
ACC000267,R0048,Bank_A,Telangana,Hyderabad,SAVINGS,1228,53,1.0,1
ACC000268,R0048,Bank_E,Maharashtra,Mumbai,SAVINGS,54,52,1.0,1
ACC000269,R0048,Bank_D,Maharashtra,Mumbai,SAVINGS,214,52,1.0,1
ACC000270,R0048,Bank_A,Telangana,Hyderabad,SAVINGS,2138,54,1.0,1
ACC000271,R0049,Bank_A,Telangana,Hyderabad,SAVINGS,1605,30,1.0,1
ACC000272,R0049,Bank_E,Telangana,Hyderabad,SAVINGS,2088,35,1.0,1
ACC000273,R0049,Bank_A,Telangana,Hyderabad,SAVINGS,720,38,1.0,1
ACC000274,R0049,Bank_D,Telangana,Hyderabad,SAVINGS,1976,37,1.0,1
ACC000275,R0049,Bank_D,Bihar,Patna,SAVINGS,781,35,1.0,1
ACC000276,R0050,Bank_E,Telangana,Hyderabad,SAVINGS,156,46,1.0,1
ACC000277,R0050,Bank_B,Bihar,Patna,SAVINGS,2169,47,1.0,1
ACC000278,R0050,Bank_C,Bihar,Patna,SAVINGS,1100,46,1.0,1
ACC000279,R0051,Bank_B,Bihar,Patna,SAVINGS,1911,47,1.0,1
ACC000280,R0051,Bank_C,Kerala,Kolkata,SAVINGS,1537,47,1.0,1
ACC000281,R0051,Bank_A,Kerala,Mumbai,SAVINGS,155,45,1.0,1
ACC000282,R0051,Bank_E,Telangana,Hyderabad,SAVINGS,133,41,1.0,1
ACC000283,R0052,Bank_C,Andhra Pradesh,Jaipur,SAVINGS,71,34,1.0,1
ACC000284,R0052,Bank_C,Bihar,Patna,SAVINGS,646,28,0.9999,1
ACC000285,R0052,Bank_C,Telangana,Hyderabad,SAVINGS,1822,31,1.0,1
ACC000286,R0052,Bank_C,Andhra Pradesh,Hyderabad,SAVINGS,725,34,1.0,1
ACC000287,R0052,Bank_B,Andhra Pradesh,Jaipur,SAVINGS,1775,27,0.9999,1
ACC000288,R0052,Bank_E,Andhra Pradesh,Lucknow,SAVINGS,1866,29,1.0,1
ACC000289,R0052,Bank_A,Andhra Pradesh,Hyderabad,SAVINGS,657,34,1.0,1
ACC000290,R0052,Bank_E,Andhra Pradesh,Jaipur,SAVINGS,1306,35,1.0,1
ACC000291,R0053,Bank_E,Telangana,Hyderabad,CURRENT,574,33,1.0,1
ACC000292,R0053,Bank_D,Telangana,Hyderabad,SAVINGS,1316,32,1.0,1
ACC000293,R0053,Bank_B,Telangana,Hyderabad,SAVINGS,551,29,1.0,1
ACC000294,R0053,Bank_C,Telangana,Hyderabad,SAVINGS,2050,33,1.0,1
ACC000295,R0053,Bank_A,Telangana,Hyderabad,SAVINGS,1186,30,1.0,1
ACC000296,R0053,Bank_E,Telangana,Hyderabad,SAVINGS,1165,32,1.0,1
ACC000297,R0054,Bank_E,Telangana,Hyderabad,SAVINGS,222,39,1.0,1
ACC000298,R0054,Bank_E,Telangana,Hyderabad,SAVINGS,1393,41,1.0,1
ACC000299,R0054,Bank_C,Telangana,Hyderabad,SAVINGS,716,41,1.0,1
ACC000300,R0055,Bank_C,Telangana,Hyderabad,CURRENT,361,41,1.0,1
ACC000301,R0055,Bank_E,Telangana,Hyderabad,SAVINGS,1261,43,1.0,1
ACC000302,R0055,Bank_D,Telangana,Hyderabad,SAVINGS,1291,39,1.0,1
ACC000303,R0055,Bank_B,Telangana,Hyderabad,SAVINGS,1740,42,1.0,1
ACC000304,R0056,Bank_E,Telangana,Hyderabad,SAVINGS,1165,34,1.0,1
ACC000305,R0056,Bank_A,Telangana,Hyderabad,SAVINGS,495,33,1.0,1
ACC000306,R0056,Bank_E,Telangana,Hyderabad,SAVINGS,1305,32,1.0,1
ACC000307,R0056,Bank_A,Telangana,Hyderabad,CURRENT,1594,36,1.0,1
