victim_id,state,city,age_bracket,bank,account_balance_tier,fraud_type
V0000075,Telangana,Hyderabad,26-35,Bank_D,Low,Cheating
V0000076,Telangana,Hyderabad,51+,Bank_A,Low,Cheating
V0000077,Bihar,Patna,18-25,Bank_A,Medium,Fraud
V0000078,Odisha,Delhi,51+,Bank_E,Low,Cheating
V0000079,Telangana,Hyderabad,51+,Bank_C,High,Fraud
V0000080,Telangana,Hyderabad,26-35,Bank_A,Medium,Cyber Blackmailing
V0000081,Telangana,Hyderabad,18-25,Bank_E,Medium,Fraud
V0000082,Odisha,Bengaluru,18-25,Bank_C,Low,Cheating
V0000083,Bihar,Patna,51+,Bank_D,Low,Cheating
V0000084,Telangana,Hyderabad,18-25,Bank_C,Medium,Cheating
V0000085,Telangana,Hyderabad,36-50,Bank_C,High,Fraud
V0000086,Maharashtra,Pune,18-25,Bank_E,Medium,Cheating
V0000087,Maharashtra,Mumbai,51+,Bank_B,Medium,Fraud
V0000088,Maharashtra,Pune,18-25,Bank_B,Low,Fraud
V0000089,Telangana,Hyderabad,51+,Bank_C,Medium,Fraud
V0000090,Telangana,Hyderabad,26-35,Bank_A,High,Fraud
V0000091,Telangana,Hyderabad,26-35,Bank_B,Low,Cheating
V0000092,Madhya Pradesh,Pune,18-25,Bank_B,High,Fraud
V0000093,Telangana,Hyderabad,36-50,Bank_B,High,Cheating
V0000094,Telangana,Hyderabad,36-50,Bank_E,High,Fraud
V0000095,Telangana,Hyderabad,36-50,Bank_D,Medium,Cheating
V0000096,Telangana,Hyderabad,36-50,Bank_D,Medium,Fraud
V0000097,Telangana,Hyderabad,26-35,Bank_D,High,Fraud
V0000098,Telangana,Hyderabad,26-35,Bank_C,High,Cheating
V0000099,Telangana,Hyderabad,36-50,Bank_C,Low,Cheating
V0000100,Telangana,Hyderabad,18-25,Bank_B,Medium,Cheating
V0000101,Telangana,Hyderabad,36-50,Bank_B,Medium,Fraud
V0000102,Telangana,Hyderabad,18-25,Bank_C,Medium,Cheating
V0000103,Odisha,Kolkata,18-25,Bank_D,High,Fraud
V0000104,Telangana,Hyderabad,18-25,Bank_B,Low,Cheating
V0000105,Telangana,Hyderabad,18-25,Bank_A,High,Fraud
V0000106,Telangana,Hyderabad,18-25,Bank_B,Medium,Fraud
V0000107,Telangana,Hyderabad,51+,Bank_E,Low,Fraud
V0000108,Telangana,Hyderabad,18-25,Bank_B,Low,Cheating
V0000109,Telangana,Hyderabad,26-35,Bank_D,Low,Fraud
V0000110,Telangana,Hyderabad,36-50,Bank_C,Low,Fraud
V0000111,Maharashtra,Pune,51+,Bank_B,High,Cheating
V0000112,Bihar,Patna,36-50,Bank_E,High,Cyber Blackmailing
V0000113,Telangana,Hyderabad,18-25,Bank_A,High,Fraud
V0000114,Telangana,Hyderabad,36-50,Bank_D,High,Cheating
V0000115,Telangana,Hyderabad,18-25,Bank_C,Medium,Cheating
V0000116,Telangana,Hyderabad,51+,Bank_D,High,Fraud
V0000117,Telangana,Hyderabad,26-35,Bank_D,Low,Fraud
V0000118,Telangana,Hyderabad,36-50,Bank_E,High,Fraud
V0000119,Telangana,Hyderabad,36-50,Bank_A,Low,Fraud
V0000120,Telangana,Hyderabad,51+,Bank_E,Low,Cheating
V0000121,Telangana,Hyderabad,36-50,Bank_E,Low,Fraud
V0000122,Telangana,Hyderabad,51+,Bank_A,High,Cheating
V0000123,Telangana,Hyderabad,26-35,Bank_B,High,Cheating
V0000124,Bihar,Patna,51+,Bank_C,High,Fraud
V0000125,Odisha,Patna,36-50,Bank_B,Low,Fraud
V0000126,Tamil Nadu,Chennai,51+,Bank_C,Low,Fraud
V0000127,Tamil Nadu,Chennai,26-35,Bank_C,Low,Fraud
V0000128,Maharashtra,Mumbai,26-35,Bank_A,High,Fraud
V0000129,Telangana,Hyderabad,26-35,Bank_E,Medium,Cheating
V0000130,Telangana,Hyderabad,51+,Bank_B,High,Fraud
V0000131,Telangana,Hyderabad,51+,Bank_E,High,Cheating
V0000132,Telangana,Hyderabad,51+,Bank_E,High,Fraud
V0000133,Telangana,Hyderabad,51+,Bank_B,Medium,Fraud
V0000134,Andhra Pradesh,Patna,36-50,Bank_C,High,Cyber Blackmailing
V0000135,Maharashtra,Pune,36-50,Bank_D,High,Fraud
V0000136,Telangana,Hyderabad,51+,Bank_E,High,Fraud
V0000137,Telangana,Hyderabad,36-50,Bank_E,Low,Fraud
V0000138,Maharashtra,Mumbai,26-35,Bank_C,High,Fraud
V0000139,Bihar,Patna,36-50,Bank_A,High,Fraud
V0000140,Andhra Pradesh,Bengaluru,18-25,Bank_B,Low,Fraud
V0000141,Maharashtra,Pune,36-50,Bank_B,Low,Fraud
V0000142,Telangana,Hyderabad,51+,Bank_D,Medium,Forgery
V0000143,Maharashtra,Mumbai,36-50,Bank_A,Low,Cheating
V0000144,Maharashtra,Mumbai,36-50,Bank_D,Medium,Cheating
V0000145,Telangana,Hyderabad,36-50,Bank_D,High,Cheating
V0000146,Uttar Pradesh,Lucknow,18-25,Bank_A,High,Cheating
V0000147,Andhra Pradesh,Delhi,36-50,Bank_A,High,Fraud
V0000148,Telangana,Hyderabad,26-35,Bank_E,Low,Fraud
V0000149,Telangana,Hyderabad,36-50,Bank_B,Medium,Fraud
V0000150,Telangana,Hyderabad,51+,Bank_A,Medium,Cheating
V0000151,Bihar,Patna,26-35,Bank_D,Medium,Fraud
V0000152,Telangana,Hyderabad,51+,Bank_D,High,Cheating
V0000153,Telangana,Hyderabad,36-50,Bank_A,High,Cheating
V0000154,Telangana,Hyderabad,51+,Bank_D,Low,Cheating
V0000155,Telangana,Hyderabad,36-50,Bank_D,Medium,Cheating
V0000156,Telangana,Hyderabad,18-25,Bank_E,Low,Fraud
V0000157,Telangana,Hyderabad,36-50,Bank_B,High,Fraud
V0000158,Telangana,Hyderabad,36-50,Bank_E,Medium,Fraud
V0000159,Telangana,Hyderabad,36-50,Bank_A,Medium,Fraud
V0000160,Rajasthan,Jaipur,36-50,Bank_A,High,Cheating
V0000161,Telangana,Hyderabad,18-25,Bank_D,High,Cheating
V0000162,Maharashtra,Pune,26-35,Bank_B,Medium,Cheating
V0000163,Telangana,Hyderabad,26-35,Bank_A,Low,Fraud
V0000164,Telangana,Hyderabad,36-50,Bank_B,High,Cheating
V0000165,Odisha,Kolkata,18-25,Bank_A,Low,Cheating
V0000166,Telangana,Hyderabad,51+,Bank_B,Medium,Cheating
V0000167,Odisha,Bengaluru,18-25,Bank_B,Low,Cheating
V0000168,Telangana,Hyderabad,51+,Bank_C,High,Fraud
V0000169,Telangana,Hyderabad,51+,Bank_E,Low,Cheating
V0000170,Telangana,Hyderabad,36-50,Bank_B,Low,Fraud
V0000171,Telangana,Hyderabad,26-35,Bank_C,High,Fraud
V0000172,Telangana,Hyderabad,36-50,Bank_A,High,Fraud
V0000173,Telangana,Hyderabad,18-25,Bank_E,Medium,Cheating
V0000174,Bihar,Patna,26-35,Bank_E,Low,Fraud
V0000175,Telangana,Hyderabad,26-35,Bank_D,Medium,Cheating
V0000176,Telangana,Hyderabad,51+,Bank_C,High,Fraud
V0000177,Telangana,Hyderabad,18-25,Bank_C,High,Cheating
V0000178,Andhra Pradesh,Bengaluru,51+,Bank_A,Medium,Fraud
V0000179,Rajasthan,Jaipur,51+,Bank_A,High,Forgery
V0000180,Telangana,Hyderabad,51+,Bank_B,High,Cheating
V0000181,Telangana,Hyderabad,51+,Bank_A,Low,Fraud
V0000182,Telangana,Hyderabad,26-35,Bank_C,High,Fraud
V0000183,Bihar,Patna,51+,Bank_C,High,Cheating
V0000184,Telangana,Hyderabad,26-35,Bank_E,High,Cheating
V0000185,Andhra Pradesh,Bengaluru,36-50,Bank_E,Low,Cheating
V0000186,Bihar,Patna,51+,Bank_E,Low,Fraud
V0000187,Bihar,Patna,36-50,Bank_A,High,Fraud
V0000188,Odisha,Ahmedabad,36-50,Bank_C,Low,Cheating
V0000189,Telangana,Hyderabad,51+,Bank_D,Medium,Fraud
V0000190,Telangana,Hyderabad,26-35,Bank_D,Low,Cheating
V0000191,Telangana,Hyderabad,51+,Bank_E,Low,Cheating
V0000192,Telangana,Hyderabad,51+,Bank_A,High,Cheating
V0000193,Telangana,Hyderabad,51+,Bank_C,Low,Cheating
V0000194,Telangana,Hyderabad,18-25,Bank_B,Medium,Cheating
V0000195,Telangana,Hyderabad,18-25,Bank_B,Medium,Fraud
V0000196,Odisha,Kolkata,18-25,Bank_E,High,Cheating
V0000197,Maharashtra,Mumbai,51+,Bank_B,High,Fraud
V0000198,Odisha,Lucknow,36-50,Bank_A,High,Cheating
V0000199,Telangana,Hyderabad,51+,Bank_E,Low,Cheating
V0000200,Bihar,Patna,26-35,Bank_B,Medium,Cheating
V0000201,Bihar,Patna,18-25,Bank_C,Medium,Cheating
V0000202,Telangana,Hyderabad,36-50,Bank_D,Low,Cheating
V0000203,Telangana,Hyderabad,36-50,Bank_E,Low,Cheating
V0000204,Telangana,Hyderabad,26-35,Bank_B,High,Cyber Blackmailing
V0000205,Telangana,Hyderabad,26-35,Bank_B,High,Cheating
V0000206,Telangana,Hyderabad,26-35,Bank_D,Medium,Cheating
V0000207,Odisha,Chennai,18-25,Bank_B,Low,Fraud
V0000208,Bihar,Patna,51+,Bank_E,Low,Fraud
V0000209,Telangana,Hyderabad,26-35,Bank_A,Low,Fraud
V0000210,Telangana,Hyderabad,26-35,Bank_B,Medium,Fraud
V0000211,Bihar,Patna,26-35,Bank_A,Low,Cheating
V0000212,Telangana,Hyderabad,51+,Bank_C,High,Cheating
V0000213,Tamil Nadu,Chennai,18-25,Bank_C,Medium,Cheating
V0000214,Chhattisgarh,Kolkata,18-25,Bank_E,Low,Cheating
V0000215,Telangana,Hyderabad,26-35,Bank_A,Low,Cheating
V0000216,Telangana,Hyderabad,51+,Bank_B,High,Cheating
V0000217,Andhra Pradesh,Ahmedabad,51+,Bank_A,Low,Cheating
V0000218,Maharashtra,Mumbai,51+,Bank_D,Low,Cheating
V0000219,Maharashtra,Pune,51+,Bank_D,Medium,Fraud
V0000220,Andhra Pradesh,Bengaluru,26-35,Bank_D,High,Cheating
V0000221,Telangana,Hyderabad,26-35,Bank_E,Low,Cheating
V0000222,Bihar,Patna,51+,Bank_A,Low,Fraud
V0000223,Telangana,Hyderabad,51+,Bank_C,Low,Fraud
V0000224,Tamil Nadu,Chennai,36-50,Bank_E,Low,Fraud
V0000225,Bihar,Patna,36-50,Bank_E,Low,Cheating
V0000226,Maharashtra,Mumbai,36-50,Bank_B,Medium,Cheating
V0000227,Telangana,Hyderabad,26-35,Bank_C,High,Fraud
V0000228,Odisha,Lucknow,36-50,Bank_B,Low,Cheating
V0000229,Telangana,Hyderabad,51+,Bank_C,Low,Fraud
V0000230,Telangana,Hyderabad,26-35,Bank_C,Low,Fraud
V0000231,Telangana,Hyderabad,18-25,Bank_E,Low,Cheating
V0000232,Telangana,Hyderabad,36-50,Bank_A,High,Fraud
V0000233,Telangana,Hyderabad,51+,Bank_D,High,Fraud
V0000234,Maharashtra,Pune,26-35,Bank_A,Low,Cheating
V0000235,Telangana,Hyderabad,26-35,Bank_E,High,Cheating
V0000236,Odisha,Chennai,18-25,Bank_A,Medium,Cheating
V0000237,Telangana,Hyderabad,51+,Bank_E,Medium,Fraud
V0000238,Telangana,Hyderabad,51+,Bank_C,High,Fraud
V0000239,Maharashtra,Mumbai,36-50,Bank_C,Medium,Cheating
V0000240,Telangana,Hyderabad,18-25,Bank_E,Medium,Fraud
V0000241,Telangana,Hyderabad,26-35,Bank_B,High,Cheating
V0000242,Telangana,Hyderabad,36-50,Bank_B,Low,Fraud
V0000243,Telangana,Hyderabad,18-25,Bank_D,Low,Fraud
V0000244,Telangana,Hyderabad,18-25,Bank_B,Medium,Cheating
V0000245,Tamil Nadu,Chennai,18-25,Bank_B,Medium,Fraud
V0000246,Telangana,Hyderabad,36-50,Bank_C,High,Fraud
V0000247,Odisha,Ahmedabad,36-50,Bank_A,Medium,Fraud
V0000248,Odisha,Kolkata,26-35,Bank_A,High,Fraud
V0000249,Bihar,Patna,26-35,Bank_E,High,Fraud
V0000250,Maharashtra,Pune,51+,Bank_B,Low,Fraud
V0000251,Telangana,Hyderabad,26-35,Bank_B,Medium,Fraud
V0000252,Jharkhand,Kolkata,51+,Bank_C,Low,Cheating
V0000253,Telangana,Hyderabad,18-25,Bank_A,Low,Cheating
V0000254,Telangana,Hyderabad,26-35,Bank_C,Low,Fraud
V0000255,Telangana,Hyderabad,36-50,Bank_D,High,Fraud
V0000256,Odisha,Hyderabad,51+,Bank_A,Medium,Cheating
V0000257,Maharashtra,Pune,36-50,Bank_B,Medium,Cheating
V0000258,Bihar,Patna,26-35,Bank_C,Medium,Forgery
V0000259,Telangana,Hyderabad,36-50,Bank_D,Low,Cheating
V0000260,Bihar,Patna,51+,Bank_B,Low,Cheating
V0000261,Bihar,Patna,36-50,Bank_D,Low,Cheating
V0000262,Telangana,Hyderabad,18-25,Bank_A,Medium,Fraud
V0000263,Telangana,Hyderabad,51+,Bank_B,High,Cheating
V0000264,Telangana,Hyderabad,36-50,Bank_B,High,Cheating
V0000265,Odisha,Patna,51+,Bank_D,Low,Cheating
V0000266,Uttar Pradesh,Lucknow,26-35,Bank_D,High,Cheating
V0000267,Telangana,Hyderabad,26-35,Bank_A,High,Fraud
V0000268,Bihar,Patna,26-35,Bank_E,High,Fraud
V0000269,Telangana,Hyderabad,36-50,Bank_A,Medium,Fraud
V0000270,Bihar,Patna,18-25,Bank_D,Medium,Fraud
V0000271,Bihar,Patna,18-25,Bank_A,High,Fraud
V0000272,Telangana,Hyderabad,26-35,Bank_C,High,Fraud
V0000273,Bihar,Patna,51+,Bank_A,High,Fraud
V0000274,Telangana,Hyderabad,18-25,Bank_D,Low,Cheating
V0000275,Telangana,Hyderabad,18-25,Bank_E,Medium,Fraud
V0000276,Telangana,Hyderabad,51+,Bank_D,Medium,Cheating
V0000277,Telangana,Hyderabad,26-35,Bank_A,High,Fraud
V0000278,Bihar,Patna,36-50,Bank_E,Medium,Fraud
V0000279,Bihar,Patna,36-50,Bank_E,Low,Fraud
V0000280,Bihar,Patna,18-25,Bank_A,Medium,Cheating
V0000281,Maharashtra,Mumbai,36-50,Bank_C,High,Cheating
V0000282,Telangana,Hyderabad,26-35,Bank_A,Medium,Cheating
V0000283,Odisha,Jaipur,51+,Bank_D,High,Cheating
V0000284,Telangana,Hyderabad,26-35,Bank_D,Medium,Fraud
V0000285,Telangana,Hyderabad,51+,Bank_A,High,Cheating
V0000286,Telangana,Hyderabad,51+,Bank_E,Medium,Fraud
V0000287,Bihar,Patna,36-50,Bank_B,High,Cheating
V0000288,Telangana,Hyderabad,51+,Bank_E,Low,Cheating
V0000289,Telangana,Hyderabad,36-50,Bank_C,Low,Cheating
V0000290,Bihar,Patna,36-50,Bank_E,Medium,Cheating
V0000291,Uttar Pradesh,Lucknow,36-50,Bank_B,Medium,Cheating
V0000292,Maharashtra,Pune,18-25,Bank_A,High,Cheating
V0000293,Telangana,Hyderabad,26-35,Bank_E,Medium,Cheating
V0000294,Telangana,Hyderabad,26-35,Bank_C,Low,Fraud
V0000295,Telangana,Hyderabad,36-50,Bank_C,High,Cheating
V0000296,Andhra Pradesh,Kolkata,51+,Bank_C,High,Fraud
V0000297,Maharashtra,Pune,26-35,Bank_C,Low,Cheating
V0000298,Telangana,Hyderabad,18-25,Bank_C,High,Fraud
V0000299,Telangana,Hyderabad,36-50,Bank_C,Low,Cheating
V0000300,Telangana,Hyderabad,26-35,Bank_B,Medium,Fraud
V0000301,Telangana,Hyderabad,26-35,Bank_E,Low,Fraud
V0000302,Telangana,Hyderabad,18-25,Bank_B,Medium,Fraud
V0000303,Telangana,Hyderabad,36-50,Bank_A,High,Cheating
V0000304,Telangana,Hyderabad,18-25,Bank_E,Low,Fraud
V0000305,Telangana,Hyderabad,51+,Bank_A,Low,Cheating
V0000306,Telangana,Hyderabad,26-35,Bank_B,Low,Fraud
V0000307,Telangana,Hyderabad,36-50,Bank_C,Medium,Forgery
V0000308,Telangana,Hyderabad,26-35,Bank_A,High,Cheating
V0000309,Telangana,Hyderabad,18-25,Bank_C,Low,Cyber Blackmailing
V0000310,Telangana,Hyderabad,36-50,Bank_E,Low,Fraud
V0000311,Telangana,Hyderabad,36-50,Bank_E,Low,Fraud
V0000312,Odisha,Jaipur,18-25,Bank_A,Medium,Cheating
V0000313,Telangana,Hyderabad,26-35,Bank_B,High,Fraud
V0000314,Telangana,Hyderabad,51+,Bank_D,Low,Cheating
V0000315,Telangana,Hyderabad,18-25,Bank_E,High,Fraud
V0000316,Telangana,Hyderabad,26-35,Bank_D,High,Cheating
V0000317,Telangana,Hyderabad,18-25,Bank_D,Low,Fraud
V0000318,Bihar,Patna,18-25,Bank_E,Medium,Fraud
V0000319,Andhra Pradesh,Pune,36-50,Bank_D,High,Fraud
V0000320,Tamil Nadu,Chennai,26-35,Bank_A,Medium,Fraud
V0000321,Telangana,Hyderabad,26-35,Bank_B,High,Forgery
V0000322,Bihar,Patna,51+,Bank_B,High,Fraud
V0000323,Gujarat,Ahmedabad,18-25,Bank_B,Low,Cheating
V0000324,Telangana,Hyderabad,51+,Bank_A,Low,Cheating
V0000325,Bihar,Patna,51+,Bank_C,Medium,Cheating
V0000326,Andhra Pradesh,Pune,18-25,Bank_C,Medium,Fraud
V0000327,Telangana,Hyderabad,18-25,Bank_B,Low,Cheating
V0000328,Bihar,Patna,36-50,Bank_B,High,Cheating
V0000329,Telangana,Hyderabad,51+,Bank_E,Low,Fraud
V0000330,Bihar,Patna,36-50,Bank_A,High,Cheating
V0000331,Maharashtra,Mumbai,26-35,Bank_B,Medium,Fraud
V0000332,Telangana,Hyderabad,26-35,Bank_E,High,Fraud
V0000333,Bihar,Patna,51+,Bank_D,High,Fraud
V0000334,Telangana,Hyderabad,51+,Bank_E,High,Cheating
V0000335,Telangana,Hyderabad,36-50,Bank_B,Low,Fraud
V0000336,Telangana,Hyderabad,18-25,Bank_B,Low,Fraud
V0000337,Telangana,Hyderabad,26-35,Bank_D,High,Cheating
V0000338,Andhra Pradesh,Patna,51+,Bank_B,Low,Cheating
V0000339,Telangana,Hyderabad,26-35,Bank_E,Medium,Fraud
V0000340,Telangana,Hyderabad,36-50,Bank_A,High,Fraud
V0000341,Maharashtra,Mumbai,18-25,Bank_B,Low,Fraud
V0000342,Telangana,Hyderabad,18-25,Bank_D,High,Cheating
V0000343,Maharashtra,Pune,26-35,Bank_D,High,Fraud
V0000344,Telangana,Hyderabad,26-35,Bank_D,Medium,Fraud
V0000345,Telangana,Hyderabad,18-25,Bank_A,Medium,Cheating
V0000346,Telangana,Hyderabad,36-50,Bank_C,Medium,Fraud
V0000347,Telangana,Hyderabad,26-35,Bank_A,High,Fraud
V0000348,Bihar,Patna,18-25,Bank_D,High,Fraud
V0000349,Telangana,Hyderabad,18-25,Bank_C,High,Fraud
V0000350,Bihar,Patna,26-35,Bank_D,Medium,Cheating
V0000351,Bihar,Patna,18-25,Bank_D,Low,Cheating
V0000352,Andhra Pradesh,Kolkata,18-25,Bank_B,Medium,Fraud
V0000353,Telangana,Hyderabad,36-50,Bank_C,High,Cheating
V0000354,Telangana,Hyderabad,26-35,Bank_D,Low,Cheating
V0000355,Telangana,Hyderabad,51+,Bank_C,Medium,Fraud
V0000356,Odisha,Hyderabad,51+,Bank_C,High,Cheating
V0000357,Tamil Nadu,Chennai,26-35,Bank_B,Low,Fraud
V0000358,Odisha,Hyderabad,18-25,Bank_A,Low,Fraud
V0000359,Maharashtra,Pune,36-50,Bank_B,Low,Cheating
V0000360,Bihar,Patna,26-35,Bank_E,Medium,Cheating
V0000361,Telangana,Hyderabad,18-25,Bank_C,Low,Fraud
V0000362,Telangana,Hyderabad,26-35,Bank_C,Low,Cheating
V0000363,Telangana,Hyderabad,36-50,Bank_D,Low,Fraud
V0000364,Andhra Pradesh,Hyderabad,36-50,Bank_E,Low,Fraud
V0000365,Telangana,Hyderabad,51+,Bank_E,High,Fraud
V0000366,Telangana,Hyderabad,26-35,Bank_D,Medium,Fraud
V0000367,Telangana,Hyderabad,18-25,Bank_B,Low,Fraud
V0000368,Telangana,Hyderabad,51+,Bank_B,Low,Cheating
V0000369,Bihar,Patna,36-50,Bank_B,High,Cheating
V0000370,Tamil Nadu,Chennai,18-25,Bank_C,Low,Cheating
V0000371,Maharashtra,Pune,18-25,Bank_A,Low,Cheating
V0000372,Andhra Pradesh,Hyderabad,36-50,Bank_D,High,Cheating
V0000373,Telangana,Hyderabad,36-50,Bank_B,High,Fraud
V0000374,Telangana,Hyderabad,18-25,Bank_C,Medium,Fraud
V0000375,Maharashtra,Mumbai,26-35,Bank_D,Low,Fraud
V0000376,Bihar,Patna,18-25,Bank_A,Low,Fraud
V0000377,Telangana,Hyderabad,26-35,Bank_C,Medium,Cheating
V0000378,Telangana,Hyderabad,18-25,Bank_E,Medium,Cheating
V0000379,Telangana,Hyderabad,18-25,Bank_C,Medium,Fraud
V0000380,Telangana,Hyderabad,36-50,Bank_E,Low,Cheating
V0000381,Maharashtra,Pune,51+,Bank_B,High,Cheating
V0000382,Telangana,Hyderabad,36-50,Bank_C,Medium,Fraud
V0000383,Maharashtra,Mumbai,36-50,Bank_C,Low,Cheating
V0000384,Maharashtra,Mumbai,26-35,Bank_C,High,Fraud
V0000385,Telangana,Hyderabad,26-35,Bank_E,Medium,Fraud
V0000386,Andhra Pradesh,Mumbai,18-25,Bank_B,High,Fraud
V0000387,Bihar,Patna,51+,Bank_D,High,Fraud
V0000388,Telangana,Hyderabad,26-35,Bank_A,Medium,Fraud
V0000389,Odisha,Jaipur,51+,Bank_C,Medium,Fraud
V0000390,Bihar,Patna,36-50,Bank_C,Low,Cheating
V0000391,Telangana,Hyderabad,51+,Bank_B,Medium,Fraud
V0000392,Telangana,Hyderabad,26-35,Bank_B,High,Fraud
V0000393,Telangana,Hyderabad,26-35,Bank_E,Medium,Cheating
V0000394,Telangana,Hyderabad,18-25,Bank_D,High,Fraud
V0000395,Telangana,Hyderabad,18-25,Bank_E,Low,Cheating
V0000396,Maharashtra,Mumbai,51+,Bank_B,Low,Cheating
V0000397,Maharashtra,Mumbai,18-25,Bank_E,Medium,Cheating
V0000398,Maharashtra,Mumbai,51+,Bank_D,Medium,Fraud
V0000399,Telangana,Hyderabad,51+,Bank_E,Low,Cheating
V0000400,Telangana,Hyderabad,36-50,Bank_C,High,Fraud
V0000401,Bihar,Patna,36-50,Bank_D,Low,Fraud
V0000402,Telangana,Hyderabad,18-25,Bank_B,Medium,Fraud
