complaint_id,account_id,hop_depth,chain_depth,incoming_amount,retained_amount_ratio,holding_time_minutes,outgoing_activity_in_case,prior_case_count,mule_reputation,account_age_days,ring_size,account_type,is_terminal_node
C0000011,ACC000699,3,3,238800,1.0,0.0,0,0,0.0,1715,3,SAVINGS,1
C0000012,ACC000001,1,3,6900,0.0145,3.44,1,3,0.6501,870,3,SAVINGS,0
C0000012,ACC000003,2,3,2010,0.005,15.03,1,3,0.6501,1227,3,SAVINGS,0
C0000012,ACC000002,2,3,4790,0.0397,6.5,1,3,0.6501,1451,3,SAVINGS,0
C0000012,ACC000003,3,3,8610,1.0,0.0,0,3,0.6501,1227,3,SAVINGS,1
C0000013,ACC000122,1,4,9800,0.0102,3.93,1,0,0.0,1219,6,SAVINGS,0
C0000013,ACC000120,2,4,4686,0.0397,20.33,1,0,0.0,1743,6,CURRENT,0
C0000013,ACC000121,2,4,5014,0.0227,2.31,1,0,0.0,1055,6,SAVINGS,0
C0000013,ACC000118,3,4,3860,0.0155,15.56,1,0,0.0,2046,6,SAVINGS,0
C0000013,ACC000117,3,4,5540,0.0072,7.55,1,0,0.0,673,6,SAVINGS,0
C0000013,ACC000119,4,4,9300,1.0,0.0,0,0,0.0,2197,6,CURRENT,1
C0000014,ACC000027,1,3,3300,0.0,19.42,1,0,0.0,1141,8,CURRENT,0
C0000014,ACC000022,2,3,3300,0.0303,13.5,1,1,0.2953,431,8,CURRENT,0
C0000014,ACC000023,3,3,3200,1.0,0.0,0,1,0.2953,2053,8,SAVINGS,1
C0000015,ACC000030,1,3,12000,0.0167,16.77,1,0,0.0,1649,3,SAVINGS,0
C0000015,ACC000032,2,3,11800,0.0085,11.24,1,0,0.0,157,3,SAVINGS,0
C0000015,ACC000031,3,3,11700,1.0,0.0,0,0,0.0,1935,3,SAVINGS,1
C0000016,ACC000035,1,3,112300,0.0232,11.91,1,0,0.0,873,3,SAVINGS,0
C0000016,ACC000033,2,3,54198,0.011,12.1,1,0,0.0,1438,3,SAVINGS,0
C0000016,ACC000034,2,3,55502,0.0271,23.52,1,0,0.0,1812,3,CURRENT,0
C0000016,ACC000035,3,3,219900,1.0,0.0,0,0,0.0,873,3,SAVINGS,1
C0000017,ACC000077,1,3,65300,0.0214,14.88,1,0,0.0,1282,18,SAVINGS,0
C0000017,ACC000069,2,3,35392,0.0365,18.08,1,0,0.0,337,18,SAVINGS,0
C0000017,ACC000081,2,3,28508,0.0354,24.97,1,0,0.0,808,18,SAVINGS,0
C0000017,ACC000080,3,3,61600,1.0,0.0,0,0,0.0,2179,18,SAVINGS,1
C0000018,ACC001376,1,4,22000,0.0273,4.27,1,0,0.0,1479,8,SAVINGS,0
C0000018,ACC001378,2,4,7158,0.0081,6.82,1,0,0.0,1696,8,SAVINGS,0
C0000018,ACC001374,2,4,4494,0.0209,23.48,1,0,0.0,899,8,SAVINGS,0
C0000018,ACC001379,2,4,9749,0.0255,21.72,1,0,0.0,752,8,SAVINGS,0
C0000018,ACC001377,3,4,8860,0.0068,24.15,1,0,0.0,103,8,SAVINGS,0
C0000018,ACC001380,3,4,3414,0.0041,7.85,1,0,0.0,585,8,SAVINGS,0
C0000018,ACC001381,3,4,8726,0.0144,22.28,1,0,0.0,499,8,SAVINGS,0
C0000018,ACC001375,4,4,20800,1.0,0.0,0,0,0.0,2101,8,SAVINGS,1
C0000019,ACC000056,1,3,15100,0.0066,3.82,1,0,0.0,1172,7,SAVINGS,0
C0000019,ACC000058,2,3,15000,0.0067,8.57,1,0,0.0,78,7,CURRENT,0
C0000019,ACC000057,3,3,14900,1.0,0.0,0,0,0.0,290,7,SAVINGS,1
C0000020,ACC000006,1,3,6400,0.0156,3.27,1,0,0.0,1301,3,SAVINGS,0
C0000020,ACC000004,2,3,6300,0.0159,5.15,1,0,0.0,1654,3,SAVINGS,0
C0000020,ACC000005,3,3,6200,1.0,0.0,0,0,0.0,1619,3,SAVINGS,1
C0000021,ACC000134,1,3,4100,0.0488,19.96,1,0,0.0,908,3,SAVINGS,0
C0000021,ACC000135,2,3,1793,0.0,19.74,1,0,0.0,1521,3,SAVINGS,0
C0000021,ACC000136,2,3,3907,0.0018,22.75,1,0,0.0,548,3,CURRENT,0
C0000021,ACC000136,3,3,7807,1.0,0.0,0,0,0.0,548,3,CURRENT,1
C0000022,ACC000004,1,3,36000,0.0083,20.86,1,1,0.2953,1654,3,SAVINGS,0
C0000022,ACC000005,2,3,35700,0.0084,18.47,1,1,0.2953,1619,3,SAVINGS,0
C0000022,ACC000006,3,3,35400,1.0,0.0,0,1,0.2953,1301,3,SAVINGS,1
C0000023,ACC000019,1,3,1857200,0.0173,15.66,1,0,0.0,574,3,SAVINGS,0
C0000023,ACC000021,2,3,159189,0.0364,18.65,1,0,0.0,1756,3,SAVINGS,0
C0000023,ACC000020,2,3,1665811,0.0166,5.28,1,0,0.0,1797,3,SAVINGS,0
C0000023,ACC000021,3,3,1950689,1.0,0.0,0,0,0.0,1756,3,SAVINGS,1
C0000024,ACC000038,1,4,49100,0.0143,2.48,1,0,0.0,1812,5,SAVINGS,0
C0000024,ACC000040,2,4,45888,0.015,15.2,1,0,0.0,2146,5,CURRENT,0
C0000024,ACC000037,2,4,2512,0.0048,18.76,1,0,0.0,270,5,SAVINGS,0
C0000024,ACC000036,3,4,47700,0.0377,13.01,1,0,0.0,815,5,SAVINGS,0
C0000024,ACC000039,4,4,45900,1.0,0.0,0,0,0.0,1441,5,SAVINGS,1
C0000025,ACC000005,1,3,1406100,0.0288,24.0,1,2,0.5034,1619,3,SAVINGS,0
C0000025,ACC000006,2,3,1365600,0.0277,4.23,1,2,0.5034,1301,3,SAVINGS,0
C0000025,ACC000004,3,3,1327800,1.0,0.0,0,2,0.5034,1654,3,SAVINGS,1
C0000026,ACC000054,1,4,6500,0.0154,14.86,1,0,0.0,277,5,SAVINGS,0
C0000026,ACC000051,2,4,1451,0.0351,15.07,1,0,0.0,800,5,SAVINGS,0
C0000026,ACC000052,2,4,4889,0.0387,3.52,1,0,0.0,1346,5,SAVINGS,0
C0000026,ACC000053,2,4,60,0.0,1.34,1,0,0.0,228,5,CURRENT,0
C0000026,ACC000050,3,4,6200,0.0323,9.04,1,0,0.0,395,5,SAVINGS,0
C0000026,ACC000054,4,4,12500,1.0,0.0,0,0,0.0,277,5,SAVINGS,1
C0000027,ACC000033,1,3,1000,0.0,11.04,1,1,0.2953,1438,3,SAVINGS,0
C0000027,ACC000034,2,3,1000,0.0,4.78,1,1,0.2953,1812,3,CURRENT,0
C0000027,ACC000035,3,3,1000,1.0,0.0,0,1,0.2953,873,3,SAVINGS,1
C0000028,ACC000339,1,3,165300,0.0194,7.9,1,0,0.0,538,3,SAVINGS,0
C0000028,ACC000337,2,3,162100,0.0241,13.8,1,0,0.0,2111,3,CURRENT,0
C0000028,ACC000338,3,3,158200,1.0,0.0,0,0,0.0,935,3,SAVINGS,1
C0000029,ACC001521,1,3,2500,0.04,5.51,1,0,0.0,1286,3,CURRENT,0
C0000029,ACC001520,2,3,2400,0.0,14.33,1,0,0.0,1849,3,SAVINGS,0
C0000029,ACC001519,3,3,2400,1.0,0.0,0,0,0.0,906,3,CURRENT,1
C0000030,ACC000622,1,3,26800,0.0149,21.38,1,0,0.0,1789,3,SAVINGS,0
C0000030,ACC000624,2,3,14252,0.0387,7.75,1,0,0.0,566,3,SAVINGS,0
C0000030,ACC000623,2,3,12148,0.0122,7.14,1,0,0.0,2156,3,SAVINGS,0
C0000030,ACC000624,3,3,39952,1.0,0.0,0,0,0.0,566,3,SAVINGS,1
C0000031,ACC000348,1,4,18100,0.011,15.97,1,0,0.0,1801,18,SAVINGS,0
C0000031,ACC000350,2,4,17900,0.0168,7.72,1,0,0.0,1628,18,SAVINGS,0
C0000031,ACC000343,3,4,17600,0.0114,6.6,1,0,0.0,873,18,CURRENT,0
C0000031,ACC000345,4,4,17400,1.0,0.0,0,0,0.0,1086,18,SAVINGS,1
C0000032,ACC000030,1,3,23700,0.0295,9.48,1,1,0.2953,1649,3,SAVINGS,0
C0000032,ACC000031,2,3,23000,0.0304,14.67,1,1,0.2953,1935,3,SAVINGS,0
C0000032,ACC000032,3,3,22300,1.0,0.0,0,1,0.2953,157,3,SAVINGS,1
C0000033,ACC000196,1,3,113600,0.0246,21.33,1,0,0.0,1631,11,SAVINGS,0
C0000033,ACC000197,2,3,110800,0.019,9.33,1,0,0.0,50,11,SAVINGS,0
C0000033,ACC000199,3,3,108700,1.0,0.0,0,0,0.0,1331,11,SAVINGS,1
C0000034,ACC000002,1,3,695800,0.0377,9.02,1,4,0.7534,1451,3,SAVINGS,0
C0000034,ACC000001,2,3,166025,0.0224,19.33,1,4,0.7534,870,3,SAVINGS,0
C0000034,ACC000003,2,3,665875,0.0265,21.78,1,4,0.7534,1227,3,SAVINGS,0
C0000034,ACC000003,3,3,1314075,1.0,0.0,0,4,0.7534,1227,3,SAVINGS,1
C0000035,ACC000471,1,3,204400,0.0396,2.9,1,0,0.0,1054,3,SAVINGS,0
C0000035,ACC000469,2,3,136159,0.01,4.48,1,0,0.0,91,3,SAVINGS,0
C0000035,ACC000470,2,3,60141,0.0356,7.88,1,0,0.0,104,3,SAVINGS,0
C0000035,ACC000471,3,3,397200,1.0,0.0,0,0,0.0,1054,3,SAVINGS,1
C0000036,ACC000001,1,3,54800,0.0201,5.35,1,5,0.8262,870,3,SAVINGS,0
C0000036,ACC000002,2,3,33566,0.0109,11.13,1,5,0.8262,1451,3,SAVINGS,0
C0000036,ACC000003,2,3,53334,0.0194,14.51,1,5,0.8262,1227,3,SAVINGS,0
C0000036,ACC000003,3,3,105634,1.0,0.0,0,5,0.8262,1227,3,SAVINGS,1
C0000037,ACC000134,1,3,65600,0.0259,11.84,1,1,0.2953,908,3,SAVINGS,0
C0000037,ACC000135,2,3,30300,0.0099,5.78,1,1,0.2953,1521,3,SAVINGS,0
C0000037,ACC000136,2,3,63600,0.0189,16.75,1,1,0.2953,548,3,CURRENT,0
C0000037,ACC000136,3,3,126000,1.0,0.0,0,1,0.2953,548,3,CURRENT,1
C0000038,ACC000003,1,3,499400,0.0096,8.43,1,6,0.8775,1227,3,SAVINGS,0
C0000038,ACC000002,2,3,494600,0.0057,3.27,1,6,0.8775,1451,3,SAVINGS,0
C0000038,ACC000001,3,3,491800,1.0,0.0,0,6,0.8775,870,3,SAVINGS,1
C0000039,ACC000333,1,3,87700,0.0296,4.66,1,0,0.0,2091,3,CURRENT,0
C0000039,ACC000331,2,3,24671,0.0353,15.92,1,0,0.0,1965,3,SAVINGS,0
C0000039,ACC000332,2,3,60429,0.017,17.11,1,0,0.0,2010,3,SAVINGS,0
C0000039,ACC000333,3,3,170900,1.0,0.0,0,0,0.0,2091,3,CURRENT,1
C0000040,ACC000011,1,4,42800,0.0187,8.74,1,0,0.0,625,12,SAVINGS,0
C0000040,ACC000015,2,4,42000,0.0143,16.01,1,1,0.2953,1880,12,CURRENT,0
C0000040,ACC000012,3,4,41400,0.0169,18.69,1,0,0.0,2096,12,SAVINGS,0
C0000040,ACC000007,4,4,40700,1.0,0.0,0,1,0.2953,1026,12,SAVINGS,1
C0000041,ACC001292,1,4,4500,0.0222,16.72,1,0,0.0,81,6,SAVINGS,0
C0000041,ACC001288,2,4,2109,0.0517,3.16,1,0,0.0,360,6,SAVINGS,0
C0000041,ACC001293,2,4,866,0.0762,11.59,1,0,0.0,260,6,SAVINGS,0
C0000041,ACC001291,2,4,1425,0.0175,23.15,1,0,0.0,1754,6,CURRENT,0
C0000041,ACC001290,3,4,2307,0.003,16.25,1,0,0.0,1905,6,SAVINGS,0
C0000041,ACC001289,3,4,1893,0.0491,12.57,1,0,0.0,331,6,SAVINGS,0
C0000041,ACC001293,4,4,4966,1.0,0.0,0,0,0.0,260,6,SAVINGS,1
C0000042,ACC001128,1,3,1200,0.0,1.93,1,0,0.0,158,3,CURRENT,0
C0000042,ACC001129,2,3,563,0.0,10.04,1,0,0.0,99,3,SAVINGS,0
C0000042,ACC001130,2,3,1237,0.0299,2.17,1,0,0.0,31,3,SAVINGS,0
C0000042,ACC001130,3,3,2437,1.0,0.0,0,0,0.0,31,3,SAVINGS,1
C0000043,ACC000018,1,3,18100,0.0276,15.56,1,0,0.0,1680,12,SAVINGS,0
C0000043,ACC000016,2,3,17600,0.0057,7.46,1,0,0.0,1394,12,SAVINGS,0
C0000043,ACC000008,3,3,17500,1.0,0.0,0,0,0.0,297,12,SAVINGS,1
C0000044,ACC000003,1,3,12000,0.0333,5.44,1,7,0.9137,1227,3,SAVINGS,0
C0000044,ACC000001,2,3,9470,0.018,11.52,1,7,0.9137,870,3,SAVINGS,0
C0000044,ACC000002,2,3,2130,0.0141,2.99,1,7,0.9137,1451,3,SAVINGS,0
C0000044,ACC000003,3,3,23400,1.0,0.0,0,7,0.9137,1227,3,SAVINGS,1
C0000045,ACC000039,1,3,13200,0.0227,5.7,1,1,0.2953,1441,5,SAVINGS,0
C0000045,ACC000038,2,3,3923,0.0059,17.0,1,1,0.2953,1812,5,SAVINGS,0
C0000045,ACC000036,2,3,6600,0.0303,21.57,1,1,0.2953,815,5,SAVINGS,0
C0000045,ACC000040,2,3,2377,0.0324,20.31,1,1,0.2953,2146,5,CURRENT,0
C0000045,ACC000037,3,3,12600,1.0,0.0,0,1,0.2953,270,5,SAVINGS,1
C0000046,ACC000002,1,3,2600,0.0385,16.75,1,8,0.9392,1451,3,SAVINGS,0
C0000046,ACC000001,2,3,2500,0.04,9.27,1,8,0.9392,870,3,SAVINGS,0
C0000046,ACC000003,3,3,2400,1.0,0.0,0,8,0.9392,1227,3,SAVINGS,1
C0000047,ACC000003,1,3,8400,0.0238,9.6,1,9,0.9571,1227,3,SAVINGS,0
C0000047,ACC000002,2,3,5744,0.0425,18.7,1,9,0.9571,1451,3,SAVINGS,0
C0000047,ACC000001,2,3,2456,0.0228,8.8,1,9,0.9571,870,3,SAVINGS,0
C0000047,ACC000003,3,3,16300,1.0,0.0,0,9,0.9571,1227,3,SAVINGS,1
C0000048,ACC000581,1,3,23500,0.0213,6.71,1,0,0.0,1210,3,SAVINGS,0
C0000048,ACC000580,2,3,9832,0.0236,10.3,1,0,0.0,1762,3,SAVINGS,0
C0000048,ACC000582,2,3,22768,0.0118,15.62,1,0,0.0,1768,3,SAVINGS,0
C0000048,ACC000582,3,3,45268,1.0,0.0,0,0,0.0,1768,3,SAVINGS,1
C0000049,ACC000006,1,3,192400,0.0166,3.0,1,3,0.6501,1301,3,SAVINGS,0
C0000049,ACC000004,2,3,189200,0.0338,8.86,1,3,0.6501,1654,3,SAVINGS,0
C0000049,ACC000005,3,3,182800,1.0,0.0,0,3,0.6501,1619,3,SAVINGS,1
C0000050,ACC000019,1,3,62500,0.0352,24.54,1,1,0.2953,574,3,SAVINGS,0
C0000050,ACC000021,2,3,60300,0.0332,18.26,1,1,0.2953,1756,3,SAVINGS,0
C0000050,ACC000020,3,3,58300,1.0,0.0,0,1,0.2953,1797,3,SAVINGS,1
C0000051,ACC000013,1,3,25800,0.0271,6.98,1,0,0.0,711,12,SAVINGS,0
C0000051,ACC000018,2,3,6678,0.0117,21.47,1,1,0.2953,1680,12,SAVINGS,0
C0000051,ACC000012,2,3,6691,0.0136,22.78,1,1,0.2953,2096,12,SAVINGS,0
C0000051,ACC000014,2,3,11731,0.0197,10.88,1,1,0.2953,886,12,SAVINGS,0
C0000051,ACC000007,3,3,24700,1.0,0.0,0,2,0.5034,1026,12,SAVINGS,1
C0000052,ACC000185,1,2,67600,0.0074,5.13,1,0,0.0,599,18,SAVINGS,0
C0000052,ACC000179,2,2,67100,1.0,0.0,0,0,0.0,912,18,SAVINGS,1
C0000053,ACC000040,1,3,21400,0.0234,12.01,1,2,0.5034,2146,5,CURRENT,0
C0000053,ACC000039,2,3,4574,0.0162,5.08,1,2,0.5034,1441,5,SAVINGS,0
C0000053,ACC000036,2,3,16326,0.0322,21.86,1,2,0.5034,815,5,SAVINGS,0
C0000053,ACC000038,3,3,20300,1.0,0.0,0,2,0.5034,1812,5,SAVINGS,1
C0000054,ACC000263,1,3,3300,0.0,25.0,1,0,0.0,1700,3,SAVINGS,0
C0000054,ACC000261,2,3,3300,0.0303,4.71,1,0,0.0,567,3,SAVINGS,0
C0000054,ACC000262,3,3,3200,1.0,0.0,0,0,0.0,1383,3,SAVINGS,1
C0000055,ACC000042,1,4,296500,0.0202,7.46,1,0,0.0,1566,9,CURRENT,0
C0000055,ACC000049,2,4,113899,0.0228,3.23,1,0,0.0,438,9,SAVINGS,0
C0000055,ACC000045,2,4,122953,0.0143,15.89,1,0,0.0,1153,9,SAVINGS,0
C0000055,ACC000048,2,4,53648,0.0065,3.44,1,0,0.0,1052,9,SAVINGS,0
C0000055,ACC000041,3,4,285800,0.0252,4.67,1,0,0.0,1619,9,SAVINGS,0
C0000055,ACC000047,4,4,278600,1.0,0.0,0,0,0.0,1425,9,CURRENT,1
C0000056,ACC000104,1,6,116300,0.0129,11.13,1,0,0.0,47,18,CURRENT,0
C0000056,ACC000102,2,6,53530,0.0342,15.06,1,0,0.0,1132,18,SAVINGS,0
C0000056,ACC000101,2,6,22295,0.0132,9.55,1,0,0.0,78,18,SAVINGS,0
C0000056,ACC000093,2,6,38975,0.0122,2.31,1,0,0.0,99,18,CURRENT,0
C0000056,ACC000096,3,6,112200,0.0321,9.99,1,0,0.0,1437,18,SAVINGS,0
C0000056,ACC000090,4,6,7500,0.0133,10.51,1,0,0.0,1595,18,SAVINGS,0
C0000056,ACC000099,4,6,47361,0.014,13.66,1,0,0.0,1779,18,SAVINGS,0
C0000056,ACC000098,4,6,53739,0.0175,15.2,1,0,0.0,1360,18,SAVINGS,0
C0000056,ACC000088,5,6,106900,0.0084,23.78,1,0,0.0,482,18,CURRENT,0
C0000056,ACC000092,6,6,106000,1.0,0.0,0,0,0.0,1801,18,CURRENT,1
C0000057,ACC001889,1,3,152300,0.0256,21.22,1,0,0.0,475,5,SAVINGS,0
C0000057,ACC001893,2,3,73310,0.0342,17.01,1,0,0.0,1781,5,SAVINGS,0
C0000057,ACC001892,2,3,49295,0.0121,11.79,1,0,0.0,10,5,SAVINGS,0
C0000057,ACC001890,2,3,25795,0.0114,17.58,1,0,0.0,1279,5,SAVINGS,0
C0000057,ACC001891,3,3,145000,1.0,0.0,0,0,0.0,2087,5,SAVINGS,1
C0000058,ACC000006,1,3,4900,0.0204,24.19,1,4,0.7534,1301,3,SAVINGS,0
C0000058,ACC000004,2,3,1702,0.0599,20.44,1,4,0.7534,1654,3,SAVINGS,0
C0000058,ACC000005,2,3,3098,0.0316,5.33,1,4,0.7534,1619,3,SAVINGS,0
C0000058,ACC000006,3,3,9500,1.0,0.0,0,4,0.7534,1301,3,SAVINGS,1
C0000059,ACC000005,1,3,1000,0.0,13.22,1,5,0.8262,1619,3,SAVINGS,0
C0000059,ACC000006,2,3,593,0.0,5.86,1,5,0.8262,1301,3,SAVINGS,0
C0000059,ACC000004,2,3,407,0.0172,23.53,1,5,0.8262,1654,3,SAVINGS,0
C0000059,ACC000006,3,3,1593,1.0,0.0,0,5,0.8262,1301,3,SAVINGS,1
C0000060,ACC000131,1,3,328000,0.0372,10.37,1,0,0.0,476,3,CURRENT,0
C0000060,ACC000133,2,3,315800,0.018,13.14,1,0,0.0,205,3,SAVINGS,0
C0000060,ACC000132,3,3,310100,1.0,0.0,0,0,0.0,94,3,CURRENT,1
C0000061,ACC000032,1,3,6400,0.0312,15.48,1,2,0.5034,157,3,SAVINGS,0
C0000061,ACC000031,2,3,6200,0.0323,2.43,1,2,0.5034,1935,3,SAVINGS,0
C0000061,ACC000030,3,3,6000,1.0,0.0,0,2,0.5034,1649,3,SAVINGS,1
C0000062,ACC000840,1,3,581700,0.0356,17.87,1,0,0.0,1800,16,SAVINGS,0
C0000062,ACC000843,2,3,93302,0.0236,7.61,1,0,0.0,1355,16,SAVINGS,0
C0000062,ACC000849,2,3,467698,0.0147,19.67,1,0,0.0,2148,16,CURRENT,0
C0000062,ACC000847,3,3,551900,1.0,0.0,0,0,0.0,681,16,SAVINGS,1
C0000063,ACC000283,1,4,300800,0.0249,4.2,1,0,0.0,71,8,SAVINGS,0
C0000063,ACC000286,2,4,258187,0.0305,12.33,1,0,0.0,725,8,SAVINGS,0
C0000063,ACC000288,2,4,35113,0.0146,23.76,1,0,0.0,1866,8,SAVINGS,0
C0000063,ACC000289,3,4,284900,0.0288,14.39,1,0,0.0,657,8,SAVINGS,0
C0000063,ACC000285,4,4,276700,1.0,0.0,0,0,0.0,1822,8,SAVINGS,1
C0000064,ACC000004,1,3,537300,0.0175,8.23,1,6,0.8775,1654,3,SAVINGS,0
C0000064,ACC000006,2,3,527900,0.0297,13.3,1,6,0.8775,1301,3,SAVINGS,0
C0000064,ACC000005,3,3,512200,1.0,0.0,0,6,0.8775,1619,3,SAVINGS,1
C0000065,ACC000128,1,4,65000,0.0369,4.0,1,0,0.0,2010,8,SAVINGS,0
C0000065,ACC000124,2,4,62600,0.024,16.58,1,0,0.0,597,8,SAVINGS,0
C0000065,ACC000130,3,4,55230,0.0096,19.74,1,0,0.0,951,8,SAVINGS,0
C0000065,ACC000129,3,4,5870,0.029,23.68,1,0,0.0,525,8,SAVINGS,0
C0000065,ACC000125,4,4,60400,1.0,0.0,0,0,0.0,1229,8,SAVINGS,1
C0000066,ACC000002,1,3,4100,0.0244,18.27,1,10,0.9698,1451,3,SAVINGS,0
C0000066,ACC000001,2,3,3125,0.04,15.47,1,10,0.9698,870,3,SAVINGS,0
C0000066,ACC000003,2,3,3875,0.0194,7.47,1,10,0.9698,1227,3,SAVINGS,0
C0000066,ACC000003,3,3,7675,1.0,0.0,0,10,0.9698,1227,3,SAVINGS,1
C0000067,ACC000168,1,3,2220000,0.0179,21.98,1,0,0.0,1223,3,SAVINGS,0
C0000067,ACC000167,2,3,175938,0.0076,16.72,1,0,0.0,2002,3,SAVINGS,0
C0000067,ACC000166,2,3,2004362,0.0349,16.26,1,0,0.0,1940,3,CURRENT,0
C0000067,ACC000168,3,3,4329100,1.0,0.0,0,0,0.0,1223,3,SAVINGS,1
C0000068,ACC000119,1,4,35000,0.0229,24.92,1,1,0.2953,2197,6,CURRENT,0
C0000068,ACC000122,2,4,34200,0.0088,6.34,1,1,0.2953,1219,6,SAVINGS,0
C0000068,ACC000120,3,4,33900,0.0236,20.13,1,1,0.2953,1743,6,CURRENT,0
C0000068,ACC000118,4,4,33100,1.0,0.0,0,1,0.2953,2046,6,SAVINGS,1
C0000069,ACC000083,1,5,3600,0.0,5.32,1,0,0.0,267,5,CURRENT,0
C0000069,ACC000085,2,5,2429,0.0119,8.65,1,0,0.0,148,5,SAVINGS,0
C0000069,ACC000084,2,5,1171,0.0,21.38,1,0,0.0,1181,5,SAVINGS,0
C0000069,ACC000087,3,5,3600,0.0,11.87,1,0,0.0,1365,5,CURRENT,0
C0000069,ACC000086,4,5,3600,0.0278,3.86,1,0,0.0,447,5,CURRENT,0
C0000069,ACC000087,5,5,7100,1.0,0.0,0,0,0.0,1365,5,CURRENT,1
