account_id,transaction_velocity_24h,unique_counterparties_7d,incoming_outgoing_ratio,avg_holding_time_minutes,ring_membership,prior_case_count,is_fraud_account
NACC000059,7.571,4,1.085,543.21,0,0,0
NACC000060,4.989,5,1.291,206.79,0,0,0
NACC000061,1.381,4,1.053,456.61,0,0,0
NACC000062,2.22,2,0.724,416.81,0,0,0
NACC000063,3.192,3,1.368,107.32,0,0,0
NACC000064,2.011,1,0.915,321.63,0,0,0
NACC000065,2.028,2,1.053,229.88,0,0,0
NACC000066,1.1,3,1.364,218.3,0,0,0
NACC000067,2.019,2,0.858,331.22,0,0,0
NACC000068,0.978,3,0.836,266.38,0,0,0
NACC000069,9.552,1,1.063,269.02,0,0,0
NACC000070,2.138,4,1.084,390.99,0,0,0
NACC000071,1.785,3,0.613,695.81,0,0,0
NACC000072,0.897,2,1.462,622.82,0,0,0
NACC000073,4.256,4,1.339,753.32,0,0,0
NACC000074,2.037,1,0.864,450.8,0,0,0
NACC000075,0.245,2,1.099,416.28,0,0,0
NACC000076,5.224,1,1.362,544.54,0,0,0
NACC000077,1.345,3,1.338,220.38,0,0,0
NACC000078,2.081,4,1.113,463.31,0,0,0
NACC000079,5.09,1,0.954,546.18,0,0,0
NACC000080,4.683,2,1.28,621.65,0,0,0
NACC000081,2.571,2,0.607,47.01,0,0,0
NACC000082,1.0,3,1.088,305.2,0,0,0
NACC000083,6.425,4,0.971,424.79,0,0,0
NACC000084,0.626,5,1.434,355.8,0,0,0
NACC000085,0.213,2,1.136,317.61,0,0,0
NACC000086,1.004,5,1.364,716.68,0,0,0
NACC000087,2.348,5,1.403,583.73,0,0,0
NACC000088,2.332,5,1.185,1628.31,0,0,0
NACC000089,3.68,2,0.616,601.41,0,0,0
NACC000090,0.895,3,1.379,289.8,0,0,0
NACC000091,0.418,1,1.492,499.92,0,0,0
NACC000092,2.0,4,1.041,359.45,0,0,0
NACC000093,3.372,3,1.403,578.25,0,0,0
NACC000094,1.49,4,0.99,111.9,0,0,0
NACC000095,3.057,3,0.689,802.56,0,0,0
NACC000096,0.694,3,1.057,283.76,0,0,0
NACC000097,2.44,5,0.625,998.82,0,0,0
NACC000098,2.65,4,0.799,1152.99,0,0,0
NACC000099,1.816,4,0.905,377.14,0,0,0
NACC000100,2.549,5,0.71,685.89,0,0,0
NACC000101,1.989,3,0.921,1038.48,0,0,0
NACC000102,4.564,2,1.326,402.24,0,0,0
NACC000103,1.982,3,1.444,495.91,0,0,0
NACC000104,2.036,5,0.965,248.97,0,0,0
NACC000105,0.634,2,1.364,444.85,0,0,0
NACC000106,0.411,3,0.917,548.55,0,0,0
NACC000107,1.122,3,1.293,256.69,0,0,0
NACC000108,2.29,3,0.832,898.82,0,0,0
NACC000109,0.506,2,0.955,243.61,0,0,0
NACC000110,0.941,5,1.141,348.16,0,0,0
NACC000111,2.061,5,0.719,491.74,0,0,0
NACC000112,2.837,4,0.744,544.43,0,0,0
NACC000113,1.083,4,0.845,297.69,0,0,0
NACC000114,0.854,2,0.605,404.45,0,0,0
NACC000115,4.169,2,1.161,868.9,0,0,0
NACC000116,2.362,2,1.275,369.59,0,0,0
NACC000117,2.945,5,0.75,315.6,0,0,0
NACC000118,0.183,4,0.683,217.61,0,0,0
NACC000119,2.827,2,1.298,240.55,0,0,0
NACC000120,0.053,4,1.016,1489.42,0,0,0
NACC000121,7.346,2,1.109,436.25,0,0,0
NACC000122,3.306,5,1.38,725.18,0,0,0
NACC000123,5.786,3,0.631,137.44,0,0,0
NACC000124,2.043,2,0.691,432.03,0,0,0
NACC000125,2.883,2,1.06,313.32,0,0,0
NACC000126,0.46,1,1.231,507.45,0,0,0
NACC000127,2.327,4,0.704,674.49,0,0,0
NACC000128,0.71,1,1.039,507.13,0,0,0
NACC000129,2.58,2,1.298,1058.37,0,0,0
NACC000130,4.061,2,1.326,194.38,0,0,0
NACC000131,1.281,3,1.241,250.97,0,0,0
NACC000132,1.089,2,1.2,275.92,0,0,0
NACC000133,3.018,1,0.662,521.24,0,0,0
NACC000134,5.846,5,1.145,127.29,0,0,0
NACC000135,5.437,4,1.444,464.23,0,0,0
NACC000136,1.148,5,1.384,559.53,0,0,0
NACC000137,2.01,3,0.907,220.48,0,0,0
NACC000138,1.229,3,1.494,273.7,0,0,0
NACC000139,1.584,4,1.243,901.48,0,0,0
NACC000140,0.716,3,0.883,620.06,0,0,0
NACC000141,0.551,2,1.427,747.48,0,0,0
NACC000142,1.171,5,1.071,334.35,0,0,0
NACC000143,1.193,2,1.036,531.8,0,0,0
NACC000144,3.996,3,1.266,417.82,0,0,0
NACC000145,0.743,3,0.791,658.66,0,0,0
NACC000146,0.411,4,0.876,731.41,0,0,0
NACC000147,1.791,5,0.69,248.13,0,0,0
NACC000148,1.474,3,0.68,914.37,0,0,0
NACC000149,2.623,3,1.302,245.63,0,0,0
NACC000150,5.647,1,0.612,870.48,0,0,0
NACC000151,0.422,4,1.442,584.45,0,0,0
NACC000152,6.975,1,0.77,1480.33,0,0,0
NACC000153,2.532,4,0.974,106.77,0,0,0
NACC000154,1.472,3,0.994,343.85,0,0,0
NACC000155,5.129,5,0.936,400.36,0,0,0
NACC000156,2.698,5,1.078,327.01,0,0,0
NACC000157,0.959,5,1.323,382.06,0,0,0
NACC000158,3.724,3,1.014,740.39,0,0,0
NACC000159,2.269,2,0.637,619.59,0,0,0
NACC000160,1.858,2,1.139,720.04,0,0,0
NACC000161,1.053,5,1.259,618.28,0,0,0
NACC000162,1.115,4,0.945,406.99,0,0,0
NACC000163,0.549,4,0.788,423.8,0,0,0
NACC000164,0.584,1,1.397,336.16,0,0,0
NACC000165,2.27,3,1.461,143.97,0,0,0
NACC000166,1.386,4,1.336,606.83,0,0,0
NACC000167,1.109,4,0.602,283.59,0,0,0
NACC000168,3.031,1,0.661,448.79,0,0,0
NACC000169,6.015,3,1.326,942.73,0,0,0
NACC000170,2.44,5,0.989,486.52,0,0,0
NACC000171,1.013,2,1.09,411.21,0,0,0
NACC000172,1.033,5,1.179,303.29,0,0,0
NACC000173,2.04,4,1.353,433.34,0,0,0
NACC000174,0.329,1,1.429,977.68,0,0,0
NACC000175,2.007,5,0.79,243.66,0,0,0
NACC000176,2.107,4,1.497,313.41,0,0,0
NACC000177,4.849,2,1.442,173.21,0,0,0
NACC000178,5.532,5,1.379,624.58,0,0,0
NACC000179,2.006,2,1.234,327.05,0,0,0
NACC000180,1.442,3,0.627,395.15,0,0,0
NACC000181,2.089,1,1.394,871.42,0,0,0
NACC000182,0.696,4,1.378,280.05,0,0,0
NACC000183,2.637,3,1.337,412.43,0,0,0
NACC000184,1.321,1,1.487,365.6,0,0,0
NACC000185,3.887,3,0.82,398.58,0,0,0
NACC000186,1.449,5,1.447,349.22,0,0,0
NACC000187,2.997,2,1.166,1058.24,0,0,0
NACC000188,3.205,5,1.029,718.89,0,0,0
NACC000189,2.229,5,0.752,456.14,0,0,0
NACC000190,3.014,3,0.621,462.7,0,0,0
NACC000191,2.805,3,1.156,554.24,0,0,0
NACC000192,2.621,4,1.022,251.46,0,0,0
NACC000193,0.579,1,0.782,643.79,0,0,0
NACC000194,2.304,2,1.283,219.66,0,0,0
NACC000195,1.03,2,1.321,560.51,0,0,0
NACC000196,0.657,3,0.997,887.11,0,0,0
NACC000197,5.006,4,1.366,545.62,0,0,0
NACC000198,1.763,2,0.827,550.24,0,0,0
NACC000199,2.621,4,0.731,923.2,0,0,0
NACC000200,4.801,2,1.044,907.65,0,0,0
NACC000201,1.498,2,0.689,775.83,0,0,0
NACC000202,0.756,1,0.681,703.32,0,0,0
NACC000203,3.783,3,1.204,136.75,0,0,0
NACC000204,0.815,5,1.016,525.95,0,0,0
NACC000205,2.926,5,0.82,433.39,0,0,0
NACC000206,0.809,3,1.228,446.35,0,0,0
NACC000207,4.161,4,1.033,785.34,0,0,0
NACC000208,3.321,5,1.182,501.06,0,0,0
NACC000209,1.13,3,1.211,309.03,0,0,0
NACC000210,2.846,5,1.048,216.48,0,0,0
NACC000211,9.469,2,0.813,381.16,0,0,0
NACC000212,3.502,5,1.033,262.1,0,0,0
NACC000213,0.364,5,0.916,753.41,0,0,0
NACC000214,2.419,5,1.409,404.84,0,0,0
NACC000215,0.906,4,0.9,446.16,0,0,0
NACC000216,1.023,2,1.083,366.8,0,0,0
NACC000217,7.935,5,1.068,406.89,0,0,0
NACC000218,6.91,1,0.991,559.42,0,0,0
NACC000219,1.003,3,1.358,236.2,0,0,0
NACC000220,3.716,5,1.434,773.65,0,0,0
NACC000221,5.761,1,0.86,49.89,0,0,0
NACC000222,1.582,5,1.381,419.55,0,0,0
NACC000223,2.529,5,1.138,401.8,0,0,0
NACC000224,1.223,5,1.254,663.35,0,0,0
NACC000225,1.611,5,0.951,510.09,0,0,0
NACC000226,3.43,3,0.626,293.48,0,0,0
NACC000227,2.969,4,1.117,310.61,0,0,0
NACC000228,1.316,3,1.366,482.73,0,0,0
NACC000229,1.52,3,1.462,646.55,0,0,0
NACC000230,1.584,5,1.453,667.76,0,0,0
NACC000231,6.227,2,1.437,928.17,0,0,0
NACC000232,0.6,2,0.686,370.28,0,0,0
NACC000233,1.835,4,0.826,623.75,0,0,0
NACC000234,0.368,2,0.726,231.5,0,0,0
NACC000235,1.897,1,1.216,423.16,0,0,0
NACC000236,0.734,2,1.009,349.98,0,0,0
NACC000237,1.338,1,0.891,743.08,0,0,0
NACC000238,2.747,1,1.425,498.85,0,0,0
NACC000239,0.568,1,1.126,271.17,0,0,0
NACC000240,1.872,1,0.7,597.66,0,0,0
NACC000241,1.643,1,0.79,964.31,0,0,0
NACC000242,2.995,4,0.616,462.48,0,0,0
NACC000243,2.374,5,1.112,593.85,0,0,0
NACC000244,2.784,4,0.922,415.13,0,0,0
NACC000245,3.091,4,0.779,493.35,0,0,0
NACC000246,2.484,2,1.1,502.19,0,0,0
NACC000247,0.89,4,1.118,1022.16,0,0,0
NACC000248,4.028,3,1.467,405.71,0,0,0
NACC000249,1.954,2,0.668,502.78,0,0,0
NACC000250,0.696,2,0.969,419.84,0,0,0
NACC000251,0.239,4,0.865,166.67,0,0,0
NACC000252,1.783,2,1.43,525.33,0,0,0
NACC000253,5.461,3,0.858,798.47,0,0,0
NACC000254,3.179,4,0.807,324.99,0,0,0
NACC000255,0.398,3,0.982,361.4,0,0,0
NACC000256,0.743,2,1.376,437.18,0,0,0
NACC000257,2.283,4,0.676,238.85,0,0,0
NACC000258,2.865,1,0.882,305.94,0,0,0
NACC000259,0.815,2,1.136,566.07,0,0,0
NACC000260,1.783,5,1.194,516.38,0,0,0
NACC000261,0.414,1,0.683,569.57,0,0,0
NACC000262,2.161,5,1.431,632.06,0,0,0
NACC000263,3.274,5,1.228,263.92,0,0,0
NACC000264,2.823,2,1.047,423.02,0,0,0
NACC000265,2.397,3,0.805,606.96,0,0,0
NACC000266,1.559,3,1.192,330.65,0,0,0
NACC000267,3.605,1,1.253,550.48,0,0,0
NACC000268,2.379,1,0.984,327.68,0,0,0
NACC000269,4.502,2,1.388,326.34,0,0,0
NACC000270,3.093,3,1.465,523.11,0,0,0
NACC000271,0.789,4,1.39,745.23,0,0,0
NACC000272,1.086,5,1.401,280.8,0,0,0
NACC000273,2.431,1,1.23,1010.47,0,0,0
NACC000274,1.042,3,0.904,474.9,0,0,0
NACC000275,5.957,3,0.927,572.25,0,0,0
NACC000276,1.032,2,1.318,312.22,0,0,0
NACC000277,1.066,5,1.072,433.73,0,0,0
NACC000278,0.986,3,1.206,550.78,0,0,0
NACC000279,3.352,1,0.714,195.27,0,0,0
NACC000280,0.674,3,1.471,832.67,0,0,0
NACC000281,1.579,1,0.861,385.36,0,0,0
NACC000282,2.581,5,1.101,683.12,0,0,0
NACC000283,0.981,3,1.322,337.19,0,0,0
NACC000284,1.094,2,1.323,345.51,0,0,0
NACC000285,5.66,5,1.237,641.33,0,0,0
NACC000286,3.052,5,0.984,779.81,0,0,0
NACC000287,0.231,1,0.631,644.39,0,0,0
NACC000288,1.998,3,1.488,320.89,0,0,0
NACC000289,1.961,1,1.261,258.24,0,0,0
NACC000290,3.004,3,0.839,292.49,0,0,0
NACC000291,1.337,3,1.056,804.92,0,0,0
NACC000292,2.896,1,0.935,450.03,0,0,0
NACC000293,1.364,3,0.881,529.97,0,0,0
NACC000294,1.528,5,1.08,253.6,0,0,0
NACC000295,4.947,5,1.219,829.62,0,0,0
NACC000296,3.744,1,1.407,662.47,0,0,0
NACC000297,1.846,2,0.973,630.72,0,0,0
NACC000298,3.307,2,1.452,582.39,0,0,0
NACC000299,1.9,5,1.278,743.57,0,0,0
NACC000300,4.116,1,0.969,679.27,0,0,0
NACC000301,1.916,1,0.764,738.81,0,0,0
NACC000302,2.616,2,0.812,416.8,0,0,0
NACC000303,2.297,3,1.268,449.96,0,0,0
NACC000304,1.552,5,1.354,516.38,0,0,0
NACC000305,3.54,5,1.452,176.88,0,0,0
NACC000306,2.02,1,1.268,411.41,0,0,0
NACC000307,1.765,5,1.433,375.59,0,0,0
NACC000308,4.994,5,0.694,944.54,0,0,0
NACC000309,0.55,2,0.925,688.68,0,0,0
NACC000310,1.396,5,0.648,291.87,0,0,0
NACC000311,1.97,2,0.943,302.83,0,0,0
NACC000312,0.339,4,0.908,836.52,0,0,0
NACC000313,2.065,4,0.818,342.62,0,0,0
NACC000314,0.653,3,1.364,258.35,0,0,0
NACC000315,2.337,5,0.825,318.59,0,0,0
NACC000316,3.653,1,0.808,615.22,0,0,0
NACC000317,3.551,5,1.263,409.09,0,0,0
NACC000318,3.809,2,1.009,391.03,0,0,0
NACC000319,1.803,5,0.748,313.83,0,0,0
NACC000320,3.44,2,1.024,583.43,0,0,0
NACC000321,3.442,1,1.132,493.26,0,0,0
NACC000322,5.706,3,1.124,507.91,0,0,0
NACC000323,1.826,4,0.996,690.01,0,0,0
NACC000324,7.533,4,0.944,674.34,0,0,0
NACC000325,1.076,4,1.469,39.24,0,0,0
NACC000326,3.174,4,0.852,569.47,0,0,0
NACC000327,1.529,2,0.812,425.68,0,0,0
NACC000328,0.577,1,1.452,288.26,0,0,0
NACC000329,2.58,1,1.202,124.48,0,0,0
NACC000330,4.919,1,0.994,933.55,0,0,0
NACC000331,3.452,4,1.229,551.6,0,0,0
NACC000332,1.945,5,1.323,511.97,0,0,0
NACC000333,0.808,2,0.988,334.16,0,0,0
NACC000334,1.342,3,1.499,582.76,0,0,0
NACC000335,0.747,1,1.027,314.88,0,0,0
NACC000336,1.582,4,1.22,447.3,0,0,0
NACC000337,3.407,5,0.982,300.28,0,0,0
NACC000338,2.259,2,1.455,1022.12,0,0,0
NACC000339,2.32,2,0.985,613.99,0,0,0
NACC000340,3.674,2,1.426,908.08,0,0,0
NACC000341,0.28,2,1.175,651.02,0,0,0
NACC000342,5.946,3,0.94,166.35,0,0,0
NACC000343,0.701,2,1.063,896.72,0,0,0
NACC000344,0.912,2,1.438,123.19,0,0,0
NACC000345,0.631,5,1.491,458.79,0,0,0
NACC000346,8.053,2,1.257,468.61,0,0,0
NACC000347,3.947,2,1.404,553.83,0,0,0
NACC000348,2.782,2,0.76,680.12,0,0,0
NACC000349,4.165,2,0.636,682.68,0,0,0
NACC000350,3.321,3,1.404,400.12,0,0,0
NACC000351,3.117,4,0.927,1060.88,0,0,0
NACC000352,6.576,5,1.497,214.85,0,0,0
NACC000353,0.765,5,1.313,422.0,0,0,0
NACC000354,0.712,5,0.861,786.72,0,0,0
NACC000355,2.369,3,0.917,462.05,0,0,0
NACC000356,1.309,1,1.238,117.4,0,0,0
NACC000357,3.551,1,1.384,410.62,0,0,0
NACC000358,0.863,3,0.811,204.27,0,0,0
NACC000359,4.913,3,1.414,653.84,0,0,0
NACC000360,6.856,5,1.268,320.29,0,0,0
NACC000361,1.775,3,0.659,170.66,0,0,0
NACC000362,1.48,3,1.232,169.2,0,0,0
NACC000363,0.576,5,1.323,199.08,0,0,0
NACC000364,1.125,5,1.335,372.47,0,0,0
NACC000365,3.154,4,1.148,377.14,0,0,0
NACC000366,3.487,1,1.363,1139.93,0,0,0
NACC000367,1.902,4,1.376,247.46,0,0,0
NACC000368,3.23,3,0.789,518.95,0,0,0
NACC000369,6.246,5,0.707,819.03,0,0,0
NACC000370,3.171,4,0.645,498.24,0,0,0
NACC000371,0.9,1,1.079,485.24,0,0,0
NACC000372,1.804,2,0.824,349.54,0,0,0
NACC000373,1.226,3,1.485,286.7,0,0,0
NACC000374,1.337,3,0.725,517.49,0,0,0
NACC000375,5.403,3,0.62,305.65,0,0,0
NACC000376,2.787,4,1.449,346.44,0,0,0
NACC000377,0.419,3,1.288,421.74,0,0,0
NACC000378,1.706,2,0.772,321.54,0,0,0
NACC000379,1.623,2,0.886,363.31,0,0,0
NACC000380,0.812,3,1.428,424.98,0,0,0
NACC000381,0.903,3,1.372,168.76,0,0,0
NACC000382,1.924,2,1.469,391.02,0,0,0
NACC000383,4.59,3,0.967,578.26,0,0,0
NACC000384,1.147,4,0.717,113.11,0,0,0
NACC000385,4.522,5,0.994,168.67,0,0,0
NACC000386,1.989,4,0.731,374.15,0,0,0
NACC000387,2.162,2,0.627,571.21,0,0,0
NACC000388,0.467,5,1.49,362.61,0,0,0
NACC000389,0.583,1,0.776,524.94,0,0,0
NACC000390,2.833,3,1.249,510.14,0,0,0
NACC000391,1.962,4,1.355,421.26,0,0,0
NACC000392,4.066,2,1.153,359.17,0,0,0
NACC000393,2.762,5,0.984,282.33,0,0,0
NACC000394,4.039,3,0.799,308.25,0,0,0
NACC000395,1.019,2,1.121,253.84,0,0,0
NACC000396,4.546,3,0.98,430.01,0,0,0
NACC000397,0.922,5,0.65,387.9,0,0,0
NACC000398,3.429,3,1.161,752.29,0,0,0
NACC000399,0.944,1,0.816,758.89,0,0,0
NACC000400,1.355,1,1.081,1115.27,0,0,0
NACC000401,1.996,1,1.233,351.54,0,0,0
NACC000402,2.877,3,0.689,572.29,0,0,0
NACC000403,5.681,5,0.664,865.48,0,0,0
NACC000404,1.795,3,1.426,698.09,0,0,0
NACC000405,1.024,1,0.866,438.83,0,0,0
NACC000406,2.629,4,1.154,1195.66,0,0,0
NACC000407,0.614,2,0.841,171.72,0,0,0
NACC000408,0.212,2,1.447,527.72,0,0,0
NACC000409,1.374,4,0.621,172.74,0,0,0
NACC000410,1.206,5,0.967,287.15,0,0,0
NACC000411,2.053,4,0.689,524.48,0,0,0
NACC000412,1.524,3,0.666,1184.13,0,0,0
NACC000413,1.804,2,0.718,597.74,0,0,0
NACC000414,0.839,5,1.438,423.49,0,0,0
NACC000415,6.514,2,0.607,302.75,0,0,0
NACC000416,3.306,3,1.413,482.83,0,0,0
NACC000417,2.794,2,0.817,243.92,0,0,0
NACC000418,3.83,5,1.307,1219.63,0,0,0
NACC000419,3.512,1,0.741,205.0,0,0,0
NACC000420,0.958,2,1.066,205.59,0,0,0
NACC000421,0.122,5,1.354,197.5,0,0,0
NACC000422,1.183,2,0.958,208.34,0,0,0
NACC000423,1.493,2,0.836,140.13,0,0,0
NACC000424,1.646,4,0.602,187.26,0,0,0
NACC000425,0.772,1,0.987,712.78,0,0,0
NACC000426,2.811,1,1.211,504.55,0,0,0
NACC000427,1.016,3,0.707,1042.16,0,0,0
NACC000428,0.216,5,0.936,825.33,0,0,0
NACC000429,4.684,1,0.923,522.39,0,0,0
NACC000430,2.202,5,1.268,627.97,0,0,0
NACC000431,3.519,1,1.13,492.68,0,0,0
NACC000432,5.325,4,0.668,942.09,0,0,0
NACC000433,0.151,1,1.16,488.27,0,0,0
NACC000434,2.715,1,1.328,747.74,0,0,0
NACC000435,3.751,4,1.104,825.52,0,0,0
NACC000436,3.975,4,1.049,294.67,0,0,0
NACC000437,0.222,5,0.675,271.47,0,0,0
NACC000438,1.07,2,1.032,487.17,0,0,0
NACC000439,1.579,3,0.737,616.43,0,0,0
NACC000440,4.441,4,0.719,830.24,0,0,0
NACC000441,2.978,1,1.342,859.99,0,0,0
NACC000442,1.353,3,0.737,570.17,0,0,0
NACC000443,1.446,1,1.151,594.2,0,0,0
NACC000444,4.308,1,1.404,619.11,0,0,0
NACC000445,2.276,2,0.777,614.47,0,0,0
NACC000446,1.626,3,0.813,537.88,0,0,0
NACC000447,2.08,5,1.304,180.59,0,0,0
NACC000448,0.599,1,0.773,331.26,0,0,0
NACC000449,0.295,2,0.78,567.97,0,0,0
NACC000450,3.027,1,1.35,288.08,0,0,0
NACC000451,3.668,1,1.488,545.63,0,0,0
NACC000452,1.614,4,1.078,555.77,0,0,0
NACC000453,1.058,2,0.645,588.88,0,0,0
NACC000454,2.448,1,1.369,671.84,0,0,0
NACC000455,3.321,1,1.455,432.35,0,0,0
NACC000456,3.842,2,1.405,709.26,0,0,0
NACC000457,1.508,4,0.828,518.91,0,0,0
NACC000458,1.134,1,0.838,331.07,0,0,0
NACC000459,4.313,1,1.222,309.19,0,0,0
NACC000460,7.966,2,0.768,465.3,0,0,0
NACC000461,2.824,1,1.101,408.23,0,0,0
NACC000462,0.374,1,1.316,497.92,0,0,0
NACC000463,4.32,1,0.619,372.28,0,0,0
NACC000464,0.117,5,1.425,762.3,0,0,0
NACC000465,6.193,4,0.86,494.72,0,0,0
NACC000466,3.928,1,1.094,312.79,0,0,0
NACC000467,0.901,1,1.086,271.13,0,0,0
NACC000468,1.279,3,0.831,935.4,0,0,0
NACC000469,1.789,5,1.202,533.27,0,0,0
NACC000470,1.381,3,1.486,681.56,0,0,0
NACC000471,2.281,4,0.793,327.44,0,0,0
NACC000472,1.096,5,0.976,284.3,0,0,0
NACC000473,0.179,5,0.767,320.05,0,0,0
NACC000474,0.521,1,0.972,153.8,0,0,0
NACC000475,2.664,4,1.319,194.1,0,0,0
NACC000476,1.027,4,1.257,123.77,0,0,0
NACC000477,4.068,3,1.072,1033.99,0,0,0
NACC000478,2.627,5,0.945,294.84,0,0,0
NACC000479,0.262,4,1.255,470.75,0,0,0
NACC000480,1.798,3,1.242,922.25,0,0,0
NACC000481,0.319,3,1.326,265.92,0,0,0
NACC000482,2.05,2,1.218,611.44,0,0,0
NACC000483,0.501,3,0.82,136.87,0,0,0
NACC000484,2.015,4,0.895,312.93,0,0,0
NACC000485,2.652,1,1.31,416.11,0,0,0
NACC000486,1.511,3,1.237,191.07,0,0,0
NACC000487,2.085,3,0.695,1080.41,0,0,0
NACC000488,1.906,5,0.855,281.06,0,0,0
NACC000489,1.283,3,1.057,358.04,0,0,0
NACC000490,1.48,3,1.483,537.11,0,0,0
NACC000491,0.607,4,1.443,223.29,0,0,0
NACC000492,5.759,5,1.25,629.46,0,0,0
NACC000493,6.888,3,1.107,572.46,0,0,0
NACC000494,1.377,1,0.903,320.1,0,0,0
NACC000495,3.156,3,1.477,166.71,0,0,0
NACC000496,2.757,2,0.993,772.3,0,0,0
NACC000497,1.627,3,1.074,367.12,0,0,0
NACC000498,1.65,4,1.343,345.7,0,0,0
NACC000499,0.523,3,1.045,281.67,0,0,0
NACC000500,1.648,4,0.863,234.44,0,0,0
NACC000501,3.782,3,0.887,280.73,0,0,0
NACC000502,1.947,1,1.449,494.65,0,0,0
NACC000503,2.993,5,1.238,564.29,0,0,0
NACC000504,4.375,5,0.922,288.94,0,0,0
NACC000505,0.896,3,1.393,259.87,0,0,0
NACC000506,2.406,1,0.612,403.69,0,0,0
NACC000507,1.904,3,0.848,500.07,0,0,0
NACC000508,0.224,2,1.474,332.61,0,0,0
NACC000509,0.961,3,0.977,372.17,0,0,0
NACC000510,3.257,5,1.333,718.15,0,0,0
NACC000511,2.609,3,1.477,352.55,0,0,0
NACC000512,0.958,1,1.102,588.64,0,0,0
NACC000513,0.919,5,1.199,117.73,0,0,0
NACC000514,0.871,1,0.64,599.88,0,0,0
NACC000515,4.371,4,1.073,344.53,0,0,0
NACC000516,1.811,4,1.389,883.57,0,0,0
NACC000517,0.699,3,1.113,507.76,0,0,0
NACC000518,3.023,1,1.013,90.87,0,0,0
NACC000519,0.932,4,0.76,488.47,0,0,0
NACC000520,2.52,2,1.233,632.53,0,0,0
NACC000521,0.477,2,0.898,403.56,0,0,0
NACC000522,7.428,1,0.944,612.16,0,0,0
NACC000523,2.588,1,0.783,293.75,0,0,0
NACC000524,0.775,1,0.916,539.17,0,0,0
NACC000525,1.456,1,1.075,208.64,0,0,0
NACC000526,0.499,2,1.071,912.47,0,0,0
NACC000527,0.383,2,0.836,90.28,0,0,0
NACC000528,4.087,1,0.99,951.0,0,0,0
NACC000529,0.561,5,0.843,634.36,0,0,0
NACC000530,0.862,5,0.616,427.94,0,0,0
NACC000531,2.393,4,1.148,1267.56,0,0,0
NACC000532,1.124,4,0.685,191.89,0,0,0
