complaint_id,victim_id,fraud_type,amount,state,city,destination_account,bank,complaint_timestamp,free_text_description,ring_id
C0000011,V0000011,Data theft,248000.0,Telangana,Hyderabad,ACC000701,Bank_C,2026-01-01T09:01:42.669025,Victim reported suspected data theft fraud of INR 248000 from Hyderabad. Transaction details and beneficiary account were provided.,R0143
C0000012,V0000012,Fraud,6900.0,Telangana,Hyderabad,ACC000001,Bank_C,2026-01-01T09:01:43.836366,Victim reported suspected fraud fraud of INR 6900 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000013,V0000013,Cheating,9800.0,Delhi,Delhi,ACC000122,Bank_D,2026-01-01T09:01:46.137027,Victim reported suspected cheating fraud of INR 9800 from Delhi. Transaction details and beneficiary account were provided.,R0018
C0000014,V0000014,Cheating,3300.0,Andhra Pradesh,Pune,ACC000027,Bank_A,2026-01-01T09:01:53.487309,Victim reported suspected cheating fraud of INR 3300 from Pune. Transaction details and beneficiary account were provided.,R0005
C0000015,V0000015,Cheating,12000.0,Bihar,Patna,ACC000030,Bank_B,2026-01-01T09:02:31.339442,Victim reported suspected cheating fraud of INR 12000 from Patna. Transaction details and beneficiary account were provided.,R0006
C0000016,V0000016,Cheating,112300.0,Maharashtra,Pune,ACC000035,Bank_C,2026-01-01T09:02:54.012522,Victim reported suspected cheating fraud of INR 112300 from Pune. Transaction details and beneficiary account were provided.,R0007
C0000017,V0000017,Fraud,65300.0,Bihar,Patna,ACC000077,Bank_D,2026-01-01T09:03:33.023697,Victim reported suspected fraud fraud of INR 65300 from Patna. Transaction details and beneficiary account were provided.,R0013
C0000018,V0000018,Fraud,22000.0,Telangana,Hyderabad,ACC001376,Bank_B,2026-01-01T09:04:00.062751,Victim reported suspected fraud fraud of INR 22000 from Hyderabad. Transaction details and beneficiary account were provided.,R0285
C0000019,V0000019,Cheating,15100.0,Telangana,Hyderabad,ACC000056,Bank_C,2026-01-01T09:04:21.704736,Victim reported suspected cheating fraud of INR 15100 from Hyderabad. Transaction details and beneficiary account were provided.,R0011
C0000020,V0000020,Fraud,6400.0,Telangana,Hyderabad,ACC000006,Bank_D,2026-01-01T09:04:44.827872,Victim reported suspected fraud fraud of INR 6400 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000021,V0000021,Fraud,4100.0,Bihar,Patna,ACC000134,Bank_C,2026-01-01T09:04:45.329418,Victim reported suspected fraud fraud of INR 4100 from Patna. Transaction details and beneficiary account were provided.,R0021
C0000022,V0000022,Cheating,36000.0,Telangana,Hyderabad,ACC000004,Bank_A,2026-01-01T09:04:46.897886,Victim reported suspected cheating fraud of INR 36000 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000023,V0000023,Cheating,1857200.0,Telangana,Hyderabad,ACC000019,Bank_B,2026-01-01T09:04:48.170282,Victim reported suspected cheating fraud of INR 1857200 from Hyderabad. Transaction details and beneficiary account were provided.,R0004
C0000024,V0000024,Cheating,49100.0,Bihar,Patna,ACC000038,Bank_A,2026-01-01T09:04:56.699597,Victim reported suspected cheating fraud of INR 49100 from Patna. Transaction details and beneficiary account were provided.,R0008
C0000025,V0000025,Cheating,1406100.0,Maharashtra,Mumbai,ACC000005,Bank_D,2026-01-01T09:05:14.531817,Victim reported suspected cheating fraud of INR 1406100 from Mumbai. Transaction details and beneficiary account were provided.,R0002
C0000026,V0000026,Cheating,6500.0,Maharashtra,Mumbai,ACC000054,Bank_C,2026-01-01T09:05:20.281362,Victim reported suspected cheating fraud of INR 6500 from Mumbai. Transaction details and beneficiary account were provided.,R0010
C0000027,V0000027,Cheating,1000.0,Andhra Pradesh,Hyderabad,ACC000033,Bank_B,2026-01-01T09:05:31.028632,Victim reported suspected cheating fraud of INR 1000 from Hyderabad. Transaction details and beneficiary account were provided.,R0007
C0000028,V0000028,Fraud,165300.0,Bihar,Patna,ACC000339,Bank_D,2026-01-01T09:05:37.142217,Victim reported suspected fraud fraud of INR 165300 from Patna. Transaction details and beneficiary account were provided.,R0065
C0000029,V0000029,Fraud,2500.0,Telangana,Hyderabad,ACC001521,Bank_B,2026-01-01T09:05:40.928353,Victim reported suspected fraud fraud of INR 2500 from Hyderabad. Transaction details and beneficiary account were provided.,R0314
C0000030,V0000030,Fraud,26800.0,Telangana,Hyderabad,ACC000622,Bank_C,2026-01-01T09:05:42.206700,Victim reported suspected fraud fraud of INR 26800 from Hyderabad. Transaction details and beneficiary account were provided.,R0126
C0000031,V0000031,Fraud,18100.0,Maharashtra,Mumbai,ACC000348,Bank_D,2026-01-01T09:05:50.929295,Victim reported suspected fraud fraud of INR 18100 from Mumbai. Transaction details and beneficiary account were provided.,R0067
C0000032,V0000032,Fraud,23700.0,Tamil Nadu,Chennai,ACC000030,Bank_B,2026-01-01T09:05:56.203672,Victim reported suspected fraud fraud of INR 23700 from Chennai. Transaction details and beneficiary account were provided.,R0006
C0000033,V0000033,Fraud,113600.0,Telangana,Hyderabad,ACC000196,Bank_B,2026-01-01T09:05:56.479680,Victim reported suspected fraud fraud of INR 113600 from Hyderabad. Transaction details and beneficiary account were provided.,R0033
C0000034,V0000034,Fraud,695800.0,Telangana,Hyderabad,ACC000002,Bank_D,2026-01-01T09:05:58.423231,Victim reported suspected fraud fraud of INR 695800 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000035,V0000035,Cheating,204400.0,Telangana,Hyderabad,ACC000471,Bank_A,2026-01-01T09:06:03.890687,Victim reported suspected cheating fraud of INR 204400 from Hyderabad. Transaction details and beneficiary account were provided.,R0089
C0000036,V0000036,Fraud,54800.0,Telangana,Hyderabad,ACC000001,Bank_C,2026-01-01T09:06:15.814673,Victim reported suspected fraud fraud of INR 54800 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000037,V0000037,Fraud,65600.0,Telangana,Hyderabad,ACC000134,Bank_C,2026-01-01T09:06:37.893105,Victim reported suspected fraud fraud of INR 65600 from Hyderabad. Transaction details and beneficiary account were provided.,R0021
C0000038,V0000038,Cheating,499400.0,Telangana,Hyderabad,ACC000003,Bank_C,2026-01-01T09:06:42.295121,Victim reported suspected cheating fraud of INR 499400 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000039,V0000039,Cheating,87700.0,Telangana,Hyderabad,ACC000333,Bank_C,2026-01-01T09:07:27.201947,Victim reported suspected cheating fraud of INR 87700 from Hyderabad. Transaction details and beneficiary account were provided.,R0063
C0000040,V0000040,Fraud,42800.0,Andhra Pradesh,Kolkata,ACC000011,Bank_A,2026-01-01T09:07:43.608508,Victim reported suspected fraud fraud of INR 42800 from Kolkata. Transaction details and beneficiary account were provided.,R0003
C0000041,V0000041,Fraud,4500.0,Telangana,Hyderabad,ACC001292,Bank_A,2026-01-01T09:08:03.990898,Victim reported suspected fraud fraud of INR 4500 from Hyderabad. Transaction details and beneficiary account were provided.,R0272
C0000042,V0000042,Cheating,1200.0,Telangana,Hyderabad,ACC001128,Bank_B,2026-01-01T09:08:48.226058,Victim reported suspected cheating fraud of INR 1200 from Hyderabad. Transaction details and beneficiary account were provided.,R0239
C0000043,V0000043,Fraud,18100.0,Bihar,Patna,ACC000018,Bank_B,2026-01-01T09:08:51.180482,Victim reported suspected fraud fraud of INR 18100 from Patna. Transaction details and beneficiary account were provided.,R0003
C0000044,V0000044,Fraud,12000.0,Telangana,Hyderabad,ACC000003,Bank_C,2026-01-01T09:09:16.114314,Victim reported suspected fraud fraud of INR 12000 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000045,V0000045,Cheating,13200.0,Bihar,Patna,ACC000039,Bank_E,2026-01-01T09:09:20.834368,Victim reported suspected cheating fraud of INR 13200 from Patna. Transaction details and beneficiary account were provided.,R0008
C0000046,V0000046,Fraud,2600.0,Telangana,Hyderabad,ACC000002,Bank_D,2026-01-01T09:09:33.633994,Victim reported suspected fraud fraud of INR 2600 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000047,V0000047,Cheating,8400.0,Telangana,Hyderabad,ACC000003,Bank_C,2026-01-01T09:09:36.017473,Victim reported suspected cheating fraud of INR 8400 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000048,V0000048,Fraud,23500.0,Bihar,Patna,ACC000581,Bank_E,2026-01-01T09:10:08.033870,Victim reported suspected fraud fraud of INR 23500 from Patna. Transaction details and beneficiary account were provided.,R0115
C0000049,V0000049,Cheating,192400.0,Telangana,Hyderabad,ACC000006,Bank_D,2026-01-01T09:10:42.504826,Victim reported suspected cheating fraud of INR 192400 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000050,V0000050,Fraud,62500.0,Bihar,Patna,ACC000019,Bank_B,2026-01-01T09:10:42.800418,Victim reported suspected fraud fraud of INR 62500 from Patna. Transaction details and beneficiary account were provided.,R0004
C0000051,V0000051,Cheating,25800.0,Telangana,Hyderabad,ACC000013,Bank_A,2026-01-01T09:10:56.211065,Victim reported suspected cheating fraud of INR 25800 from Hyderabad. Transaction details and beneficiary account were provided.,R0003
C0000052,V0000052,Fraud,67600.0,Telangana,Hyderabad,ACC000185,Bank_E,2026-01-01T09:11:22.419724,Victim reported suspected fraud fraud of INR 67600 from Hyderabad. Transaction details and beneficiary account were provided.,R0032
C0000053,V0000053,Fraud,21400.0,Telangana,Hyderabad,ACC000040,Bank_E,2026-01-01T09:11:54.091631,Victim reported suspected fraud fraud of INR 21400 from Hyderabad. Transaction details and beneficiary account were provided.,R0008
C0000054,V0000054,Cheating,3300.0,Telangana,Hyderabad,ACC000263,Bank_E,2026-01-01T09:12:39.602342,Victim reported suspected cheating fraud of INR 3300 from Hyderabad. Transaction details and beneficiary account were provided.,R0046
C0000055,V0000055,Forgery,296500.0,Telangana,Hyderabad,ACC000042,Bank_B,2026-01-01T09:13:05.334598,Victim reported suspected forgery fraud of INR 296500 from Hyderabad. Transaction details and beneficiary account were provided.,R0009
C0000056,V0000056,Fraud,116300.0,Bihar,Patna,ACC000104,Bank_B,2026-01-01T09:13:11.493583,Victim reported suspected fraud fraud of INR 116300 from Patna. Transaction details and beneficiary account were provided.,R0015
C0000057,V0000057,Cheating,152300.0,Andhra Pradesh,Mumbai,ACC001889,Bank_E,2026-01-01T09:13:58.927109,Victim reported suspected cheating fraud of INR 152300 from Mumbai. Transaction details and beneficiary account were provided.,R0391
C0000058,V0000058,Cheating,4900.0,Bihar,Patna,ACC000006,Bank_D,2026-01-01T09:14:07.633614,Victim reported suspected cheating fraud of INR 4900 from Patna. Transaction details and beneficiary account were provided.,R0002
C0000059,V0000059,Cheating,1000.0,Maharashtra,Mumbai,ACC000005,Bank_D,2026-01-01T09:14:10.995270,Victim reported suspected cheating fraud of INR 1000 from Mumbai. Transaction details and beneficiary account were provided.,R0002
C0000060,V0000060,Fraud,328000.0,Maharashtra,Mumbai,ACC000131,Bank_E,2026-01-01T09:14:30.912721,Victim reported suspected fraud fraud of INR 328000 from Mumbai. Transaction details and beneficiary account were provided.,R0020
C0000061,V0000061,Cheating,6400.0,Tamil Nadu,Chennai,ACC000032,Bank_B,2026-01-01T09:14:42.670139,Victim reported suspected cheating fraud of INR 6400 from Chennai. Transaction details and beneficiary account were provided.,R0006
C0000062,V0000062,Fraud,581700.0,Tamil Nadu,Chennai,ACC000840,Bank_A,2026-01-01T09:15:00.519207,Victim reported suspected fraud fraud of INR 581700 from Chennai. Transaction details and beneficiary account were provided.,R0172
C0000063,V0000063,Cheating,300800.0,Bihar,Patna,ACC000283,Bank_C,2026-01-01T09:15:00.724123,Victim reported suspected cheating fraud of INR 300800 from Patna. Transaction details and beneficiary account were provided.,R0052
C0000064,V0000064,Fraud,537300.0,Maharashtra,Mumbai,ACC000004,Bank_A,2026-01-01T09:15:14.131543,Victim reported suspected fraud fraud of INR 537300 from Mumbai. Transaction details and beneficiary account were provided.,R0002
C0000065,V0000065,Cheating,65000.0,Maharashtra,Mumbai,ACC000128,Bank_E,2026-01-01T09:15:29.461190,Victim reported suspected cheating fraud of INR 65000 from Mumbai. Transaction details and beneficiary account were provided.,R0019
C0000066,V0000066,Cheating,4100.0,Tamil Nadu,Chennai,ACC000002,Bank_D,2026-01-01T09:15:34.473864,Victim reported suspected cheating fraud of INR 4100 from Chennai. Transaction details and beneficiary account were provided.,R0001
C0000067,V0000067,Fraud,2220000.0,Telangana,Hyderabad,ACC000168,Bank_B,2026-01-01T09:15:39.417085,Victim reported suspected fraud fraud of INR 2220000 from Hyderabad. Transaction details and beneficiary account were provided.,R0029
C0000068,V0000068,Cheating,35000.0,Telangana,Hyderabad,ACC000119,Bank_D,2026-01-01T09:15:40.899661,Victim reported suspected cheating fraud of INR 35000 from Hyderabad. Transaction details and beneficiary account were provided.,R0018
C0000069,V0000069,Fraud,3600.0,Telangana,Hyderabad,ACC000083,Bank_E,2026-01-01T09:15:43.280207,Victim reported suspected fraud fraud of INR 3600 from Hyderabad. Transaction details and beneficiary account were provided.,R0014
C0000070,V0000070,Fraud,5100.0,Telangana,Hyderabad,ACC000035,Bank_C,2026-01-01T09:15:43.698849,Victim reported suspected fraud fraud of INR 5100 from Hyderabad. Transaction details and beneficiary account were provided.,R0007
C0000071,V0000071,Fraud,28200.0,Telangana,Hyderabad,ACC000005,Bank_D,2026-01-01T09:15:50.518881,Victim reported suspected fraud fraud of INR 28200 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000072,V0000072,Fraud,16900.0,Andhra Pradesh,Lucknow,ACC000001,Bank_C,2026-01-01T09:16:01.045682,Victim reported suspected fraud fraud of INR 16900 from Lucknow. Transaction details and beneficiary account were provided.,R0001
C0000073,V0000073,Cheating,74500.0,Telangana,Hyderabad,ACC000085,Bank_E,2026-01-01T09:16:08.046403,Victim reported suspected cheating fraud of INR 74500 from Hyderabad. Transaction details and beneficiary account were provided.,R0014
C0000074,V0000074,Cheating,13200.0,Maharashtra,Mumbai,ACC000021,Bank_C,2026-01-01T09:16:26.217598,Victim reported suspected cheating fraud of INR 13200 from Mumbai. Transaction details and beneficiary account were provided.,R0004
C0000075,V0000075,Cheating,986500.0,Telangana,Hyderabad,ACC000021,Bank_C,2026-01-01T09:16:37.231624,Victim reported suspected cheating fraud of INR 986500 from Hyderabad. Transaction details and beneficiary account were provided.,R0004
C0000076,V0000076,Cheating,14100.0,Telangana,Hyderabad,ACC000097,Bank_C,2026-01-01T09:16:40.550425,Victim reported suspected cheating fraud of INR 14100 from Hyderabad. Transaction details and beneficiary account were provided.,R0015
C0000077,V0000077,Fraud,11600.0,Bihar,Patna,ACC000001,Bank_C,2026-01-01T09:16:50.507787,Victim reported suspected fraud fraud of INR 11600 from Patna. Transaction details and beneficiary account were provided.,R0001
C0000078,V0000078,Cheating,44900.0,Odisha,Delhi,ACC000427,Bank_E,2026-01-01T09:17:07.925974,Victim reported suspected cheating fraud of INR 44900 from Delhi. Transaction details and beneficiary account were provided.,R0079
C0000079,V0000079,Fraud,193900.0,Telangana,Hyderabad,ACC000123,Bank_D,2026-01-01T09:17:42.071312,Victim reported suspected fraud fraud of INR 193900 from Hyderabad. Transaction details and beneficiary account were provided.,R0019
C0000080,V0000080,Cyber Blackmailing,17500.0,Telangana,Hyderabad,ACC000013,Bank_A,2026-01-01T09:18:39.080596,Victim reported suspected cyber blackmailing fraud of INR 17500 from Hyderabad. Transaction details and beneficiary account were provided.,R0003
C0000081,V0000081,Fraud,68000.0,Telangana,Hyderabad,ACC000002,Bank_D,2026-01-01T09:19:09.739796,Victim reported suspected fraud fraud of INR 68000 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000082,V0000082,Cheating,59200.0,Odisha,Bengaluru,ACC000002,Bank_D,2026-01-01T09:19:11.222113,Victim reported suspected cheating fraud of INR 59200 from Bengaluru. Transaction details and beneficiary account were provided.,R0001
C0000083,V0000083,Cheating,268300.0,Bihar,Patna,ACC000465,Bank_C,2026-01-01T09:19:18.959135,Victim reported suspected cheating fraud of INR 268300 from Patna. Transaction details and beneficiary account were provided.,R0088
C0000084,V0000084,Cheating,840700.0,Telangana,Hyderabad,ACC000264,Bank_B,2026-01-01T09:19:29.281784,Victim reported suspected cheating fraud of INR 840700 from Hyderabad. Transaction details and beneficiary account were provided.,R0047
C0000085,V0000085,Fraud,6600.0,Telangana,Hyderabad,ACC001447,Bank_C,2026-01-01T09:19:38.933012,Victim reported suspected fraud fraud of INR 6600 from Hyderabad. Transaction details and beneficiary account were provided.,R0299
C0000086,V0000086,Cheating,30300.0,Maharashtra,Pune,ACC000001,Bank_C,2026-01-01T09:19:42.634496,Victim reported suspected cheating fraud of INR 30300 from Pune. Transaction details and beneficiary account were provided.,R0001
C0000087,V0000087,Fraud,14900.0,Maharashtra,Mumbai,ACC000276,Bank_E,2026-01-01T09:19:45.317490,Victim reported suspected fraud fraud of INR 14900 from Mumbai. Transaction details and beneficiary account were provided.,R0050
C0000088,V0000088,Fraud,1900.0,Maharashtra,Pune,ACC000003,Bank_C,2026-01-01T09:20:19.040306,Victim reported suspected fraud fraud of INR 1900 from Pune. Transaction details and beneficiary account were provided.,R0001
C0000089,V0000089,Fraud,215400.0,Telangana,Hyderabad,ACC000006,Bank_D,2026-01-01T09:20:26.118452,Victim reported suspected fraud fraud of INR 215400 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000090,V0000090,Fraud,1000.0,Telangana,Hyderabad,ACC000556,Bank_C,2026-01-01T09:21:07.323406,Victim reported suspected fraud fraud of INR 1000 from Hyderabad. Transaction details and beneficiary account were provided.,R0109
C0000091,V0000091,Cheating,22200.0,Telangana,Hyderabad,ACC000006,Bank_D,2026-01-01T09:21:11.192045,Victim reported suspected cheating fraud of INR 22200 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000092,V0000092,Fraud,9500.0,Madhya Pradesh,Pune,ACC000043,Bank_B,2026-01-01T09:21:31.442512,Victim reported suspected fraud fraud of INR 9500 from Pune. Transaction details and beneficiary account were provided.,R0009
C0000093,V0000093,Cheating,11200.0,Telangana,Hyderabad,ACC000037,Bank_E,2026-01-01T09:21:32.764305,Victim reported suspected cheating fraud of INR 11200 from Hyderabad. Transaction details and beneficiary account were provided.,R0008
C0000094,V0000094,Fraud,26300.0,Telangana,Hyderabad,ACC001075,Bank_B,2026-01-01T09:21:42.732431,Victim reported suspected fraud fraud of INR 26300 from Hyderabad. Transaction details and beneficiary account were provided.,R0224
C0000095,V0000095,Cheating,68900.0,Telangana,Hyderabad,ACC000011,Bank_A,2026-01-01T09:21:53.955067,Victim reported suspected cheating fraud of INR 68900 from Hyderabad. Transaction details and beneficiary account were provided.,R0003
C0000096,V0000096,Fraud,29600.0,Telangana,Hyderabad,ACC000005,Bank_D,2026-01-01T09:21:54.729407,Victim reported suspected fraud fraud of INR 29600 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000097,V0000097,Fraud,3200.0,Telangana,Hyderabad,ACC000174,Bank_C,2026-01-01T09:22:11.825431,Victim reported suspected fraud fraud of INR 3200 from Hyderabad. Transaction details and beneficiary account were provided.,R0031
C0000098,V0000098,Cheating,39100.0,Telangana,Hyderabad,ACC000004,Bank_A,2026-01-01T09:22:14.338424,Victim reported suspected cheating fraud of INR 39100 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000099,V0000099,Cheating,13500.0,Telangana,Hyderabad,ACC000025,Bank_C,2026-01-01T09:22:18.110854,Victim reported suspected cheating fraud of INR 13500 from Hyderabad. Transaction details and beneficiary account were provided.,R0005
C0000100,V0000100,Cheating,115500.0,Telangana,Hyderabad,ACC000425,Bank_A,2026-01-01T09:22:45.350939,Victim reported suspected cheating fraud of INR 115500 from Hyderabad. Transaction details and beneficiary account were provided.,R0078
C0000101,V0000101,Fraud,42600.0,Telangana,Hyderabad,ACC001900,Bank_D,2026-01-01T09:22:46.364119,Victim reported suspected fraud fraud of INR 42600 from Hyderabad. Transaction details and beneficiary account were provided.,R0393
C0000102,V0000102,Cheating,2500.0,Telangana,Hyderabad,ACC000792,Bank_A,2026-01-01T09:23:01.794714,Victim reported suspected cheating fraud of INR 2500 from Hyderabad. Transaction details and beneficiary account were provided.,R0160
C0000103,V0000103,Fraud,1000.0,Odisha,Kolkata,ACC000246,Bank_B,2026-01-01T09:23:13.979644,Victim reported suspected fraud fraud of INR 1000 from Kolkata. Transaction details and beneficiary account were provided.,R0041
C0000104,V0000104,Cheating,25500.0,Telangana,Hyderabad,ACC000005,Bank_D,2026-01-01T09:23:15.968931,Victim reported suspected cheating fraud of INR 25500 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000105,V0000105,Fraud,1213600.0,Telangana,Hyderabad,ACC000174,Bank_C,2026-01-01T09:23:23.134328,Victim reported suspected fraud fraud of INR 1213600 from Hyderabad. Transaction details and beneficiary account were provided.,R0031
C0000106,V0000106,Fraud,8200.0,Telangana,Hyderabad,ACC000435,Bank_B,2026-01-01T09:23:34.577111,Victim reported suspected fraud fraud of INR 8200 from Hyderabad. Transaction details and beneficiary account were provided.,R0081
C0000107,V0000107,Fraud,4400.0,Telangana,Hyderabad,ACC000002,Bank_D,2026-01-01T09:23:58.272334,Victim reported suspected fraud fraud of INR 4400 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000108,V0000108,Cheating,644600.0,Telangana,Hyderabad,ACC000113,Bank_E,2026-01-01T09:24:07.985451,Victim reported suspected cheating fraud of INR 644600 from Hyderabad. Transaction details and beneficiary account were provided.,R0017
C0000109,V0000109,Fraud,240700.0,Telangana,Hyderabad,ACC000153,Bank_B,2026-01-01T09:24:09.100856,Victim reported suspected fraud fraud of INR 240700 from Hyderabad. Transaction details and beneficiary account were provided.,R0025
C0000110,V0000110,Fraud,16700.0,Telangana,Hyderabad,ACC000001,Bank_C,2026-01-01T09:24:20.730916,Victim reported suspected fraud fraud of INR 16700 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000111,V0000111,Cheating,2220000.0,Maharashtra,Pune,ACC000002,Bank_D,2026-01-01T09:24:21.452943,Victim reported suspected cheating fraud of INR 2220000 from Pune. Transaction details and beneficiary account were provided.,R0001
C0000112,V0000112,Cyber Blackmailing,73500.0,Bihar,Patna,ACC000267,Bank_A,2026-01-01T09:24:33.783736,Victim reported suspected cyber blackmailing fraud of INR 73500 from Patna. Transaction details and beneficiary account were provided.,R0048
C0000113,V0000113,Fraud,196200.0,Telangana,Hyderabad,ACC000004,Bank_A,2026-01-01T09:24:57.649910,Victim reported suspected fraud fraud of INR 196200 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000114,V0000114,Cheating,2220000.0,Telangana,Hyderabad,ACC000003,Bank_C,2026-01-01T09:25:23.533332,Victim reported suspected cheating fraud of INR 2220000 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000115,V0000115,Cheating,139900.0,Telangana,Hyderabad,ACC000001,Bank_C,2026-01-01T09:25:32.527837,Victim reported suspected cheating fraud of INR 139900 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000116,V0000116,Fraud,33400.0,Telangana,Hyderabad,ACC000086,Bank_A,2026-01-01T09:25:55.077321,Victim reported suspected fraud fraud of INR 33400 from Hyderabad. Transaction details and beneficiary account were provided.,R0014
C0000117,V0000117,Fraud,92500.0,Telangana,Hyderabad,ACC000003,Bank_C,2026-01-01T09:26:02.618093,Victim reported suspected fraud fraud of INR 92500 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000118,V0000118,Fraud,29100.0,Telangana,Hyderabad,ACC000003,Bank_C,2026-01-01T09:26:09.420964,Victim reported suspected fraud fraud of INR 29100 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000119,V0000119,Fraud,8400.0,Telangana,Hyderabad,ACC000003,Bank_C,2026-01-01T09:26:12.291491,Victim reported suspected fraud fraud of INR 8400 from Hyderabad. Transaction details and beneficiary account were provided.,R0001
C0000120,V0000120,Cheating,3300.0,Telangana,Hyderabad,ACC000034,Bank_B,2026-01-01T09:26:14.287280,Victim reported suspected cheating fraud of INR 3300 from Hyderabad. Transaction details and beneficiary account were provided.,R0007
C0000121,V0000121,Fraud,68000.0,Telangana,Hyderabad,ACC000187,Bank_E,2026-01-01T09:26:14.754603,Victim reported suspected fraud fraud of INR 68000 from Hyderabad. Transaction details and beneficiary account were provided.,R0032
C0000122,V0000122,Cheating,117800.0,Telangana,Hyderabad,ACC001111,Bank_D,2026-01-01T09:26:17.236309,Victim reported suspected cheating fraud of INR 117800 from Hyderabad. Transaction details and beneficiary account were provided.,R0233
C0000123,V0000123,Cheating,3500.0,Telangana,Hyderabad,ACC000004,Bank_A,2026-01-01T09:26:41.502928,Victim reported suspected cheating fraud of INR 3500 from Hyderabad. Transaction details and beneficiary account were provided.,R0002
C0000124,V0000124,Fraud,82000.0,Bihar,Patna,ACC000630,Bank_C,2026-01-01T09:27:07.412497,Victim reported suspected fraud fraud of INR 82000 from Patna. Transaction details and beneficiary account were provided.,R0128
C0000125,V0000125,Fraud,190300.0,Odisha,Patna,ACC000011,Bank_A,2026-01-01T09:27:12.311791,Victim reported suspected fraud fraud of INR 190300 from Patna. Transaction details and beneficiary account were provided.,R0003
C0000126,V0000126,Fraud,3600.0,Tamil Nadu,Chennai,ACC000035,Bank_C,2026-01-01T09:27:33.366501,Victim reported suspected fraud fraud of INR 3600 from Chennai. Transaction details and beneficiary account were provided.,R0007
C0000127,V0000127,Fraud,122300.0,Tamil Nadu,Chennai,ACC000014,Bank_C,2026-01-01T09:27:36.412330,Victim reported suspected fraud fraud of INR 122300 from Chennai. Transaction details and beneficiary account were provided.,R0003
