complaint_id,fraud_type,amount,state,city,chain_depth,prior_case_count,mule_reputation,account_age_days,ring_size,account_type,channel
C0000025,Cheating,1406100.0,Maharashtra,Mumbai,3,2,0.5034,1654,3,SAVINGS,BRANCH
C0000026,Cheating,6500.0,Maharashtra,Mumbai,4,0,0.0,277,5,SAVINGS,ATM
C0000027,Cheating,1000.0,Andhra Pradesh,Hyderabad,3,1,0.2953,873,3,SAVINGS,BRANCH
C0000028,Fraud,165300.0,Bihar,Patna,3,0,0.0,935,3,SAVINGS,ATM
C0000029,Fraud,2500.0,Telangana,Hyderabad,3,0,0.0,906,3,CURRENT,ATM
C0000030,Fraud,26800.0,Telangana,Hyderabad,3,0,0.0,566,3,SAVINGS,ATM
C0000031,Fraud,18100.0,Maharashtra,Mumbai,4,0,0.0,1086,18,SAVINGS,BRANCH
C0000032,Fraud,23700.0,Tamil Nadu,Chennai,3,1,0.2953,157,3,SAVINGS,BRANCH
C0000033,Fraud,113600.0,Telangana,Hyderabad,3,0,0.0,1331,11,SAVINGS,ATM
C0000034,Fraud,695800.0,Telangana,Hyderabad,3,4,0.7534,1227,3,SAVINGS,BRANCH
C0000035,Cheating,204400.0,Telangana,Hyderabad,3,0,0.0,1054,3,SAVINGS,BRANCH
C0000036,Fraud,54800.0,Telangana,Hyderabad,3,5,0.8262,1227,3,SAVINGS,ATM
C0000037,Fraud,65600.0,Telangana,Hyderabad,3,1,0.2953,548,3,CURRENT,BRANCH
C0000038,Cheating,499400.0,Telangana,Hyderabad,3,6,0.8775,870,3,SAVINGS,BRANCH
C0000039,Cheating,87700.0,Telangana,Hyderabad,3,0,0.0,2091,3,CURRENT,ATM
C0000040,Fraud,42800.0,Andhra Pradesh,Kolkata,4,1,0.2953,1026,12,SAVINGS,BRANCH
C0000041,Fraud,4500.0,Telangana,Hyderabad,4,0,0.0,260,6,SAVINGS,BRANCH
C0000042,Cheating,1200.0,Telangana,Hyderabad,3,0,0.0,31,3,SAVINGS,ATM
C0000043,Fraud,18100.0,Bihar,Patna,3,0,0.0,297,12,SAVINGS,ATM
C0000044,Fraud,12000.0,Telangana,Hyderabad,3,7,0.9137,1227,3,SAVINGS,ATM
C0000045,Cheating,13200.0,Bihar,Patna,3,1,0.2953,270,5,SAVINGS,ATM
C0000046,Fraud,2600.0,Telangana,Hyderabad,3,8,0.9392,1227,3,SAVINGS,ATM
C0000047,Cheating,8400.0,Telangana,Hyderabad,3,9,0.9571,1227,3,SAVINGS,BRANCH
C0000048,Fraud,23500.0,Bihar,Patna,3,0,0.0,1768,3,SAVINGS,ATM
C0000049,Cheating,192400.0,Telangana,Hyderabad,3,3,0.6501,1619,3,SAVINGS,BRANCH
C0000050,Fraud,62500.0,Bihar,Patna,3,1,0.2953,1797,3,SAVINGS,ATM
C0000051,Cheating,25800.0,Telangana,Hyderabad,3,2,0.5034,1026,12,SAVINGS,ATM
C0000052,Fraud,67600.0,Telangana,Hyderabad,2,0,0.0,912,18,SAVINGS,ATM
C0000053,Fraud,21400.0,Telangana,Hyderabad,3,2,0.5034,1812,5,SAVINGS,ATM
C0000054,Cheating,3300.0,Telangana,Hyderabad,3,0,0.0,1383,3,SAVINGS,ATM
C0000055,Forgery,296500.0,Telangana,Hyderabad,4,0,0.0,1425,9,CURRENT,ATM
C0000056,Fraud,116300.0,Bihar,Patna,6,0,0.0,1801,18,CURRENT,BRANCH
C0000057,Cheating,152300.0,Andhra Pradesh,Mumbai,3,0,0.0,2087,5,SAVINGS,BRANCH
C0000058,Cheating,4900.0,Bihar,Patna,3,4,0.7534,1301,3,SAVINGS,BRANCH
C0000059,Cheating,1000.0,Maharashtra,Mumbai,3,5,0.8262,1301,3,SAVINGS,ATM
C0000060,Fraud,328000.0,Maharashtra,Mumbai,3,0,0.0,94,3,CURRENT,BRANCH
C0000061,Cheating,6400.0,Tamil Nadu,Chennai,3,2,0.5034,1649,3,SAVINGS,ATM
C0000062,Fraud,581700.0,Tamil Nadu,Chennai,3,0,0.0,681,16,SAVINGS,BRANCH
C0000063,Cheating,300800.0,Bihar,Patna,4,0,0.0,1822,8,SAVINGS,BRANCH
C0000064,Fraud,537300.0,Maharashtra,Mumbai,3,6,0.8775,1619,3,SAVINGS,ATM
C0000065,Cheating,65000.0,Maharashtra,Mumbai,4,0,0.0,1229,8,SAVINGS,BRANCH
C0000066,Cheating,4100.0,Tamil Nadu,Chennai,3,10,0.9698,1227,3,SAVINGS,BRANCH
C0000067,Fraud,2220000.0,Telangana,Hyderabad,3,0,0.0,1223,3,SAVINGS,ATM
C0000068,Cheating,35000.0,Telangana,Hyderabad,4,1,0.2953,2046,6,SAVINGS,ATM
C0000069,Fraud,3600.0,Telangana,Hyderabad,5,0,0.0,1365,5,CURRENT,ATM
C0000070,Fraud,5100.0,Telangana,Hyderabad,3,2,0.5034,873,3,SAVINGS,ATM
C0000071,Fraud,28200.0,Telangana,Hyderabad,3,7,0.9137,1654,3,SAVINGS,BRANCH
C0000072,Fraud,16900.0,Andhra Pradesh,Lucknow,3,11,0.9787,1451,3,SAVINGS,ATM
C0000073,Cheating,74500.0,Telangana,Hyderabad,5,1,0.2953,267,5,CURRENT,ATM
C0000074,Cheating,13200.0,Maharashtra,Mumbai,3,2,0.5034,1756,3,SAVINGS,BRANCH
C0000075,Cheating,986500.0,Telangana,Hyderabad,3,3,0.6501,1797,3,SAVINGS,BRANCH
C0000076,Cheating,14100.0,Telangana,Hyderabad,4,1,0.2953,1360,18,SAVINGS,ATM
C0000077,Fraud,11600.0,Bihar,Patna,3,12,0.985,1227,3,SAVINGS,BRANCH
C0000078,Cheating,44900.0,Odisha,Delhi,2,0,0.0,462,4,SAVINGS,ATM
C0000079,Fraud,193900.0,Telangana,Hyderabad,3,1,0.2953,597,8,SAVINGS,ATM
C0000080,Cyber Blackmailing,17500.0,Telangana,Hyderabad,3,1,0.2953,1394,12,SAVINGS,BRANCH
C0000081,Fraud,68000.0,Telangana,Hyderabad,2,13,0.9894,870,3,SAVINGS,BRANCH
C0000082,Cheating,59200.0,Odisha,Bengaluru,2,13,0.9894,1227,3,SAVINGS,BRANCH
C0000083,Cheating,268300.0,Bihar,Patna,4,0,0.0,766,5,SAVINGS,BRANCH
C0000084,Cheating,840700.0,Telangana,Hyderabad,3,0,0.0,1121,3,SAVINGS,BRANCH
C0000085,Fraud,6600.0,Telangana,Hyderabad,4,0,0.0,2095,18,SAVINGS,ATM
C0000086,Cheating,30300.0,Maharashtra,Pune,3,15,0.9948,1451,3,SAVINGS,ATM
C0000087,Fraud,14900.0,Maharashtra,Mumbai,3,0,0.0,1100,3,SAVINGS,ATM
C0000088,Fraud,1900.0,Maharashtra,Pune,3,15,0.9948,1227,3,SAVINGS,BRANCH
C0000089,Fraud,215400.0,Telangana,Hyderabad,3,8,0.9392,1301,3,SAVINGS,BRANCH
C0000090,Fraud,1000.0,Telangana,Hyderabad,3,0,0.0,735,4,SAVINGS,ATM
C0000091,Cheating,22200.0,Telangana,Hyderabad,3,9,0.9571,1654,3,SAVINGS,BRANCH
C0000092,Fraud,9500.0,Madhya Pradesh,Pune,2,0,0.0,1820,9,SAVINGS,BRANCH
C0000093,Cheating,11200.0,Telangana,Hyderabad,3,3,0.6501,1441,5,SAVINGS,ATM
C0000094,Fraud,26300.0,Telangana,Hyderabad,3,0,0.0,1000,3,SAVINGS,ATM
C0000095,Cheating,68900.0,Telangana,Hyderabad,3,2,0.5034,2096,12,SAVINGS,BRANCH
C0000096,Fraud,29600.0,Telangana,Hyderabad,3,10,0.9698,1301,3,SAVINGS,BRANCH
C0000097,Fraud,3200.0,Telangana,Hyderabad,3,0,0.0,1035,3,SAVINGS,BRANCH
C0000098,Cheating,39100.0,Telangana,Hyderabad,3,11,0.9787,1619,3,SAVINGS,ATM
C0000099,Cheating,13500.0,Telangana,Hyderabad,3,1,0.2953,602,8,SAVINGS,ATM
C0000100,Cheating,115500.0,Telangana,Hyderabad,3,0,0.0,292,3,CURRENT,ATM
C0000101,Fraud,42600.0,Telangana,Hyderabad,4,0,0.0,1564,5,SAVINGS,ATM
C0000102,Cheating,2500.0,Telangana,Hyderabad,3,0,0.0,947,3,SAVINGS,ATM
C0000103,Fraud,1000.0,Odisha,Kolkata,3,0,0.0,123,3,SAVINGS,BRANCH
C0000104,Cheating,25500.0,Telangana,Hyderabad,3,12,0.985,1654,3,SAVINGS,ATM
C0000105,Fraud,1213600.0,Telangana,Hyderabad,3,1,0.2953,1167,3,SAVINGS,ATM
C0000106,Fraud,8200.0,Telangana,Hyderabad,3,0,0.0,672,3,SAVINGS,ATM
C0000107,Fraud,4400.0,Telangana,Hyderabad,3,16,0.9963,1227,3,SAVINGS,ATM
C0000108,Cheating,644600.0,Telangana,Hyderabad,2,0,0.0,1648,5,SAVINGS,ATM
C0000109,Fraud,240700.0,Telangana,Hyderabad,3,0,0.0,1244,3,SAVINGS,BRANCH
C0000110,Fraud,16700.0,Telangana,Hyderabad,3,17,0.9974,1227,3,SAVINGS,ATM
C0000111,Cheating,2220000.0,Maharashtra,Pune,2,18,0.9982,870,3,SAVINGS,ATM
C0000112,Cyber Blackmailing,73500.0,Bihar,Patna,3,0,0.0,2138,4,SAVINGS,ATM
C0000113,Fraud,196200.0,Telangana,Hyderabad,3,13,0.9894,1301,3,SAVINGS,BRANCH
C0000114,Cheating,2220000.0,Telangana,Hyderabad,3,18,0.9982,1227,3,SAVINGS,ATM
C0000115,Cheating,139900.0,Telangana,Hyderabad,3,19,0.9987,1227,3,SAVINGS,ATM
C0000116,Fraud,33400.0,Telangana,Hyderabad,4,2,0.5034,1365,5,CURRENT,BRANCH
C0000117,Fraud,92500.0,Telangana,Hyderabad,3,20,0.9991,1227,3,SAVINGS,ATM
C0000118,Fraud,29100.0,Telangana,Hyderabad,3,21,0.9994,1227,3,SAVINGS,ATM
C0000119,Fraud,8400.0,Telangana,Hyderabad,3,23,0.9997,870,3,SAVINGS,BRANCH
C0000120,Cheating,3300.0,Telangana,Hyderabad,2,3,0.6501,873,3,SAVINGS,ATM
C0000121,Fraud,68000.0,Telangana,Hyderabad,3,0,0.0,456,18,CURRENT,BRANCH
C0000122,Cheating,117800.0,Telangana,Hyderabad,3,0,0.0,1596,3,SAVINGS,BRANCH
C0000123,Cheating,3500.0,Telangana,Hyderabad,3,14,0.9926,1301,3,SAVINGS,BRANCH
C0000124,Fraud,82000.0,Bihar,Patna,3,0,0.0,1631,3,CURRENT,BRANCH
C0000125,Fraud,190300.0,Odisha,Patna,5,3,0.6501,1026,12,SAVINGS,BRANCH
C0000126,Fraud,3600.0,Tamil Nadu,Chennai,2,3,0.6501,1438,3,SAVINGS,BRANCH
C0000127,Fraud,122300.0,Tamil Nadu,Chennai,4,3,0.6501,387,12,SAVINGS,BRANCH
C0000128,Fraud,80400.0,Maharashtra,Mumbai,3,2,0.5034,2046,6,SAVINGS,ATM
C0000129,Cheating,2100.0,Telangana,Hyderabad,4,4,0.7534,1026,12,SAVINGS,ATM
C0000130,Fraud,2220000.0,Telangana,Hyderabad,3,3,0.6501,157,3,SAVINGS,ATM
C0000131,Cheating,141800.0,Telangana,Hyderabad,3,4,0.7534,1438,3,SAVINGS,ATM
C0000132,Fraud,2220000.0,Telangana,Hyderabad,5,3,0.6501,148,5,SAVINGS,BRANCH
C0000133,Fraud,334300.0,Telangana,Hyderabad,3,3,0.6501,1680,12,SAVINGS,ATM
C0000134,Cyber Blackmailing,2000.0,Andhra Pradesh,Patna,2,24,0.9998,870,3,SAVINGS,BRANCH
C0000135,Fraud,25900.0,Maharashtra,Pune,3,2,0.5034,2053,8,SAVINGS,ATM
C0000136,Fraud,9100.0,Telangana,Hyderabad,3,0,0.0,1176,3,SAVINGS,ATM
C0000137,Fraud,6300.0,Telangana,Hyderabad,3,0,0.0,889,3,SAVINGS,BRANCH
C0000138,Fraud,8100.0,Maharashtra,Mumbai,4,1,0.2953,462,4,SAVINGS,ATM
C0000139,Fraud,27800.0,Bihar,Patna,3,4,0.7534,574,3,SAVINGS,ATM
C0000140,Fraud,106300.0,Andhra Pradesh,Bengaluru,3,0,0.0,1972,3,SAVINGS,ATM
C0000141,Fraud,59100.0,Maharashtra,Pune,3,0,0.0,1501,18,SAVINGS,BRANCH
C0000142,Forgery,60400.0,Telangana,Hyderabad,3,1,0.2953,476,3,CURRENT,ATM
C0000143,Cheating,1600.0,Maharashtra,Mumbai,3,25,0.9998,1451,3,SAVINGS,ATM
C0000144,Cheating,5700.0,Maharashtra,Mumbai,2,0,0.0,648,3,SAVINGS,ATM
C0000145,Cheating,15400.0,Telangana,Hyderabad,3,0,0.0,87,4,SAVINGS,ATM
C0000146,Cheating,9800.0,Uttar Pradesh,Lucknow,2,4,0.7534,1649,3,SAVINGS,ATM
C0000147,Fraud,7300.0,Andhra Pradesh,Delhi,3,15,0.9948,1619,3,SAVINGS,ATM
C0000148,Fraud,579100.0,Telangana,Hyderabad,2,5,0.8262,574,3,SAVINGS,BRANCH
C0000149,Fraud,15900.0,Telangana,Hyderabad,3,1,0.2953,1244,3,SAVINGS,BRANCH
C0000150,Cheating,1000.0,Telangana,Hyderabad,3,0,0.0,682,3,SAVINGS,ATM
C0000151,Fraud,14000.0,Bihar,Patna,3,0,0.0,443,4,SAVINGS,BRANCH
C0000152,Cheating,56900.0,Telangana,Hyderabad,3,25,0.9998,1227,3,SAVINGS,ATM
C0000153,Cheating,963500.0,Telangana,Hyderabad,6,2,0.5034,1482,8,SAVINGS,ATM
C0000154,Cheating,763300.0,Telangana,Hyderabad,3,2,0.5034,548,3,CURRENT,BRANCH
C0000155,Cheating,14400.0,Telangana,Hyderabad,5,3,0.6501,1482,8,SAVINGS,ATM
C0000156,Fraud,2200.0,Telangana,Hyderabad,3,26,0.9999,1227,3,SAVINGS,ATM
C0000157,Fraud,2800.0,Telangana,Hyderabad,3,2,0.5034,1139,3,SAVINGS,BRANCH
C0000158,Fraud,302200.0,Telangana,Hyderabad,4,1,0.2953,1919,4,SAVINGS,BRANCH
C0000159,Fraud,23800.0,Telangana,Hyderabad,3,3,0.6501,2046,6,SAVINGS,ATM
C0000160,Cheating,9600.0,Rajasthan,Jaipur,3,0,0.0,317,4,SAVINGS,BRANCH
C0000161,Cheating,26400.0,Telangana,Hyderabad,3,28,0.9999,1451,3,SAVINGS,ATM
C0000162,Cheating,12600.0,Maharashtra,Pune,3,1,0.2953,2169,3,SAVINGS,ATM
C0000163,Fraud,9600.0,Telangana,Hyderabad,5,0,0.0,294,17,SAVINGS,BRANCH
C0000164,Cheating,2220000.0,Telangana,Hyderabad,3,4,0.7534,157,3,SAVINGS,BRANCH
C0000165,Cheating,90200.0,Odisha,Kolkata,3,28,0.9999,1227,3,SAVINGS,ATM
C0000166,Cheating,4400.0,Telangana,Hyderabad,3,0,0.0,1125,3,SAVINGS,BRANCH
C0000167,Cheating,27300.0,Odisha,Bengaluru,3,0,0.0,1867,3,CURRENT,ATM
C0000168,Fraud,14400.0,Telangana,Hyderabad,3,30,1.0,1451,3,SAVINGS,ATM
C0000169,Cheating,270600.0,Telangana,Hyderabad,3,0,0.0,1350,3,SAVINGS,ATM
C0000170,Fraud,1000.0,Telangana,Hyderabad,3,5,0.8262,1812,3,CURRENT,BRANCH
C0000171,Fraud,117900.0,Telangana,Hyderabad,3,2,0.5034,205,3,SAVINGS,ATM
C0000172,Fraud,1600.0,Telangana,Hyderabad,3,31,1.0,1451,3,SAVINGS,BRANCH
C0000173,Cheating,1100.0,Telangana,Hyderabad,6,1,0.2953,740,18,SAVINGS,ATM
C0000174,Fraud,1200.0,Bihar,Patna,3,6,0.8775,1812,3,CURRENT,ATM
C0000175,Cheating,248100.0,Telangana,Hyderabad,3,32,1.0,1451,3,SAVINGS,BRANCH
C0000176,Fraud,1415900.0,Telangana,Hyderabad,4,1,0.2953,136,8,SAVINGS,BRANCH
C0000177,Cheating,1000.0,Telangana,Hyderabad,3,1,0.2953,395,5,SAVINGS,BRANCH
C0000178,Fraud,81500.0,Andhra Pradesh,Bengaluru,4,1,0.2953,1582,4,SAVINGS,BRANCH
C0000179,Forgery,3900.0,Rajasthan,Jaipur,5,2,0.5034,1055,6,SAVINGS,ATM
C0000180,Cheating,24400.0,Telangana,Hyderabad,3,4,0.7534,602,8,SAVINGS,ATM
C0000181,Fraud,47700.0,Telangana,Hyderabad,3,32,1.0,1227,3,SAVINGS,BRANCH
C0000182,Fraud,208400.0,Telangana,Hyderabad,3,33,1.0,1227,3,SAVINGS,BRANCH
C0000183,Cheating,295600.0,Bihar,Patna,2,0,0.0,1816,3,SAVINGS,BRANCH
C0000184,Cheating,4900.0,Telangana,Hyderabad,3,35,1.0,870,3,SAVINGS,ATM
C0000185,Cheating,3100.0,Andhra Pradesh,Bengaluru,3,35,1.0,1227,3,SAVINGS,BRANCH
C0000186,Fraud,51700.0,Bihar,Patna,3,36,1.0,1227,3,SAVINGS,BRANCH
C0000187,Fraud,1000.0,Bihar,Patna,3,37,1.0,1227,3,SAVINGS,BRANCH
C0000188,Cheating,168200.0,Odisha,Ahmedabad,2,0,0.0,757,3,SAVINGS,ATM
C0000189,Fraud,1900.0,Telangana,Hyderabad,3,38,1.0,1227,3,SAVINGS,ATM
C0000190,Cheating,34700.0,Telangana,Hyderabad,3,39,1.0,1227,3,SAVINGS,ATM
C0000191,Cheating,12700.0,Telangana,Hyderabad,2,5,0.8262,1026,12,SAVINGS,ATM
C0000192,Cheating,460800.0,Telangana,Hyderabad,3,0,0.0,1903,18,SAVINGS,ATM
C0000193,Cheating,46800.0,Telangana,Hyderabad,4,2,0.5034,951,8,SAVINGS,BRANCH
C0000194,Cheating,142200.0,Telangana,Hyderabad,3,0,0.0,871,3,SAVINGS,ATM
C0000195,Fraud,367300.0,Telangana,Hyderabad,3,0,0.0,1431,3,SAVINGS,BRANCH
C0000196,Cheating,32300.0,Odisha,Kolkata,3,40,1.0,1227,3,SAVINGS,ATM
C0000197,Fraud,14700.0,Maharashtra,Mumbai,4,0,0.0,689,5,SAVINGS,ATM
C0000198,Cheating,366400.0,Odisha,Lucknow,3,41,1.0,1227,3,SAVINGS,ATM
C0000199,Cheating,63900.0,Telangana,Hyderabad,3,5,0.8262,157,3,SAVINGS,ATM
C0000200,Cheating,57100.0,Bihar,Patna,3,42,1.0,1227,3,SAVINGS,ATM
C0000201,Cheating,375600.0,Bihar,Patna,3,1,0.2953,648,3,SAVINGS,ATM
C0000202,Cheating,2200.0,Telangana,Hyderabad,3,1,0.2953,1176,3,SAVINGS,ATM
C0000203,Cheating,9000.0,Telangana,Hyderabad,3,6,0.8775,157,3,SAVINGS,ATM
C0000204,Cyber Blackmailing,103900.0,Telangana,Hyderabad,3,1,0.2953,1820,9,SAVINGS,BRANCH
C0000205,Cheating,10800.0,Telangana,Hyderabad,3,5,0.8262,625,12,SAVINGS,ATM
C0000206,Cheating,2400.0,Telangana,Hyderabad,3,7,0.9137,157,3,SAVINGS,BRANCH
C0000207,Fraud,157000.0,Odisha,Chennai,3,44,1.0,1451,3,SAVINGS,ATM
C0000208,Fraud,2220000.0,Bihar,Patna,4,2,0.5034,1772,12,SAVINGS,BRANCH
C0000209,Fraud,1500.0,Telangana,Hyderabad,3,5,0.8262,1756,3,SAVINGS,ATM
C0000210,Fraud,51700.0,Telangana,Hyderabad,3,6,0.8775,1756,3,SAVINGS,BRANCH
C0000211,Cheating,270000.0,Bihar,Patna,5,0,0.0,1253,18,SAVINGS,BRANCH
C0000212,Cheating,340900.0,Telangana,Hyderabad,3,44,1.0,1227,3,SAVINGS,BRANCH
C0000213,Cheating,44300.0,Tamil Nadu,Chennai,4,1,0.2953,1074,9,SAVINGS,BRANCH
C0000214,Cheating,313900.0,Chhattisgarh,Kolkata,3,45,1.0,1227,3,SAVINGS,ATM
C0000215,Cheating,4500.0,Telangana,Hyderabad,3,0,0.0,1740,4,SAVINGS,BRANCH
C0000216,Cheating,176900.0,Telangana,Hyderabad,3,46,1.0,1227,3,SAVINGS,ATM
C0000217,Cheating,283300.0,Andhra Pradesh,Ahmedabad,3,8,0.9392,157,3,SAVINGS,BRANCH
C0000218,Cheating,24300.0,Maharashtra,Mumbai,3,3,0.6501,1139,3,SAVINGS,ATM
C0000219,Fraud,1000.0,Maharashtra,Pune,4,5,0.8262,387,12,SAVINGS,BRANCH
C0000220,Cheating,1100.0,Andhra Pradesh,Bengaluru,3,47,1.0,1227,3,SAVINGS,ATM
C0000221,Cheating,276600.0,Telangana,Hyderabad,3,9,0.9571,157,3,SAVINGS,BRANCH
C0000222,Fraud,31500.0,Bihar,Patna,4,4,0.7534,2146,5,CURRENT,ATM
C0000223,Fraud,726700.0,Telangana,Hyderabad,4,1,0.2953,290,7,SAVINGS,ATM
C0000224,Fraud,60800.0,Tamil Nadu,Chennai,2,1,0.2953,1648,5,SAVINGS,ATM
C0000225,Cheating,5200.0,Bihar,Patna,3,1,0.2953,672,3,SAVINGS,BRANCH
C0000226,Cheating,23700.0,Maharashtra,Mumbai,2,49,1.0,1451,3,SAVINGS,ATM
C0000227,Fraud,72400.0,Telangana,Hyderabad,2,0,0.0,402,18,CURRENT,ATM
C0000228,Cheating,35600.0,Odisha,Lucknow,3,3,0.6501,908,3,SAVINGS,ATM
C0000229,Fraud,58300.0,Telangana,Hyderabad,3,0,0.0,2191,4,CURRENT,ATM
C0000230,Fraud,30000.0,Telangana,Hyderabad,5,1,0.2953,340,18,SAVINGS,BRANCH
C0000231,Cheating,205100.0,Telangana,Hyderabad,5,0,0.0,1116,8,SAVINGS,BRANCH
C0000232,Fraud,451400.0,Telangana,Hyderabad,4,0,0.0,1455,14,SAVINGS,BRANCH
C0000233,Fraud,197800.0,Telangana,Hyderabad,4,1,0.2953,277,5,SAVINGS,ATM
C0000234,Cheating,741500.0,Maharashtra,Pune,2,0,0.0,1406,4,SAVINGS,BRANCH
C0000235,Cheating,1200.0,Telangana,Hyderabad,5,7,0.9137,886,12,SAVINGS,BRANCH
C0000236,Cheating,36700.0,Odisha,Chennai,4,1,0.2953,1153,9,SAVINGS,BRANCH
C0000237,Fraud,199200.0,Telangana,Hyderabad,3,48,1.0,1227,3,SAVINGS,ATM
C0000238,Fraud,513300.0,Telangana,Hyderabad,3,0,0.0,1173,3,SAVINGS,ATM
C0000239,Cheating,29000.0,Maharashtra,Mumbai,4,0,0.0,1681,18,CURRENT,ATM
C0000240,Fraud,48500.0,Telangana,Hyderabad,3,0,0.0,965,3,SAVINGS,ATM
C0000241,Cheating,868900.0,Telangana,Hyderabad,3,49,1.0,1227,3,SAVINGS,BRANCH
C0000242,Fraud,111100.0,Telangana,Hyderabad,4,0,0.0,614,7,SAVINGS,BRANCH
C0000243,Fraud,390500.0,Telangana,Hyderabad,4,2,0.5034,78,7,CURRENT,BRANCH
C0000244,Cheating,2800.0,Telangana,Hyderabad,3,0,0.0,1183,3,SAVINGS,ATM
C0000245,Fraud,10400.0,Tamil Nadu,Chennai,4,0,0.0,1594,4,CURRENT,BRANCH
C0000246,Fraud,35300.0,Telangana,Hyderabad,4,4,0.7534,707,8,CURRENT,ATM
C0000247,Fraud,2220000.0,Odisha,Ahmedabad,2,1,0.2953,160,18,CURRENT,BRANCH
C0000248,Fraud,28800.0,Odisha,Kolkata,2,16,0.9963,1619,3,SAVINGS,BRANCH
C0000249,Fraud,1800.0,Bihar,Patna,3,17,0.9974,1654,3,SAVINGS,ATM
C0000250,Fraud,59100.0,Maharashtra,Pune,3,0,0.0,624,3,SAVINGS,ATM
C0000251,Fraud,24000.0,Telangana,Hyderabad,3,50,1.0,1227,3,SAVINGS,BRANCH
C0000252,Cheating,21000.0,Jharkhand,Kolkata,3,51,1.0,1227,3,SAVINGS,ATM
C0000253,Cheating,155900.0,Telangana,Hyderabad,3,1,0.2953,1223,3,SAVINGS,ATM
C0000254,Fraud,7200.0,Telangana,Hyderabad,3,52,1.0,1227,3,SAVINGS,ATM
C0000255,Fraud,854700.0,Telangana,Hyderabad,3,1,0.2953,567,3,SAVINGS,BRANCH
C0000256,Cheating,2220000.0,Odisha,Hyderabad,3,53,1.0,1227,3,SAVINGS,BRANCH
C0000257,Cheating,443300.0,Maharashtra,Pune,3,2,0.5034,1383,3,SAVINGS,BRANCH
C0000258,Forgery,163300.0,Bihar,Patna,3,56,1.0,1451,3,SAVINGS,ATM
C0000259,Cheating,19500.0,Telangana,Hyderabad,3,1,0.2953,1497,3,SAVINGS,ATM
C0000260,Cheating,38900.0,Bihar,Patna,3,0,0.0,1120,3,SAVINGS,BRANCH
C0000261,Cheating,148600.0,Bihar,Patna,3,1,0.2953,1825,3,SAVINGS,ATM
C0000262,Fraud,315700.0,Telangana,Hyderabad,3,0,0.0,1761,3,SAVINGS,ATM
C0000263,Cheating,17600.0,Telangana,Hyderabad,3,0,0.0,215,3,CURRENT,ATM
C0000264,Cheating,19500.0,Telangana,Hyderabad,3,1,0.2953,289,18,SAVINGS,BRANCH
C0000265,Cheating,851900.0,Odisha,Patna,3,57,1.0,1451,3,SAVINGS,BRANCH
C0000266,Cheating,2220000.0,Uttar Pradesh,Lucknow,3,56,1.0,1227,3,SAVINGS,BRANCH
C0000267,Fraud,51800.0,Telangana,Hyderabad,3,9,0.9571,1026,12,SAVINGS,BRANCH
